Close,Hi,Low
204.033858,189.2555802,218.8121359
203.4189276,185.2226908,221.6151644
,RELCAPITAL,
611.2046274,585.2133541,637.1959007
611.3316269,575.5466311,647.1166227
609.7800775,566.3712697,653.1888853
,RELIANCE,
1402.382124,1361.966436,1442.797812
1402.230612,1345.413101,1459.048123
1402.187851,1332.569741,1471.805961
,RELINFRA,
576.4741272,545.9552675,606.9929869
576.7540972,533.9710125,619.5371819
575.8195897,523.2967293,628.3424501
,RPOWER,
47.11300046,44.41052489,49.81547602
47.23013444,43.44552589,51.01474299
47.37901968,42.76954762,51.98849173
,SAIL,
60.33372328,57.1338448,63.53360177
60.36848564,55.86212252,64.87484877
60.40277002,54.91337963,65.89216041
,SBIN,
282.1925542,269.9103958,294.4747126
282.314057,264.5891807,300.0389333
282.3126034,260.9536835,303.6715233
,SHREECEM,
17593.96584,16954.9409,18232.99078
17593.79576,16702.78754,18484.80399
17592.53026,16506.31097,18678.74956
,SIEMENS,
1308.648396,1251.441942,1365.854849
1309.763189,1228.643193,1390.883185
1308.622318,1210.889413,1406.355222
,SINTEX,
116.198376,110.2902186,122.1065334
116.3027473,107.8600769,124.7454177
116.5155787,106.1961403,126.835017
,SOUTHBANK,
23.89248616,22.92211297,24.86285935
23.79087443,22.41651055,25.16523832
23.7325569,22.0827215,25.3823923
,SRF,
1704.649523,1629.855661,1779.443385
1703.462401,1597.592166,1809.332635
1698.755294,1567.139486,1830.371102
,SRTRANSFIN,
1056.356521,998.9699277,1113.743115
1061.217168,981.001712,1141.432623
1058.916402,960.8477208,1156.985084
,STAR,
1083.172896,1017.540125,1148.805667
1083.77582,990.1642337,1177.387407
1084.303421,968.9036846,1199.703157
,SUNPHARMA,
639.1391492,596.9179518,681.3603465
638.1522017,578.3244787,697.9799246
638.1097161,563.3032984,712.9161338
,SUNTV,
938.8311874,905.7528708,971.909504
941.1566063,894.6292483,987.6839643
942.1327226,884.4777125,999.7877328
,SUZLON,
19.76290021,18.14295432,21.38284609
19.73300531,17.38617507,22.07983556
19.78650567,16.83074635,22.74226499
,SYNDIBANK,
72.38210275,67.2973379,77.46686761
72.56823608,65.41141123,79.72506094
72.70015194,64.0009792,81.39932468
,TATACHEM,
639.0318714,618.2488847,659.814858
638.6846989,610.1417118,667.227686
637.9057897,602.9730557,672.8385236
,TATACOMM,
707.420285,682.9581033,731.8824666
706.5117214,672.8083905,740.2150524
705.7761447,664.6309435,746.9213459
