"Date","UPL.NS.Open","UPL.NS.High","UPL.NS.Low","UPL.NS.Close","UPL.NS.Volume","UPL.NS.Adjusted"
2016-03-23,443.95,458.6,442.95,456.35,1058000,452.449
2016-03-24,456.35,456.35,456.35,456.35,0,452.449
2016-03-25,456.35,456.35,456.35,456.35,0,452.449
2016-03-28,461,465.2,447.65,451.65,975800,447.789
2016-03-29,451.6,462.4,449.25,451.35,1091900,447.492
2016-03-30,454,475.4,454,472.1,2170600,468.064
2016-03-31,470.15,483,466.15,477.7,1336400,473.616
2016-04-01,474.45,474.85,461.45,466.45,801700,462.463
2016-04-04,471,471.55,460.5,467.5,707300,463.504
2016-04-05,466.7,476.7,456.6,458.6,848300,454.68
2016-04-06,458.05,464,448.55,458,859800,454.085
2016-04-07,459,469.25,453.4,462.75,598300,458.794
2016-04-08,466.8,468.7,457.6,460,508400,456.068
2016-04-11,462,477.25,458.15,475.85,1566800,471.782
2016-04-12,478,499.6,477,493.65,2445000,489.43
2016-04-13,501,506.8,498.2,503.8,1496000,499.493
2016-04-14,503.8,503.8,503.8,503.8,0,499.493
2016-04-15,503.8,503.8,503.8,503.8,0,499.493
2016-04-18,505,512.45,502.2,507.25,1076900,502.914
2016-04-19,507.25,507.25,507.25,507.25,0,502.914
2016-04-20,511.1,511.4,496.75,504.4,1568900,500.088
2016-04-21,506,518,506,514.2,1126400,509.804
2016-04-22,510.55,524.85,507.5,523.3,1423000,518.827
2016-04-25,523.05,526.8,514.5,524.6,1333700,520.115
2016-04-26,520,524.55,508.3,510.55,1226400,506.186
2016-04-27,507.1,518.35,505.5,514.95,947900,510.548
2016-04-28,514,522,510.9,516.95,1813700,512.531
2016-04-29,518,542,517.9,537.9,3545800,533.302
2016-05-02,541.65,599.75,538.3,594.9,8363200,589.815
2016-05-03,595,603.4,576.25,579.45,3294200,574.497
2016-05-04,579.7,586.45,571.2,579.1,2464300,574.15
2016-05-05,582.5,606.9,577.55,592.45,2775300,587.385
2016-05-06,590.9,608,587.75,592.9,2663000,587.832
2016-05-09,596.05,596.05,582.2,587.2,1296700,582.18
2016-05-10,590.5,597.85,583.1,588.6,2074200,583.568
2016-05-11,582,599.5,577.8,593.55,1807600,588.476
2016-05-12,596.4,606.8,594.6,599.35,2358900,594.226
2016-05-13,601.55,612.95,572.9,583.75,3224500,578.76
2016-05-16,583.2,591,576.25,584.85,1465500,579.85
2016-05-17,588,593.4,577.3,580.2,2001600,575.24
2016-05-18,578,578.9,564.15,570.4,1621500,565.524
2016-05-19,569.5,576.8,558.5,561.05,1304000,556.254
2016-05-20,562,580.8,555,576.3,2081800,571.373
2016-05-23,579.4,585.4,568.1,570.7,1146100,565.821
2016-05-24,571.8,574.1,564.2,568.25,1289700,563.392
2016-05-25,573.7,590.8,573.7,588.35,2033100,583.32
2016-05-26,591.3,598.65,588,592.95,5711000,587.881
2016-05-27,594.7,603.7,591.2,595.4,1436900,590.31
2016-05-30,597.9,602.6,586.4,591.75,1165100,586.691
2016-05-31,594.5,607.5,590.25,595.5,3304800,590.409
2016-06-01,598.25,598.35,585.4,591.35,1586300,586.295
2016-06-02,592,609.2,590.3,604.95,3717900,599.779
2016-06-03,608,616.95,603.05,606.05,2649600,600.869
2016-06-06,608,616.35,606.2,611.6,2219400,606.372
2016-06-07,614.65,614.95,596.4,600.1,1877900,594.97
2016-06-08,600,605,594,599.1,1053700,593.979
2016-06-09,600.05,602.3,587.05,590.4,1072800,585.353
2016-06-10,586.6,589.75,578.05,580,1613300,575.042
2016-06-13,577.5,588.7,566.55,586.9,962000,581.883
2016-06-14,590,591.85,576,582.4,888600,577.421
2016-06-15,584.9,589,580.5,584.9,773600,579.9
2016-06-16,583,583,561.5,568.45,1799300,568.45
2016-06-17,572.1,576,564.55,567.15,947300,567.15
2016-06-20,561.05,571.35,556.65,569.05,2254600,569.05
2016-06-21,571.9,574.2,560.35,561.55,1454100,561.55
2016-06-22,563.9,566.3,551.6,556,1002500,556
2016-06-23,556,557,540.5,542.05,1730800,542.05
