"Date","BATAINDIA.NS.Open","BATAINDIA.NS.High","BATAINDIA.NS.Low","BATAINDIA.NS.Close","BATAINDIA.NS.Volume","BATAINDIA.NS.Adjusted"
2016-03-10,495,495,480.7,484.3,211700,481.27
2016-03-11,484.05,496,481,493.65,269100,490.562
2016-03-14,499,503,494.35,499,236400,495.878
2016-03-15,499,499,486,489.65,328400,486.587
2016-03-16,489,492,479.5,489.2,174900,486.14
2016-03-17,493.65,495.35,481.4,485.7,243100,482.662
2016-03-18,485.9,491.2,480.5,489.1,144800,486.04
2016-03-21,491.95,501.9,487,498.95,199200,495.829
2016-03-22,497.5,507,492.75,504.35,337500,501.195
2016-03-23,502.15,515,502.15,508.55,432200,505.369
2016-03-24,508.55,508.55,508.55,508.55,0,505.369
2016-03-25,508.55,508.55,508.55,508.55,0,505.369
2016-03-28,511.65,511.65,494.6,496.2,255400,493.096
2016-03-29,499.5,506,496.55,502.2,316700,499.058
2016-03-30,509.95,515,502.25,504.35,320400,501.195
2016-03-31,509.5,512,498.05,508.6,464200,505.418
2016-04-01,507.5,515,502.4,504.55,495400,501.394
2016-04-04,507.7,524.85,503.1,522.7,1325200,519.43
2016-04-05,524.8,531.8,505.5,511.35,1057000,508.151
2016-04-06,514.35,520.6,512.1,514.35,336100,511.132
2016-04-07,517.7,525,509.25,523.05,606200,519.778
2016-04-08,522,531.75,518.75,528.5,392900,525.194
2016-04-11,532.65,538.8,531.3,535.25,563400,531.902
2016-04-12,534.7,539.5,530.4,534.85,582400,531.504
2016-04-13,535.5,548,535.5,545,487700,541.591
2016-04-14,545,545,545,545,0,541.591
2016-04-15,545,545,545,545,0,541.591
2016-04-18,546.7,554.9,541.2,553.4,303900,549.938
2016-04-19,553.4,553.4,553.4,553.4,0,549.938
2016-04-20,554.85,560.95,554.55,556.7,209200,553.218
2016-04-21,557.4,561.4,543.4,546.15,189300,542.734
2016-04-22,543.4,564.5,538.85,559.9,307400,556.398
2016-04-25,560.6,564.9,551.1,559.05,292300,555.553
2016-04-26,559.4,569,557.55,565.6,342800,562.062
2016-04-27,565,572.95,560,564.4,322400,560.869
2016-04-28,563,569.8,549.25,556.25,347100,552.77
2016-04-29,556,597.5,550.1,584.2,597300,580.546
2016-05-02,586,595.9,576,578.95,422100,575.328
2016-05-03,580.05,584,564.4,566.8,300900,563.254
2016-05-04,566.85,572.3,559,562.1,311400,558.584
2016-05-05,565.2,580,565,572.65,346200,569.068
2016-05-06,573.95,587.9,571.3,573.65,558100,570.062
2016-05-09,577.5,602.2,575,596.65,833500,592.918
2016-05-10,596,599.2,575,577.45,697200,573.838
2016-05-11,573.75,583.9,568.2,574.9,368000,571.304
2016-05-12,578,579.55,570.55,572,262300,568.422
2016-05-13,570,580.8,565.5,573.2,268100,569.614
2016-05-16,576,586.9,568.7,585.25,426100,581.589
2016-05-17,592.25,598.45,586.1,588.6,767400,584.918
2016-05-18,587,595,580.45,587.75,289500,584.073
2016-05-19,586,593.05,566.65,569.95,447000,566.385
2016-05-20,572.55,575.1,562.3,565,308900,561.466
2016-05-23,567.95,568,553,554.45,420000,550.982
2016-05-24,554.9,560.35,546.3,556.5,221200,553.019
2016-05-25,559.3,568.4,555.05,556.9,442300,553.416
2016-05-26,558.9,558.9,535.5,544.05,528100,540.647
2016-05-27,544,559.95,530.05,557.3,1359500,553.814
2016-05-30,558.65,571.3,557.5,569.6,715600,566.037
2016-05-31,566,576.95,559.05,572.4,823900,568.819
2016-06-01,574,580.5,566,569.95,293400,566.385
2016-06-02,568,573.6,564.35,568.05,147000,564.497
2016-06-03,569,574,556.7,558.8,374500,555.304
2016-06-06,558.8,563.95,553.4,558.85,272900,555.354
2016-06-07,558,559.9,549.1,552.2,205500,548.746
2016-06-08,555,563.9,551.7,560.45,267100,556.944
2016-06-09,560,562.9,553,555.95,141500,552.472
2016-06-10,556,560.5,546.9,549.4,273100,545.963
2016-06-13,546.1,548.15,538,539.75,289100,536.374
2016-06-14,543.2,546.3,536.6,541.2,193600,537.814
2016-06-15,543.9,551,540,542.95,198500,539.554
2016-06-16,543,544.1,533.35,535.4,172100,532.051
2016-06-17,539.9,539.9,525.1,528.75,370200,525.442
2016-06-20,525,536.25,522.95,534.95,186600,531.604
2016-06-21,537.75,539.9,531.15,536.8,176800,533.442
2016-06-22,535.65,538.8,527.2,529.75,343900,526.436
2016-06-23,531,535,522.05,523.65,329200,520.374
2016-06-24,517,524,502.45,522.35,288400,519.082
2016-06-27,517.05,527.3,517.05,524.15,128700,520.871
2016-06-28,526.9,543.5,522.3,540.25,533800,536.87
2016-06-29,543,553.9,541.1,552.1,453900,548.646
2016-06-30,555,556.05,543,545.85,499900,542.435
2016-07-01,546.1,555,546.1,549.35,191700,545.913
2016-07-04,550.4,564.65,549.35,562.75,307900,559.23
2016-07-05,562.95,566.55,557.05,560.4,188900,556.894
2016-07-06,560.4,560.4,560.4,560.4,0,556.894
2016-07-07,560.5,565.5,550.35,552.05,214000,548.597
2016-07-08,550.95,554.7,542,546.8,145400,543.379
2016-07-11,551,558.35,550,557.65,565900,554.162
2016-07-12,557.9,571.2,554.35,568.85,648400,565.291
2016-07-13,579.8,586.9,562,565.5,1361100,561.962
2016-07-14,564,571,561.8,569.9,327500,566.335
2016-07-15,566.4,574.7,561.3,564.1,239100,560.571
2016-07-18,564.5,569,557.05,559.5,219700,556
2016-07-19,558.9,570,552.45,568,345100,568
2016-07-20,568.7,577.2,568.1,569.55,513400,569.55
2016-07-21,573,574,562,565.15,255900,565.15
2016-07-22,565.15,574.9,560,568.8,282400,568.8
2016-07-25,569.5,581.2,567.35,575.8,438700,575.8
2016-07-26,574,580.95,567,569.9,398200,569.9
2016-07-27,570.8,579.55,568.55,571,317100,571
2016-07-28,571.7,580.8,571.15,578.6,612800,578.6
2016-07-29,584.95,608.75,583.1,605.45,1162500,605.45
2016-08-01,612,613.65,592.15,598,1002200,598
2016-08-02,598.05,605.65,572.4,577.35,1175400,577.35
2016-08-03,573.9,573.9,550,553.1,1027300,553.1
2016-08-04,550,564.9,520.35,529.25,2860800,529.25
2016-08-05,530.9,535,525.85,530.65,596800,530.65
2016-08-08,534.9,552.1,533.25,548.55,807200,548.55
2016-08-09,549,550.4,540,547.35,514500,547.35
2016-08-10,546.9,547,528.55,533.1,765400,533.1
2016-08-11,529.95,533.9,521.6,531.3,1048800,531.3
2016-08-12,531.45,538.4,528.1,534.4,375300,534.4
2016-08-15,534.4,534.4,534.4,534.4,0,534.4
2016-08-16,532,537.35,529.15,535.8,271200,535.8
2016-08-17,535.5,547.7,534,542.15,406200,542.15
2016-08-18,546,548.9,540.4,546.3,514500,546.3
2016-08-19,548,553.5,544.55,551.05,464000,551.05
2016-08-22,549,559.7,547.35,557.2,619900,557.2
2016-08-23,558.8,558.8,540.75,544.15,647900,544.15
