"Date","AXISBANK.NS.Open","AXISBANK.NS.High","AXISBANK.NS.Low","AXISBANK.NS.Close","AXISBANK.NS.Volume","AXISBANK.NS.Adjusted"
2015-12-15,432,436.9,429.65,436.1,11058600,432.06
2015-12-16,437,441.9,434,438.15,8881500,434.09
2015-12-17,442,443.65,431.45,435.55,11529600,431.51
2015-12-18,434.3,440.8,431.1,432.55,10297500,428.54
2015-12-21,432.55,443.2,432.15,442.35,5061800,438.25
2015-12-22,442.9,450.65,441.6,446.7,8722500,442.56
2015-12-23,450,452.7,448.2,452,4493400,447.81
2015-12-24,452.8,455.25,448.45,450.75,3633200,446.57
2015-12-25,450.75,450.75,450.75,450.75,0,446.57
2015-12-28,450,456.6,448.4,455.35,5914900,451.13
2015-12-29,455.4,459.9,451.2,458.35,5987000,454.1
2015-12-30,458,460,453.6,455.1,3766300,450.88
2015-12-31,456,456,448.2,449.1,6329600,444.94
2016-01-01,449.75,452.9,445.55,449.9,3345600,445.73
2016-01-04,448.9,448.9,436.15,438.4,5862800,434.34
2016-01-05,439.9,439.9,433.6,436.45,5579400,432.41
2016-01-06,439.3,439.3,430,430.7,5756200,426.71
2016-01-07,425,425.15,407,409.25,13787300,405.46
2016-01-08,413.5,418.75,410,413.7,11307400,409.87
2016-01-11,410,423.4,407.4,417.2,10352300,413.33
2016-01-12,419.8,420.65,401,406.1,13070400,402.34
2016-01-13,410,411.45,392.45,406.7,15873900,402.93
2016-01-14,394.8,402,388.75,390.6,11776700,386.98
2016-01-15,392.45,395.85,369,374.25,13178800,370.78
2016-01-18,372.25,383.35,366.75,373.2,14117100,369.74
2016-01-19,376,396,376,393,14215600,389.36
2016-01-20,385.6,393.4,374.65,387.6,15605600,384.01
2016-01-21,400,412.45,397.7,409.15,28200900,405.36
2016-01-22,419.4,427.65,414.6,424.15,15009100,420.22
2016-01-25,429.75,429.75,415.2,420.85,10252400,416.95
2016-01-26,420.85,420.85,420.85,420.85,0,416.95
2016-01-27,424.1,426.5,411.6,415.4,8648900,411.55
2016-01-28,416,416.9,402.4,405.65,9370400,401.89
2016-01-29,396,409.8,393.25,408.4,13667700,404.62
2016-02-01,410,410.35,394.5,399.3,10700900,395.6
2016-02-02,399,404.45,388.6,390.9,12131000,387.28
2016-02-03,387,390,379.15,380.55,10077200,377.02
2016-02-04,385.75,386.6,373.35,382.75,11472600,379.2
2016-02-05,384.7,405,384.25,399.55,11677900,395.85
2016-02-08,401,417.95,401,408.55,11996600,404.77
2016-02-09,401,405.9,396,399.9,6550200,396.2
2016-02-10,397.9,398,385.35,393.6,10922300,389.95
2016-02-11,392.9,396.75,373.3,377.2,8076800,373.71
2016-02-12,389.4,395.95,379.1,391.1,28434500,387.48
2016-02-15,395.65,420,395.65,417.65,13964500,413.78
2016-02-16,420.8,422.5,405,405.8,12445000,402.04
2016-02-17,406.9,406.9,394.75,403.1,10197700,399.37
2016-02-18,410.2,412.1,391.6,398.05,12069400,394.36
2016-02-19,395.6,396.9,390,392.5,12915200,388.86
2016-02-22,395,398.75,391.05,397.15,10284600,393.47
2016-02-23,397.9,397.9,383.25,385.15,9955700,381.58
2016-02-24,385,391,377.25,386.65,11983400,383.07
2016-02-25,386.1,387.8,377.45,378.2,9491600,374.7
2016-02-26,385,390.3,382.15,386.35,9588800,382.77
2016-02-29,387,391.65,374,375.75,82022900,372.27
2016-03-01,380.1,393.2,380.1,392,12822500,388.37
2016-03-02,400,411.8,400,407.25,15332000,403.48
2016-03-03,411.35,419,407.1,417.15,14677500,413.29
2016-03-04,418.15,418.15,409.25,416.05,8992400,412.2
2016-03-07,416.05,416.05,416.05,416.05,0,412.2
2016-03-08,415.6,423.05,408.8,411.75,6921200,407.94
