"Date","KOTAKBANK.NS.Open","KOTAKBANK.NS.High","KOTAKBANK.NS.Low","KOTAKBANK.NS.Close","KOTAKBANK.NS.Volume","KOTAKBANK.NS.Adjusted"
2015-12-31,706.15,723.85,706.15,720.05,1164200,719.5854
2016-01-01,720,729.85,711.25,727.25,622400,726.7808
2016-01-04,727,727,703.85,705.3,1222400,704.845
2016-01-05,708.1,712.8,705,707.75,689800,707.2934
2016-01-06,704,711,697,703.6,601600,703.146
2016-01-07,697.5,703,689.15,691.65,632600,691.2038
2016-01-08,694.2,704,693.55,695.1,446000,694.6515
2016-01-11,690,704.75,681,700.85,577600,700.3978
2016-01-12,699.9,700.7,684.55,692,834000,691.5535
2016-01-13,698.05,700.65,682.25,689.15,673200,688.7054
2016-01-14,682,690.95,673,684.1,890400,683.6586
2016-01-15,679.4,689.1,671,675.6,1088700,675.1641
2016-01-18,676,686.8,663.1,667.4,2206800,666.9694
2016-01-19,670.05,676,663.55,668.7,1105200,668.2686
2016-01-20,660,700,652.6,662.65,710300,662.2225
2016-01-21,671.5,677.15,651,660.85,850700,660.4236
2016-01-22,671,689,664.2,683.05,1001700,682.6093
2016-01-25,685,685,674.5,681,706800,680.5606
2016-01-26,681,681,681,681,0,680.5606
2016-01-27,680,682.4,666.35,674.6,655700,674.1648
2016-01-28,675,680,660.25,663.25,1468700,662.8221
2016-01-29,664.5,686,664.5,683.6,1645500,683.1589
2016-02-01,683.15,691,679.5,687.7,592500,687.2563
2016-02-02,687,691,671.5,677.15,601300,676.7132
2016-02-03,672,672,661.7,665.55,1207000,665.1206
2016-02-04,670.4,680.8,668.65,676.25,482500,675.8137
2016-02-05,677,697.3,675.45,692,1868300,691.5535
2016-02-08,694.75,694.75,670.3,673.1,573900,672.6657
2016-02-09,667.95,680,662.35,677.05,897900,676.6132
2016-02-10,677,679.95,661.15,667.35,996300,666.9194
2016-02-11,667,667,625,628.95,1585500,628.5442
2016-02-12,630,637,613.7,622,1300500,621.5987
2016-02-15,627,636.4,622.05,625.25,1276200,624.8466
2016-02-16,629.9,630,615,620.25,740600,619.8498
2016-02-17,619,629.9,610,625.3,955900,624.8966
2016-02-18,630,637.75,624.15,635.55,849600,635.14
2016-02-19,632.55,639.9,625.3,631.2,586800,630.7928
2016-02-22,634,642.2,632.15,640.2,444500,639.787
2016-02-23,639,639,620,623,635200,622.5981
2016-02-24,620.35,629.95,616.5,618.75,669400,618.3508
2016-02-25,621,621.5,604.5,606.85,1023800,606.4585
