"Date","LICHSGFIN.NS.Open","LICHSGFIN.NS.High","LICHSGFIN.NS.Low","LICHSGFIN.NS.Close","LICHSGFIN.NS.Volume","LICHSGFIN.NS.Adjusted"
2015-12-04,465,467.7,456.2,457.8,2102000,448.21
2015-12-07,462,463.75,454.7,462.45,1273800,452.76
2015-12-08,460.25,466.2,459.1,462.65,1126300,452.96
2015-12-09,461,464.8,451.55,452.8,1449600,443.31
2015-12-10,451.1,465.5,448.55,463.95,2021100,454.23
2015-12-11,463,465.5,453.95,460.55,1279300,450.9
2015-12-14,461,474.7,457.25,472.8,2146400,462.89
2015-12-15,475,476.8,467,470.6,1359800,460.74
2015-12-16,472.9,481.6,471.1,479,1753600,468.97
2015-12-17,481,486,478.75,485.3,1468200,475.13
2015-12-18,484,487.4,481.7,483.8,1189800,473.66
2015-12-21,483.8,489.4,483.15,487.9,1008300,477.68
2015-12-22,490,493.5,482.5,484.3,1003400,474.15
2015-12-23,486.5,491.8,486,489.35,1629500,479.1
2015-12-24,490,490.65,482.65,485.5,722600,475.33
2015-12-25,485.5,485.5,485.5,485.5,0,475.33
2015-12-28,486.9,490,485.1,487.35,539300,477.14
2015-12-29,487.55,503.9,486.45,502.55,1766600,492.02
2015-12-30,504.35,511,498.25,500.65,1911000,490.16
2015-12-31,500.8,514.6,500.65,510.05,2290300,499.36
2016-01-01,510,512.4,505.6,508.35,725600,497.7
2016-01-04,506.8,513.8,488,489.7,1780200,479.44
2016-01-05,492.1,505.25,490,501.1,1737300,490.6
2016-01-06,500.95,504.7,495.9,499.6,1915800,489.13
2016-01-07,494,495.95,482.25,486,1653600,475.82
2016-01-08,490,511.5,490,505.1,1851100,494.52
2016-01-11,499.95,504.95,495,500.15,1946500,489.67
2016-01-12,496.8,500,490.4,491.95,1943100,481.64
2016-01-13,494.05,502.55,476.35,489.35,2752200,479.1
2016-01-14,480.6,489.35,478.55,484.95,1427000,474.79
2016-01-15,486,490.5,463,466.45,2058400,456.68
