"Date","SUNTV.NS.Open","SUNTV.NS.High","SUNTV.NS.Low","SUNTV.NS.Close","SUNTV.NS.Volume","SUNTV.NS.Adjusted"
2016-02-03,351.8,366.85,348.5,351.4,827200,337.627
2016-02-04,356,358.75,327.5,338.2,1153100,324.945
2016-02-05,338.7,353.25,332.8,350.95,526900,337.195
2016-02-08,351,356.5,343.8,349.05,576600,335.369
2016-02-09,347.55,355.95,343.4,347.5,746500,333.88
2016-02-10,350,352,334.05,342,1038900,328.596
2016-02-11,344.1,345.85,321.85,326.75,881100,313.943
2016-02-12,328.3,334.9,320.4,330,1421900,317.066
2016-02-15,331.5,349.95,330.5,346.1,863300,332.535
2016-02-16,346.75,352,336,338.3,822000,325.041
2016-02-17,340.95,340.95,326.65,333.15,756300,321.996
2016-02-18,337.85,340.5,328.3,333.85,804200,322.673
2016-02-19,333.6,336.4,322.75,328.2,789400,317.212
2016-02-22,329.7,333.8,325.2,329.05,430800,318.033
2016-02-23,330.65,332.55,325.2,328.05,690700,317.067
2016-02-24,327,328.95,322,323.95,806500,313.104
2016-02-25,322.05,328.3,315.25,317.25,1447900,306.628
2016-02-26,320.9,323.05,316,319.6,543700,308.9
2016-02-29,315.4,327.75,314.05,320.7,732700,309.963
2016-03-01,322,340.7,321.05,338.05,691200,326.732
2016-03-02,340,357.4,337.5,354.75,1073200,342.873
2016-03-03,358,359,345.2,347.65,600500,336.011
2016-03-04,350,354.55,344,347.15,590000,335.527
2016-03-07,347.15,347.15,347.15,347.15,0,335.527
2016-03-08,350.9,350.9,337.35,339.9,837600,328.52
2016-03-09,339,348,338,345.45,678800,333.884
2016-03-10,349,349,340.25,341.8,418900,330.356
2016-03-11,342,348,341.4,344,637900,332.483
2016-03-14,346.2,371.35,346.2,368.9,1952600,356.549
2016-03-15,367,367.05,360.6,363.7,733700,351.523
2016-03-16,361,373,360.05,362.75,1125100,350.605
2016-03-17,365.65,369.6,363.3,365.6,636900,353.36
2016-03-18,365.6,371.5,364.4,369.7,405600,357.322
2016-03-21,364.95,367.25,361,364.45,495000,359.542
2016-03-22,364.4,368.5,361,365.45,436500,360.529
2016-03-23,365.5,374.8,363.6,370.45,805800,365.461
2016-03-24,370.45,370.45,370.45,370.45,0,365.461
2016-03-25,370.45,370.45,370.45,370.45,0,365.461
2016-03-28,371,377.3,362.2,363.8,646400,358.901
2016-03-29,362.5,372.4,362.05,366.85,560800,361.91
2016-03-30,368.95,373.7,367,371,438200,366.004
2016-03-31,370,380.9,368,377.45,1092400,372.367
2016-04-01,381.5,381.5,373.2,377.65,353900,372.564
2016-04-04,374.05,380,373.45,374.85,286600,369.802
2016-04-05,373.7,378.5,357.5,359.7,505600,354.856
2016-04-06,361.5,364.5,355.15,359.6,317000,354.757
2016-04-07,359.1,361.35,351.9,353.75,299700,348.986
2016-04-08,353,358.45,352.5,356,166900,351.206
2016-04-11,358,359.75,350.35,355.2,317800,350.417
2016-04-12,356,364.7,355.5,359.85,754400,355.004
2016-04-13,360.1,365.6,357.15,358.9,367300,354.067
2016-04-14,358.9,358.9,358.9,358.9,0,354.067
2016-04-15,358.9,358.9,358.9,358.9,0,354.067
2016-04-18,358.85,364.75,349.3,361.35,437800,356.484
2016-04-19,361.35,361.35,361.35,361.35,0,356.484
2016-04-20,361.35,363.8,355,356.65,324000,351.847
2016-04-21,360.9,360.9,350,353.25,450700,348.493
2016-04-22,352.7,358.8,350.75,357.35,369500,352.538
2016-04-25,358,361.15,355.05,356.25,313000,351.452
