"Date","CADILAHC.NS.Open","CADILAHC.NS.High","CADILAHC.NS.Low","CADILAHC.NS.Close","CADILAHC.NS.Volume","CADILAHC.NS.Adjusted"
2016-05-23,323.70001,326.5,319.54999,324.60001,402800,322.28866
2016-05-24,324.25,324.89999,316.10001,317.64999,581500,315.38813
2016-05-25,321,322.85001,318.10001,319.60001,525100,317.32426
2016-05-26,321.70001,322,317.85001,320.14999,511300,317.87033
2016-05-27,321.10001,331,321.10001,327.20001,644000,324.87015
2016-05-30,329.25,335,326.10001,334.10001,446300,331.72101
2016-05-31,334.5,338.39999,331.25,336.39999,983300,334.00462
2016-06-01,338.60001,344.39999,331.75,332.95001,673000,330.57921
2016-06-02,334,335,322.5,324.29999,1105100,321.99077
2016-06-03,324.29999,328.79999,317.39999,319.54999,644800,317.2746
2016-06-06,324.85001,325,321,323.29999,868300,320.99789
2016-06-07,321.25,326.5,319,319.29999,816800,317.02638
2016-06-08,320.04999,320.95001,318.20001,319.10001,617000,316.82782
2016-06-09,320.20001,321.35001,318.10001,318.54999,411200,316.28172
2016-06-10,319.54999,320.70001,316.5,317.79999,526500,315.53706
2016-06-13,316.89999,320.60001,314.5,319.29999,388100,317.02638
2016-06-14,320.35001,322,317.85001,318.89999,268600,316.62923
2016-06-15,319.20001,321.89999,318.5,319.04999,363700,316.77816
2016-06-16,319.25,320.54999,316.45001,317.10001,510500,314.84206
2016-06-17,319,319,312.04999,313.39999,572000,311.16839
2016-06-20,311.89999,320,308.85001,315.60001,722100,313.35274
2016-06-21,317.95001,317.95001,314.60001,315.29999,355800,313.05486
2016-06-22,316.29999,318.5,315,318,255900,315.73565
2016-06-23,318,318,313.20001,314.14999,930900,311.91305
2016-06-24,311.89999,313.5,305,312.20001,974000,309.97696
2016-06-27,314.29999,320.75,311.70001,320.04999,908700,317.77104
2016-06-28,318.60001,323.39999,318.60001,320.95001,718900,318.66465
2016-06-29,321.45001,325,319.14999,323.29999,479800,320.99789
2016-06-30,324,330,323.35001,328.20001,1431600,325.86303
2016-07-01,328.64999,331.79999,324.95001,328.25,1140000,325.91266
2016-07-04,328.70001,334.5,328.70001,333.89999,413400,331.52242
