"Date","IBREALEST.NS.Open","IBREALEST.NS.High","IBREALEST.NS.Low","IBREALEST.NS.Close","IBREALEST.NS.Volume","IBREALEST.NS.Adjusted"
2015-11-03,62.9,63.5,61.6,61.9,3406900,61.9
2015-11-04,62.5,63.5,61.95,62.15,4252100,62.15
2015-11-05,62.55,62.55,59.65,59.9,4151300,59.9
2015-11-06,60.45,60.9,58.35,59.3,4053800,59.3
2015-11-09,56.2,60.9,56.1,60.35,5206800,60.35
2015-11-10,60.3,60.3,57.6,58.55,4230200,58.55
2015-11-11,58.55,58.55,58.55,58.55,0,58.55
2015-11-12,58.55,58.55,58.55,58.55,0,58.55
2015-11-13,60.3,61.65,59.3,60,3884400,60
2015-11-16,60,60.95,59.5,60.35,2545300,60.35
2015-11-17,60.9,61.8,59.3,60,5052400,60
2015-11-18,60.4,61.25,59,59.35,4891900,59.35
2015-11-19,60.4,60.45,59.5,60.15,2421600,60.15
2015-11-20,60.3,61.95,59.85,60.8,5074500,60.8
2015-11-23,61,61.25,59.55,60.35,3742200,60.35
2015-11-24,60.4,62.2,59.85,61.2,4977000,61.2
2015-11-25,61.2,61.2,61.2,61.2,0,61.2
2015-11-26,61.25,63.8,61.25,62.95,8625600,62.95
2015-11-27,63.85,64,61.1,62.4,6556800,62.4
2015-11-30,62.9,64.8,62.35,64.15,8008700,64.15
2015-12-01,64.15,64.55,62.5,62.9,4644400,62.9
2015-12-02,63.3,63.9,62.1,62.35,4471600,62.35
2015-12-03,62.45,63.45,61.75,62.1,4861500,62.1
2015-12-04,61.65,62.05,60.1,60.5,4129600,60.5
2015-12-07,61,61.5,60.2,60.4,3288200,60.4
2015-12-08,60.2,60.85,55.55,55.85,8637000,55.85
2015-12-09,55.8,59.1,54.1,58.05,14932300,58.05
2015-12-10,58.7,59.5,56.7,58.05,6871400,58.05
2015-12-11,58.3,58.3,55.5,55.95,4613700,55.95
2015-12-14,55.4,56.9,54.7,56.45,3193300,56.45
2015-12-15,56.95,59.5,56.45,59.15,5699800,59.15
2015-12-16,59.45,61.55,58.8,60.25,7384200,60.25
2015-12-17,60.7,61.6,59.35,61.15,5159100,61.15
2015-12-18,60.6,62.2,60.2,60.8,5329600,60.8
2015-12-21,61.1,63,60.6,62.5,4623800,62.5
2015-12-22,63.5,64.05,61.1,61.55,8201000,61.55
2015-12-23,62.1,62.75,61.85,62.25,3281200,62.25
2015-12-24,62.7,63.25,61.7,62.3,4145800,62.3
2015-12-25,62.3,62.3,62.3,62.3,0,62.3
2015-12-28,62.65,63,62.05,62.4,2777000,62.4
2015-12-29,62.4,63.15,61.15,61.95,3303900,61.95
2015-12-30,62.4,62.5,61.65,61.95,2502600,61.95
2015-12-31,62,64.45,61.75,63.95,7408000,63.95
2016-01-01,64.15,66.2,63.5,65.5,5256400,65.5
2016-01-04,66.6,67.7,62.9,64.2,9176900,64.2
2016-01-05,64.8,66.9,63.75,65.95,6278400,65.95
2016-01-06,65.7,68.15,64.35,65.2,7940400,65.2
2016-01-07,63.9,63.9,58.35,59.1,9230600,59.1
2016-01-08,60.4,61.4,57.3,59.75,9734500,59.75
2016-01-11,58.7,60.8,56.6,59.5,8603100,59.5
2016-01-12,59.5,60.4,57.05,57.7,6886100,57.7
2016-01-13,58.7,59,52.55,56.55,10374700,56.55
2016-01-14,55.4,56.2,53.6,54.65,5794300,54.65
2016-01-15,55.5,56.25,50.65,51.55,6580300,51.55
2016-01-18,52,52.7,48.45,50.1,12546900,50.1
2016-01-19,50.3,52.5,49.6,51.65,6987900,51.65
2016-01-20,50.5,50.6,48.25,49.5,4933400,49.5
2016-01-21,51.3,52.35,49.6,51.45,9240800,51.45
2016-01-22,53.7,55,51.9,53.5,8264200,53.5
2016-01-25,54.3,55.2,53.05,54.35,4076900,54.35
2016-01-26,54.35,54.35,54.35,54.35,0,54.35
2016-01-27,54.5,54.9,53.35,53.8,3218800,53.8
2016-01-28,54,55.2,53.5,54.2,5227500,54.2
2016-01-29,54.2,56.4,52.95,55.35,5680300,55.35
2016-02-01,55.6,56.4,54.65,55.15,3943300,55.15
2016-02-02,55.2,55.7,51.8,52.35,4691800,52.35
2016-02-03,51.5,52,50.65,51.35,4328300,51.35
2016-02-04,52.25,52.5,49.9,50.5,4062600,50.5
2016-02-05,50.5,52.3,50.3,51.95,3933400,51.95
2016-02-08,52.4,55,51.75,52.45,7135400,52.45
2016-02-09,51.85,52.7,51.3,51.95,3891100,51.95
2016-02-10,51.15,52,48.55,49.7,6155700,49.7
2016-02-11,49.5,49.8,43.55,44.85,7149000,44.85
2016-02-12,45.05,47,42.1,45.65,9584600,45.65
2016-02-15,46.8,49.6,46.7,48.35,5235100,48.35
2016-02-16,49.3,49.75,45.35,45.85,5791600,45.85
2016-02-17,45.6,47.9,44.9,47.4,5333300,47.4
2016-02-18,48.5,49.2,46.35,47.9,4370000,47.9
2016-02-19,47.85,49.65,47.4,48.8,4072500,48.8
2016-02-22,49.2,50.45,48.6,49.9,3289200,49.9
2016-02-23,49.7,49.9,47.25,47.9,4228300,47.9
2016-02-24,48.2,48.4,46.35,47.35,3813600,47.35
2016-02-25,47.1,47.9,44.35,44.95,6401000,44.95
2016-02-26,46.2,47.1,44.4,46.3,4952900,46.3
2016-02-29,46.75,48.85,45.1,45.65,9662900,45.65
2016-03-01,46.7,48.75,46.1,48.45,6357700,48.45
2016-03-02,49.45,53.1,49.2,51.55,9938600,51.55
2016-03-03,51.95,52.45,50.75,51.25,4858000,51.25
2016-03-04,51.5,53,50.15,51.75,7739800,51.75
2016-03-07,51.75,51.75,51.75,51.75,0,51.75
2016-03-08,51.6,54,51.3,53.8,9081500,53.8
2016-03-09,54.25,55.3,53.6,54.35,7327900,54.35
2016-03-10,54.8,55,52.05,52.4,5224800,52.4
2016-03-11,52.5,54.15,51.4,52.1,6720200,52.1
2016-03-14,52.8,53.3,51.6,52.1,3076700,52.1
2016-03-15,52.4,54,52.1,53.5,4913700,53.5
2016-03-16,54.05,54.4,52,52.7,5399000,52.7
2016-03-17,53.4,53.8,51.5,51.9,3463100,51.9
2016-03-18,52.6,53.2,51.7,52.95,3577100,52.95
2016-03-21,53.45,54.2,52.65,53.9,3846500,53.9
2016-03-22,54.25,56.6,53.8,56.2,7887200,56.2
2016-03-23,56.5,56.8,55.4,55.75,3787800,55.75
2016-03-24,55.75,55.75,55.75,55.75,0,55.75
2016-03-25,55.75,55.75,55.75,55.75,0,55.75
2016-03-28,55.7,56.25,53,53.35,4990800,53.35
2016-03-29,53.4,54.15,52.8,53.3,2966300,53.3
2016-03-30,53.95,55.9,53.7,55.35,6938100,55.35
2016-03-31,55.3,56.55,54.65,56.2,4442000,56.2
2016-04-01,56.2,58.6,55.8,57.85,6492700,57.85
2016-04-04,58.7,59.95,56.05,56.85,7422900,56.85
2016-04-05,55.85,56.8,52.8,53.2,7849200,53.2
2016-04-06,53.25,54.3,53.1,53.9,4117400,53.9
2016-04-07,54,54.6,52.9,53.05,3768200,53.05
2016-04-08,52.8,54.5,52.5,54.15,4416700,54.15
2016-04-11,54.35,54.9,53.45,54.65,3451300,54.65
2016-04-12,54.75,55.4,53.65,54.05,3026400,54.05
2016-04-13,54.6,56.2,54.45,54.9,5804200,54.9
2016-04-14,54.9,54.9,54.9,54.9,0,54.9
2016-04-15,54.9,54.9,54.9,54.9,0,54.9
2016-04-18,54.9,57.7,54.1,57,9183300,57
2016-04-19,57,57,57,57,0,57
2016-04-20,57.4,58.95,56.85,57.6,8904700,57.6
2016-04-21,58.1,58.3,55.65,56.75,4990800,56.75
2016-04-22,56.6,57.9,56.4,57.3,4270800,57.3
2016-04-25,57.8,58.3,55,56,9604300,56
2016-04-26,56.15,57.4,55.8,56.85,7002400,56.85
2016-04-27,56.75,57.3,56.4,56.85,4139700,56.85
2016-04-28,57.3,64.1,57.25,63.5,54055700,63.5
2016-04-29,63.8,68,63.7,67.65,28858300,67.65
2016-05-02,68,69.7,64.85,67.5,15117400,67.5
2016-05-03,68,71.2,67.65,69.9,20884800,69.9
2016-05-04,69.75,70.7,66.8,67.65,12912800,67.65
2016-05-05,68.05,73.5,68.05,71.4,21846400,71.4
2016-05-06,71,77.9,70.1,76.3,24932600,76.3
2016-05-09,77.8,80.5,76.4,80,21537400,80
2016-05-10,80.5,83.25,79.15,82.7,20345400,82.7
2016-05-11,81,82.65,79.6,82.25,16953500,82.25
2016-05-12,82.1,85,82.1,83.5,15037500,83.5
2016-05-13,82.6,83.8,77.4,79.85,15659700,79.85
2016-05-16,79.9,85.7,79.1,84.85,16407000,84.85
2016-05-17,85.8,91.1,85.8,88.65,27585300,88.65
2016-05-18,88,93.4,86.8,92.95,28143600,92.95
2016-05-19,93.2,99.9,92.35,93.4,50130200,93.4
2016-05-20,94.2,95.65,90.25,91.25,22715500,91.25
2016-05-23,91.2,91.95,87.6,90.55,16081500,90.55
2016-05-24,89.8,91.25,85.65,90.05,17387300,90.05
2016-05-25,91.85,95.85,91.85,94.55,16171600,94.55
2016-05-26,95.4,101.8,93.15,99.05,22182400,99.05
2016-05-27,100.35,104.8,100.35,103.55,25036200,103.55
2016-05-30,104.5,105.2,99.75,101.5,11319500,101.5
2016-05-31,101.75,104.4,97.45,102.05,19137100,102.05
2016-06-01,102.4,102.9,99.65,101,10764300,101
2016-06-02,100.55,101.3,98.55,100.55,9561200,100.55
2016-06-03,101.5,102.4,95.1,97,10863500,97
2016-06-06,97.25,100.15,96.55,97.8,9083200,97.8
2016-06-07,98.3,102.45,97.1,101.8,13791100,101.8
2016-06-08,101.95,102.9,100.1,100.9,8477900,100.9
2016-06-09,101.15,101.7,99.5,100.1,7439100,100.1
2016-06-10,99.8,101.45,95.8,96.4,11337900,96.4
2016-06-13,93.9,94.8,92.1,93.75,9440800,93.75
2016-06-14,94.35,97.45,93.85,96.3,9750300,96.3
