"Date","RDEL.NS.Open","RDEL.NS.High","RDEL.NS.Low","RDEL.NS.Close","RDEL.NS.Volume","RDEL.NS.Adjusted"
2015-09-18,58.6,60.8,58.3,59.8,1542400,59.8
2015-09-21,59.6,59.8,58.5,58.65,249400,58.65
2015-09-22,58.7,59,58.1,58.25,378700,58.25
2015-09-23,58.05,59,58.05,58.3,145900,58.3
2015-09-24,58.15,58.6,58.15,58.5,342600,58.5
2015-09-25,58.5,58.5,58.5,58.5,0,58.5
2015-09-28,58.25,60.35,58.25,59.85,562000,59.85
2015-09-29,59.5,60.3,59.2,59.6,1234400,59.6
2015-09-30,59.9,60,58.7,58.8,415400,58.8
2015-10-01,59.25,59.25,58.6,58.6,222400,58.6
2015-10-02,58.6,58.6,58.6,58.6,0,58.6
2015-10-05,59.2,59.2,58.6,58.8,210200,58.8
2015-10-06,58.6,59.5,58.6,59.4,377800,59.4
2015-10-07,59.5,59.5,58.95,59,162700,59
2015-10-08,59.2,59.4,59,59.25,140400,59.25
2015-10-09,59.5,60.4,59.25,59.95,1180900,59.95
2015-10-12,59.5,60.25,59.5,59.6,965500,59.6
2015-10-13,59.95,60.15,59.65,59.9,164500,59.9
2015-10-14,60.2,60.25,59.7,59.75,178200,59.75
2015-10-15,59.75,59.95,59.75,59.8,126700,59.8
2015-10-16,59.75,59.9,59.7,59.75,268200,59.75
2015-10-19,59.75,59.95,59.15,59.2,152100,59.2
2015-10-20,59.3,59.7,58.75,59,268600,59
2015-10-21,59.25,59.65,58.6,58.7,186100,58.7
2015-10-22,58.7,58.7,58.7,58.7,0,58.7
2015-10-23,58.8,59.1,58.25,58.45,134600,58.45
2015-10-26,58.55,58.8,57.4,57.6,161200,57.6
2015-10-27,57.3,57.85,56.6,56.8,194800,56.8
2015-10-28,57,57.9,56.55,56.7,298700,56.7
2015-10-29,56.7,58.4,56.6,58.1,231200,58.1
2015-10-30,58.05,58.35,57.05,57.15,277000,57.15
2015-11-02,57.35,58,57.3,57.35,161300,57.35
2015-11-03,57.85,57.85,57.2,57.25,156400,57.25
2015-11-04,57.35,58,57.05,57.2,176700,57.2
2015-11-05,57.3,58.6,57,57.95,303500,57.95
2015-11-06,58.2,59.05,58.2,58.85,339100,58.85
2015-11-09,58.3,59.8,58.05,59.75,557600,59.75
2015-11-10,59.15,59.8,59.15,59.5,229700,59.5
2015-11-11,59.9,60.4,59.55,59.95,158700,59.95
2015-11-12,59.95,59.95,59.95,59.95,0,59.95
2015-11-13,59.8,59.85,59.5,59.65,193500,59.65
2015-11-16,59.1,60.4,59.1,59.9,858000,59.9
2015-11-17,61.2,63.5,61,62.95,5300100,62.95
2015-11-18,63.75,63.9,63.1,63.65,1294600,63.65
2015-11-19,63.85,64.25,63.3,64.15,1001100,64.15
2015-11-20,64.3,64.4,63.9,63.95,1075700,63.95
2015-11-23,64.35,64.7,64,64.1,1144900,64.1
2015-11-24,64,64.2,63.65,64,557700,64
2015-11-25,64,64,64,64,0,64
2015-11-26,64,64.65,63.75,64.05,1491300,64.05
2015-11-27,64.2,64.5,64,64.3,485100,64.3
2015-11-30,64.9,64.9,64.45,64.8,886800,64.8
2015-12-01,64.7,66.4,64.7,66,1405200,66
2015-12-02,66.5,67.8,66,66.5,3182400,66.5
2015-12-03,66.45,66.95,65.7,66.7,3478000,66.7
2015-12-04,66.5,67.75,66.1,66.15,2908800,66.15
2015-12-07,66.15,66.5,66.1,66.1,4321800,66.1
2015-12-08,66.1,66.35,65.55,65.85,3700600,65.85
2015-12-09,65.95,66.2,65.55,66,2240700,66
2015-12-10,66.45,66.95,66,66.4,5912600,66.4
2015-12-11,66.5,66.7,66,66.3,1161700,66.3
2015-12-14,65.9,65.9,63.5,64.35,248100,64.35
2015-12-15,63.2,66.35,63.2,65.15,217100,65.15
2015-12-16,66.8,78.15,65.85,76.65,9298500,76.65
2015-12-17,77.9,78.7,72,73.2,4038300,73.2
2015-12-18,73.65,81.4,73.2,79.55,6321300,79.55
2015-12-21,79.7,82.1,77.1,79.1,2985700,79.1
2015-12-22,79.7,82.3,79.1,80,2161600,80
2015-12-23,82,84.8,80.6,83.55,4124700,83.55
2015-12-24,85.6,100.25,85.3,100.25,25018700,100.25
2015-12-25,100.25,100.25,100.25,100.25,0,100.25
2015-12-28,104.4,113.95,96.65,98.2,26720300,98.2
2015-12-29,97.85,98.45,87.95,88.9,20452200,88.9
2015-12-30,90.1,91.55,85.7,87.2,29746500,87.2
2015-12-31,86.8,90.25,86.1,89,7953300,89
2016-01-01,89.5,93,89.5,91.7,9005200,91.7
2016-01-04,91.3,94.2,88.2,89.35,7599600,89.35
2016-01-05,90,92.8,89.05,89.6,6290200,89.6
2016-01-06,90,90.8,86.55,87.05,3558700,87.05
2016-01-07,85,85,81,81.5,4092900,81.5
2016-01-08,82.4,84.6,81.7,82.5,3044800,82.5
2016-01-11,82.5,87.9,82,84.95,7842800,84.95
2016-01-12,85.6,86.6,81.7,82.8,2702100,82.8
2016-01-13,84.1,84.45,74.3,79.95,6554600,79.95
2016-01-14,78,83.45,77.55,81,5576000,81
2016-01-15,82.1,86.4,78.65,79.95,8077100,79.95
2016-01-18,75.9,78,68.35,69.45,4348600,69.45
2016-01-19,71.25,76.65,69.4,75.95,5337900,75.95
2016-01-20,73.8,79.6,71.05,78.45,5727800,78.45
2016-01-21,79.7,81.1,74.5,75,3856400,75
2016-01-22,76.3,77.1,74.1,74.9,2303600,74.9
2016-01-25,76.75,78,75.5,76.7,1802400,76.7
2016-01-26,76.7,76.7,76.7,76.7,0,76.7
2016-01-27,77.05,77.15,74.1,75.1,1238900,75.1
2016-01-28,75.6,75.6,74.1,74.55,844000,74.55
2016-01-29,74.05,74.9,71.75,73.2,1175600,73.2
2016-02-01,74,75,72.5,73,907500,73
2016-02-02,73.1,73.35,68.7,70.1,860000,70.1
2016-02-03,68.5,70.15,67.5,67.9,982000,67.9
2016-02-04,68.9,69.6,62.5,65.2,1353700,65.2
2016-02-05,65.9,68,65.8,66.95,1471300,66.95
2016-02-08,67.3,70.3,66.1,67.45,1475100,67.45
2016-02-09,66.55,67.45,65.3,66.7,801500,66.7
2016-02-10,65.8,66.55,63.8,64.85,886600,64.85
2016-02-11,64.75,64.75,53,55.75,2359200,55.75
2016-02-12,56.3,60.9,52.65,58.1,2472000,58.1
2016-02-15,60,63.5,59.1,62.15,1180600,62.15
2016-02-16,64.45,68.4,62.5,63.45,2765200,63.45
2016-02-17,64.45,66.3,61.05,65,1856500,65
2016-02-18,66.4,67,63.7,64.45,1111700,64.45
2016-02-19,64,65.65,63.1,64.45,884500,64.45
2016-02-22,64.7,66.25,64.2,64.75,1055300,64.75
2016-02-23,65.15,65.85,62.9,63.3,1185100,63.3
2016-02-24,63,64.7,62.4,63.5,810500,63.5
2016-02-25,63.9,64.4,62.75,62.9,728400,62.9
2016-02-26,64,64.3,60.95,61.3,1102600,61.3
2016-02-29,61.85,64.25,61,61.5,1530400,61.5
2016-03-01,61.7,63.4,60.6,62.8,1166900,62.8
2016-03-02,63.55,65.75,63.2,63.75,1274900,63.75
2016-03-03,64.2,65.65,62.8,64.7,1520000,64.7
2016-03-04,65.2,66.75,63.8,65.05,1502200,65.05
2016-03-07,65.05,65.05,65.05,65.05,0,65.05
2016-03-08,65.35,74.85,63.8,72.45,8327600,72.45
2016-03-09,71.8,74.95,70.65,71.25,6089000,71.25
2016-03-10,72.25,72.8,69.4,69.85,2486800,69.85
2016-03-11,69.85,70.2,67.25,67.85,1438900,67.85
2016-03-14,68.2,69.2,66.5,66.95,961200,66.95
