"Date","BANKBARODA.NS.Open","BANKBARODA.NS.High","BANKBARODA.NS.Low","BANKBARODA.NS.Close","BANKBARODA.NS.Volume","BANKBARODA.NS.Adjusted"
2016-06-30,155.35,155.65,153.5,153.95,6302600,153.95
2016-07-01,154.05,157.85,153.65,156.6,6335300,156.6
2016-07-04,157.95,161.75,157.5,159.8,6832300,159.8
2016-07-05,160.45,162.3,158.75,159.45,6254800,159.45
2016-07-06,159.45,159.45,159.45,159.45,0,159.45
2016-07-07,160,162.15,157.45,158.15,5042000,158.15
2016-07-08,158.15,158.9,153.6,154.75,7186400,154.75
2016-07-11,158.1,162.7,157.6,162.35,7970000,162.35
2016-07-12,163.2,165,159.4,160.75,11500900,160.75
2016-07-13,161.05,161.95,158.65,160.15,5978700,160.15
2016-07-14,159.1,166.9,159.1,163.7,13346800,163.7
2016-07-15,164.9,168.8,163.3,164.25,12821200,164.25
2016-07-18,165,166.55,158.2,159.05,6873600,159.05
2016-07-19,159.5,162.5,156.5,158.3,13973000,158.3
2016-07-20,159,159.35,157.25,157.55,5041500,157.55
2016-07-21,158,158.9,151.7,152.25,8788800,152.25
2016-07-22,152.4,153,149.5,150.7,8584200,150.7
2016-07-25,150.5,157.1,148.9,155.85,8443100,155.85
2016-07-26,156.45,158.75,153.1,153.8,6423300,153.8
2016-07-27,155,156.65,153.5,154.85,4961800,154.85
2016-07-28,155.15,156.85,153.75,154.5,7885100,154.5
2016-07-29,154.5,155.1,151.1,151.7,4360600,151.7
2016-08-01,153,153.5,146,147.5,6265600,147.5
2016-08-02,148.6,152.4,146.3,151.15,9587200,151.15
2016-08-03,150.5,154.9,148,148.85,6650700,148.85
2016-08-04,151,157.35,146.55,155.75,11938700,155.75
2016-08-05,157.7,159.7,156.25,157.65,8486000,157.65
2016-08-08,158.8,159.75,154.65,157.5,5309900,157.5
2016-08-09,157.25,160.55,156.3,158.45,7446900,158.45
2016-08-10,159,161.25,155.35,160.4,11504400,160.4
2016-08-11,153,153.15,145,145.95,38489300,145.95
2016-08-12,147,152.2,144.55,149.6,22293900,149.6
2016-08-15,149.6,149.6,149.6,149.6,0,149.6
2016-08-16,150,151.4,147.1,149.55,7165600,149.55
2016-08-17,149.5,152.4,149.15,151.35,6673700,151.35
2016-08-18,152.15,154.9,151.85,154.5,6548800,154.5
2016-08-19,155.95,162.8,155.1,161.65,14267400,161.65
2016-08-22,160.95,162.35,157.7,160.05,8026400,160.05
2016-08-23,160.3,165,158.35,164.3,15115800,164.3
2016-08-24,164.3,165.25,162.35,163.15,6766500,163.15
2016-08-25,163.95,164.8,161.4,161.95,10027600,161.95
2016-08-26,161.75,163.2,157.6,158.3,5393000,158.3
2016-08-29,158.4,160.7,157.1,160.05,4125600,160.05
2016-08-30,161,164.75,160.55,164.15,6148000,164.15
2016-08-31,164.5,165.7,161.9,162.95,8047600,162.95
2016-09-01,163.5,164.25,160.6,161.25,6466500,161.25
2016-09-02,161.7,166.9,161.15,166.35,8185700,166.35
2016-09-05,166.35,166.35,166.35,166.35,0,166.35
2016-09-06,168,170.9,167.6,169.5,9021700,169.5
2016-09-07,171.25,177.65,170.5,174.8,16469700,174.8
2016-09-08,175.5,177.45,173.3,174.75,6806400,174.75
2016-09-09,174.6,174.85,171.25,171.95,7304800,171.95
2016-09-12,167.95,167.95,161.15,161.75,8733400,161.75
2016-09-13,161.75,161.75,161.75,161.75,0,161.75
2016-09-14,162,168.7,161.75,168.3,7533600,168.3
2016-09-15,168.35,168.9,164.15,166.6,5395900,166.6
2016-09-16,168.25,171.35,164.15,164.75,11408000,164.75
2016-09-19,166.95,167.9,165.4,166.45,3003800,166.45
