"Date","CANBK.NS.Open","CANBK.NS.High","CANBK.NS.Low","CANBK.NS.Close","CANBK.NS.Volume","CANBK.NS.Adjusted"
2016-05-05,184.804,187.042,181.984,184.464,2636100,184.464
2016-05-06,183.88,186.409,181.984,183.88,3466600,183.88
2016-05-09,184.902,189.668,184.902,188.744,2580600,188.744
2016-05-10,190.3,190.3,186.555,188.16,2401300,188.16
2016-05-11,183.832,187.479,180.817,182.081,3023900,182.081
2016-05-12,182.324,184.513,180.427,183.2,2530200,183.2
2016-05-13,181.886,183.297,179.99,181.351,1992000,181.351
2016-05-16,181.886,182.13,171.09,173.473,3628400,173.473
2016-05-17,174.154,178.19,171.285,176.148,3212200,176.148
2016-05-18,175.467,180.914,174.397,179.844,2930600,179.844
2016-05-19,179.017,181.206,172.987,173.862,2816700,173.862
2016-05-20,174.981,179.455,173.911,178.531,3162400,178.531
2016-05-23,180.33,180.33,174.008,175.856,2025900,175.856
2016-05-24,176.051,177.704,173.23,176.829,2008400,176.829
2016-05-25,178.871,188.695,178.093,188.063,3781900,188.063
2016-05-26,187.722,195.358,186.215,193.947,3674400,193.947
2016-05-27,192.586,197.643,180.233,187.382,9303000,187.382
2016-05-30,188.744,190.349,183.54,187.625,4005600,187.625
2016-05-31,187.236,203.188,185.388,200.756,8162200,200.756
2016-06-01,201.34,202.264,191.029,192.099,7823400,192.099
2016-06-02,190.64,195.698,189.279,194.336,4855900,194.336
2016-06-03,196.428,196.428,186.02,186.993,6202400,186.993
2016-06-06,186.215,190.105,185.777,188.16,3427300,188.16
2016-06-07,188.695,192.294,185.972,190.105,6639700,190.105
2016-06-08,189.668,192.051,186.993,188.744,5746500,188.744
2016-06-09,188.695,194.288,188.403,192.051,5581600,192.051
2016-06-10,191.613,194.434,189.327,189.911,4216600,189.911
2016-06-13,188.16,188.598,185.242,187.382,2178100,187.382
2016-06-14,189.619,192.488,187.868,191.808,3344400,191.808
2016-06-15,193.412,196.233,190.835,193.801,3148800,193.801
2016-06-16,192.586,199.2,191.467,196.914,7723400,196.914
2016-06-17,199.2,201.534,195.017,197.352,5861100,197.352
2016-06-20,193.315,204.16,192.634,203.333,5855600,203.333
2016-06-21,204.258,210.823,202.799,206.3,7524800,206.3
2016-06-22,205.716,208.829,203.966,205.571,3851300,205.571
2016-06-23,205.23,208.148,205.23,206.641,2552400,206.641
2016-06-24,200.27,206.008,192.877,204.355,5852600,204.355
2016-06-27,205.182,211.747,204.258,209.267,4400100,209.267
2016-06-28,210.774,211.747,207.856,209.218,4026300,209.218
2016-06-29,210.093,214.859,209.169,211.65,4465400,211.65
2016-06-30,213.498,215.2,212.039,212.476,2500900,212.476
2016-07-01,213.887,214.47,211.066,212.379,2498900,212.379
2016-07-04,213.935,222.446,213.644,219.674,4100300,219.674
2016-07-05,219.723,226.337,219.674,223.224,3831900,223.224
2016-07-06,223.224,223.224,223.224,223.224,0,223.224
2016-07-07,221.765,227.504,220.841,224.246,3097000,224.246
2016-07-08,224.683,225.85,217.534,219.82,3141100,219.82
2016-07-11,224.343,231.443,223.467,230.519,3272500,230.519
2016-07-12,232.416,234.313,230.568,232.367,4267100,232.367
2016-07-13,233.291,235.285,227.601,233.729,3257600,233.729
2016-07-14,233.437,252.696,231.151,248.513,11859100,248.513
2016-07-15,249.729,253.279,246.276,249.875,5878600,249.875
2016-07-18,250.945,253.474,238.544,240.246,4456400,240.246
2016-07-19,242.191,254.836,237.717,251.966,9240200,251.966
2016-07-20,252.988,256.684,250.945,252.793,5243000,252.793
2016-07-21,251.918,252.355,243.164,243.942,3573700,243.942
2016-07-22,243.65,244.136,233.632,234.702,5635200,234.702
2016-07-25,234.167,252.696,230.908,247.784,10759800,247.784
2016-07-26,242.969,259.31,239.273,250.75,15849300,250.75
2016-07-27,250.167,256.1,249.486,254.301,5536500,254.301
2016-07-28,255.565,260.428,249.632,250.994,5923500,250.994
