"Date","MARICO.NS.Open","MARICO.NS.High","MARICO.NS.Low","MARICO.NS.Close","MARICO.NS.Volume","MARICO.NS.Adjusted"
2016-05-18,248,251.85001,246.35001,251.10001,877300,247.69828
2016-05-19,252.39999,252.5,246.64999,248.55,1393000,245.18282
2016-05-20,248.89999,248.89999,242,243.14999,861900,239.85597
2016-05-23,244.35001,248.5,240.05,247.55,527500,244.19637
2016-05-24,247.60001,248.7,244.10001,245.8,539900,242.47008
2016-05-25,247,251.89999,246,250.8,774900,247.40234
2016-05-26,249,255,249,253.75,762000,250.31237
2016-05-27,253,258.39999,252.5,257.29999,871800,253.81427
2016-05-30,257,260.45001,252.60001,253.7,542200,250.26305
2016-05-31,253.3,254.3,246.7,249.2,1699000,245.82401
2016-06-01,250.10001,253,249.39999,251.55,509500,248.14218
2016-06-02,251.14999,252.2,247.25,248.95,735400,245.5774
2016-06-03,250.25,255.25,249.45,254,898000,250.55899
2016-06-06,255,258.64999,253.85001,256.25,730300,252.7785
2016-06-07,257.45001,258.70001,255,255.8,889800,252.3346
2016-06-08,256.95001,258,255,257.20001,637100,253.71565
2016-06-09,257,257.29999,250,250.5,598900,247.1064
2016-06-10,250.3,255.39999,250,253.5,707500,250.06576
2016-06-13,252,255.5,249,252.75,688000,249.32592
2016-06-14,253.25,254.64999,250.2,252.85001,478800,249.42457
2016-06-15,254,254.39999,249.85001,251.95,2600300,248.53675
2016-06-16,252.10001,255.95,250.85001,255.25,752400,251.79205
2016-06-17,257.54999,257.54999,252.8,256,937400,252.53189
2016-06-20,253.95,257.20001,253.45,254.89999,464300,251.44679
2016-06-21,255,259.89999,254.10001,256.20001,975100,252.72919
2016-06-22,257.5,260.79999,256.70001,260.04999,844600,256.52701
2016-06-23,260.04999,261.89999,258.45001,260.14999,954900,256.62566
2016-06-24,258,258,250.3,256.5,932600,253.02512
2016-06-27,256.54999,259.70001,255.05,256.70001,744700,253.22242
2016-06-28,257.14999,259.5,255.55,256.39999,788200,252.92647
2016-06-29,257.35001,260.35001,256.60001,259.20001,609500,255.68855
2016-06-30,261.25,266.5,259.60001,263.60001,1585100,260.02894
2016-07-01,264.89999,269,263.29999,268.25,1005800,264.61594
2016-07-04,269.39999,269.5,263.35001,265.04999,539200,261.45928
2016-07-05,264.5,273.14999,263,271.79999,875100,268.11783
2016-07-06,271.79999,271.79999,271.79999,271.79999,0,268.11783
2016-07-07,273,274,267.5,268.75,2443800,265.10916
2016-07-08,269.60001,270,262.5,264.10001,1540800,260.52216
2016-07-11,264.95001,271,264.70001,269.5,1614000,265.849
2016-07-12,268.5,274.25,268.5,273.45001,1179800,269.7455
2016-07-13,275,279.70001,273.29999,278.54999,2100300,274.77639
2016-07-14,281,281.5,276.79999,278.39999,564400,274.62843
2016-07-15,278.10001,281.39999,277.89999,279.04999,712200,275.26961
2016-07-18,278.04999,281,278,279.95001,1072700,276.15745
2016-07-19,281.54999,281.54999,276.54999,278.70001,978300,274.92438
2016-07-20,278,278.60001,275.10001,277.20001,600800,273.4447
2016-07-21,277.20001,280,275.70001,277.75,380600,273.98724
2016-07-22,277.85001,279.79999,275.95001,277.04999,776800,273.29671
2016-07-25,277.04999,284,275.39999,282.89999,988900,279.06746
