"Date","CENTURYTEX.NS.Open","CENTURYTEX.NS.High","CENTURYTEX.NS.Low","CENTURYTEX.NS.Close","CENTURYTEX.NS.Volume","CENTURYTEX.NS.Adjusted"
2016-04-20,615.1,637.8,615.1,630.5,1184900,620.36
2016-04-21,632,634.6,612.7,617.7,718500,607.76
2016-04-22,613.55,628.3,609,624.75,840300,614.7
2016-04-25,627.7,633.8,614.75,621.35,831100,611.36
2016-04-26,616,631,616,627.7,896800,617.6
2016-04-27,631,640,626.2,629.35,894900,619.23
2016-04-28,624.4,633.4,620.4,622.65,1039800,612.63
2016-04-29,620.05,643.1,611.1,638.45,1146700,628.18
2016-05-02,635,644.5,630.45,637.9,1037100,627.64
2016-05-03,639.45,645,609,612.3,2124200,602.45
2016-05-04,604,611.5,587.25,601.5,1429900,591.82
2016-05-05,604.5,614.6,593.2,609.25,1029300,599.45
2016-05-06,604,610.9,603,606.35,480600,596.6
2016-05-09,607.6,626.25,607.6,624.5,831000,614.45
2016-05-10,626.8,629.7,614.05,616.4,489100,606.49
2016-05-11,610,622.45,604.5,617.9,596200,607.96
2016-05-12,620,628.2,617.15,622.5,553800,612.49
2016-05-13,620,622.5,605.1,612.9,604000,603.04
2016-05-16,613.9,621.2,600,613.7,614400,603.83
2016-05-17,614.5,620.75,610.3,614.7,476100,604.81
2016-05-18,611.9,611.9,600.25,607.2,591000,597.43
2016-05-19,608.1,611.6,588.85,592.5,670600,582.97
2016-05-20,595,603.5,591.3,593.8,428900,584.25
2016-05-23,597.2,602.55,592.75,594.7,300100,585.13
2016-05-24,594,597,580,586.35,438000,576.92
2016-05-25,596,604.9,592.15,598.95,416600,589.32
2016-05-26,599.5,620.45,592.5,619.5,1142000,609.54
2016-05-27,622.7,627,614,623.2,1056300,613.18
2016-05-30,627.4,628.9,616.85,621.2,433400,611.21
2016-05-31,623.7,624.7,610.5,622.45,459400,612.44
2016-06-01,623.1,640.9,620,625.55,985800,615.49
2016-06-02,627,634.95,621.2,633.35,531300,623.16
2016-06-03,633.35,635.85,613.2,618.05,678000,608.11
2016-06-06,618.8,623.7,608.65,616.05,360900,606.14
2016-06-07,619.9,645,618,642.6,1207700,632.26
2016-06-08,645,658,643.65,656.05,1388300,645.5
2016-06-09,657,661.7,641.1,645.7,627400,635.31
2016-06-10,646.05,654.45,635,637.15,557300,626.9
2016-06-13,635,635,619.1,630.4,414300,620.26
2016-06-14,630,642,627.4,630.4,614700,620.26
2016-06-15,635.15,639.75,631.65,637.4,366700,627.15
2016-06-16,637,637,615,621.45,570100,611.45
2016-06-17,625,627.2,613,614.05,545200,604.17
2016-06-20,611.3,624.5,605.55,623.05,529100,613.03
2016-06-21,626.1,655,620.4,651.4,2130900,640.92
