"Date","ALBK.NS.Open","ALBK.NS.High","ALBK.NS.Low","ALBK.NS.Close","ALBK.NS.Volume","ALBK.NS.Adjusted"
2016-01-13,61.85,62.2,59.1,60.1,2097400,60.1
2016-01-14,58.8,59.2,57.25,57.6,1688400,57.6
2016-01-15,57.3,57.95,52.3,52.9,3354400,52.9
2016-01-18,53,54.4,51.35,52.35,3406200,52.35
2016-01-19,52.8,54,52.25,53.05,2114100,53.05
2016-01-20,52.45,52.45,49.5,50.35,3124700,50.35
2016-01-21,50.65,51.95,49.5,51.2,2872100,51.2
2016-01-22,51.9,54.35,51.7,53.65,2413700,53.65
2016-01-25,54.65,54.8,52.35,52.9,1731800,52.9
2016-01-26,52.9,52.9,52.9,52.9,0,52.9
2016-01-27,53.2,55.5,52.35,54.95,3028500,54.95
2016-01-28,54.1,54.95,52.9,53.5,3821900,53.5
2016-01-29,53.5,54,51.1,53.65,2895900,53.65
2016-02-01,54.4,54.4,51.5,52,2436500,52
2016-02-02,52.1,54,50.85,51.25,3141100,51.25
2016-02-03,50.7,50.75,48.75,49.9,2577700,49.9
2016-02-04,50.6,51,48.9,49.75,2601600,49.75
2016-02-05,50.15,52.45,49.9,52,1984800,52
2016-02-08,52.25,56,52.1,52.8,3605400,52.8
2016-02-09,52,55,50.6,51.05,6746500,51.05
2016-02-10,48.1,49.5,45.25,46.05,12666200,46.05
2016-02-11,45.95,46.3,42.65,42.95,6051400,42.95
2016-02-12,43.45,43.45,39.4,41.3,6425800,41.3
2016-02-15,41.9,45.15,41.85,44,4934500,44
2016-02-16,45.15,45.6,41.9,42.5,4813800,42.5
2016-02-17,42.6,43.3,40.65,42.85,3821000,42.85
2016-02-18,43.6,44.15,41.5,42.75,4809100,42.75
2016-02-19,42.65,44.5,41.9,44.15,4107300,44.15
2016-02-22,44.2,44.9,43.6,44.2,2107500,44.2
2016-02-23,44.4,44.45,42.7,43.25,1981800,43.25
2016-02-24,43,43.95,42.25,43.4,2208000,43.4
2016-02-25,43.5,44.5,43.2,43.95,3290200,43.95
2016-02-26,44.8,44.8,42.8,44.05,2714100,44.05
2016-02-29,44.2,45.6,42.5,43.35,5654700,43.35
2016-03-01,43.55,44.8,43.55,44.5,2234100,44.5
2016-03-02,46,48.9,46,48.45,4645000,48.45
2016-03-03,49.4,49.6,46.75,48.15,4560600,48.15
2016-03-04,48.55,51.55,47.2,50.85,5471400,50.85
2016-03-07,50.85,50.85,50.85,50.85,0,50.85
2016-03-08,50.5,51.75,50.2,50.9,4565600,50.9
2016-03-09,49.9,52.45,49.45,51.95,3218800,51.95
2016-03-10,51.9,52.6,50.6,51.3,2427100,51.3
2016-03-11,51.25,51.9,50.05,50.8,2561700,50.8
2016-03-14,51.6,52.1,50.8,51.75,2491900,51.75
2016-03-15,51.7,52.4,51.3,51.8,2332900,51.8
2016-03-16,51.9,52.25,50.25,51.85,1948700,51.85
2016-03-17,52.75,53.15,51.6,52.1,2661600,52.1
2016-03-18,52.25,53.45,51.4,52.8,2245400,52.8
2016-03-21,53.05,54,53,53.8,1535000,53.8
2016-03-22,53.9,54,52.2,53.2,1601100,53.2
2016-03-23,53.3,53.7,52.55,52.9,1306800,52.9
2016-03-24,52.9,52.9,52.9,52.9,0,52.9
2016-03-25,52.9,52.9,52.9,52.9,0,52.9
2016-03-28,52.8,53.1,50.85,51.35,1331200,51.35
2016-03-29,51.7,53.05,51.7,52.65,2742200,52.65
2016-03-30,53,54,52.25,53.5,2326000,53.5
2016-03-31,53.5,55.3,53.05,54.85,2292200,54.85
2016-04-01,54.7,58.2,54.05,57.75,3054600,57.75
2016-04-04,58.6,58.6,56.65,57.2,2369200,57.2
2016-04-05,56.65,57.8,54,54.5,3857700,54.5
2016-04-06,54.35,55.1,52.95,53.75,2141700,53.75
2016-04-07,53.7,54.65,52.15,53.35,3130600,53.35
2016-04-08,53.25,54.65,52.8,53.85,1688200,53.85
2016-04-11,54.05,56.8,53.55,56.35,2579500,56.35
2016-04-12,56.5,57,54.75,55.55,2070200,55.55
2016-04-13,56.45,57.2,56.15,56.6,1647700,56.6
2016-04-14,56.6,56.6,56.6,56.6,0,56.6
2016-04-15,56.6,56.6,56.6,56.6,0,56.6
2016-04-18,56.5,56.7,55.15,56.1,1532300,56.1
2016-04-19,56.1,56.1,56.1,56.1,0,56.1
2016-04-20,56.2,59.2,55.2,58.55,3565000,58.55
2016-04-21,59.65,61.95,59.3,59.75,5117500,59.75
2016-04-22,59.5,60.75,58.7,60.15,3030300,60.15
2016-04-25,60.4,60.45,57.5,58.6,3050100,58.6
2016-04-26,58.95,60.45,58,60.05,3072200,60.05
2016-04-27,60.45,60.45,59.05,59.6,1540600,59.6
2016-04-28,59.7,60.4,58.6,58.85,2184600,58.85
2016-04-29,58.9,59.25,56,58.25,3008000,58.25
2016-05-02,57.95,57.95,56.35,56.85,2063700,56.85
2016-05-03,57.65,58,56.1,56.3,2401700,56.3
2016-05-04,56.1,56.4,53.1,53.45,2618000,53.45
2016-05-05,53.45,54.05,52.35,53.65,2375200,53.65
2016-05-06,53.4,55.1,53.1,54.2,2206800,54.2
2016-05-09,54.6,55.5,54.25,55.15,1948400,55.15
2016-05-10,55.4,55.45,53.9,55.05,1760900,55.05
2016-05-11,53.95,54.95,52.9,53.45,2901600,53.45
2016-05-12,53.35,53.75,52.65,53.3,2853800,53.3
2016-05-13,53,53.15,51.9,52.55,2396400,52.55
2016-05-16,51,51.45,49.6,50.65,3666900,50.65
2016-05-17,50.85,52.6,50.25,51.75,3025600,51.75
