"Date","UNIONBANK.NS.Open","UNIONBANK.NS.High","UNIONBANK.NS.Low","UNIONBANK.NS.Close","UNIONBANK.NS.Volume","UNIONBANK.NS.Adjusted"
2015-09-30,182,183,173.8,175.2,4789400,172.5
2015-10-01,177.9,178.7,172.75,173.85,2874100,171.17
2015-10-02,173.85,173.85,173.85,173.85,0,171.17
2015-10-05,175.9,182.9,175.8,182.4,4124000,179.59
2015-10-06,183,186.25,178.55,185.05,3950400,182.2
2015-10-07,184,188.15,183.1,185,4096400,182.15
2015-10-08,183.3,188.5,182.5,185.15,3642500,182.29
2015-10-09,186.8,188.6,180.8,181.8,3531400,179
2015-10-12,181.1,184.45,178.05,182.25,2652300,179.44
2015-10-13,182.4,183.5,178.5,180.05,2039000,177.27
2015-10-14,180.5,181.7,175,175.55,2469500,172.84
2015-10-15,177,178.95,176.5,178.15,2095600,175.4
2015-10-16,179.2,179.2,173.1,175.6,3329100,172.89
2015-10-19,176,177.2,172.35,173.8,2104300,171.12
2015-10-20,175,177,173.25,174.05,1998700,171.37
2015-10-21,174.45,175,168.1,170,2677400,167.38
2015-10-22,170,170,170,170,0,167.38
2015-10-23,173,173.1,168.05,168.95,2106000,166.34
2015-10-26,170.4,170.9,163.65,164.4,2636000,161.86
2015-10-27,163.5,167.85,162.85,166.7,2120900,164.13
2015-10-28,166,168.9,162.05,163.75,3493300,161.22
2015-10-29,164,165.5,158.95,159.55,5247500,157.09
2015-10-30,161,162,155.8,156.6,4294500,154.19
2015-11-02,155.9,162.8,153.8,159.55,6213300,157.09
2015-11-03,161.15,161.9,158.05,158.5,4196000,156.06
2015-11-04,160,164.85,159.85,163.7,4578100,161.18
2015-11-05,163.6,164.8,160.1,161.95,2157700,159.45
2015-11-06,163,165.7,156.25,162.9,7428400,160.39
2015-11-09,159,164.9,158.75,163.3,3852200,160.78
2015-11-10,162.3,167.7,159.7,160.55,3483000,158.07
2015-11-11,160.55,160.55,160.55,160.55,0,158.07
2015-11-12,160.55,160.55,160.55,160.55,0,158.07
2015-11-13,160.65,162.6,159,160.7,2151900,158.22
2015-11-16,160.5,166.5,160.15,165.75,2630600,163.19
2015-11-17,167,167.45,164.2,165.2,2723800,162.65
2015-11-18,165.5,166.2,159,160,2379600,157.53
2015-11-19,161.35,162.5,160,161.3,1773700,158.81
2015-11-20,161.8,163.6,159.3,161.95,2671400,159.45
2015-11-23,162,162.8,160.05,160.5,1603200,158.02
2015-11-24,160.4,162.1,157.9,158.8,1945500,156.35
2015-11-25,158.8,158.8,158.8,158.8,0,156.35
2015-11-26,160,160.95,158.5,160,1487300,157.53
2015-11-27,161,168.75,160.3,168.25,4484200,165.66
2015-11-30,168.35,173.75,168.05,173.25,3460800,170.58
2015-12-01,173.4,174,171.25,172.6,2277000,169.94
2015-12-02,172.1,173.7,169.05,170.45,2304500,167.82
2015-12-03,169.5,172.45,168.1,168.75,1802200,166.15
2015-12-04,168,168.35,164.55,165.5,1753400,162.95
2015-12-07,166.75,167.4,163.3,165.3,1346300,162.75
2015-12-08,164.5,166.3,159.55,160.6,1636400,158.12
2015-12-09,160.25,162.6,156.2,156.9,2906800,154.48
2015-12-10,157.9,158.5,149.2,150.05,4338400,147.74
2015-12-11,150.05,153.75,145,146,3999100,143.75
2015-12-14,144.95,148.3,143.75,144.75,2626300,142.52
2015-12-15,145.5,146.75,143.1,145.85,2686700,143.6
2015-12-16,147.15,149.2,145.8,146.6,2492700,144.34
2015-12-17,147.95,150,146.95,148.4,2376400,146.11
2015-12-18,148,154.35,147.5,150.7,4412700,148.38
2015-12-21,152.6,154,151.5,153.1,2212000,150.74
2015-12-22,154,155,150.25,151.35,2268500,149.02
2015-12-23,152.7,154,152.1,153.2,1462300,150.84
2015-12-24,153.65,153.95,150.6,151.35,1322100,149.02
2015-12-25,151.35,151.35,151.35,151.35,0,149.02
2015-12-28,151.4,153.6,151.4,152.85,1182700,150.49
2015-12-29,153.75,153.75,150.7,151.4,1353400,149.07
2015-12-30,151.95,154.25,148.8,149.5,2895300,147.19
2015-12-31,150,150.2,147.3,148.65,2587700,146.36
2016-01-01,148.25,151.5,147.8,150,1933900,147.69
2016-01-04,149.8,149.95,143.95,144.65,2314700,142.42
2016-01-05,145,145.6,141.75,142.95,2564600,140.75
2016-01-06,142.8,146.5,142.2,143.65,2102500,141.43
2016-01-07,141,141.1,135.15,135.55,2630400,133.46
2016-01-08,136.65,138.6,136.05,136.85,1395500,134.74
2016-01-11,134.3,134.9,130.15,130.5,3020500,128.49
2016-01-12,131.15,132.6,126.75,127.1,3352000,125.14
2016-01-13,128.2,129.95,123.6,127.85,3849900,125.88
2016-01-14,125.6,127.3,122.8,123.85,2382100,121.94
2016-01-15,124.95,124.95,112,113.3,4941600,111.55
2016-01-18,114.2,114.75,108.15,112.65,5670600,110.91
2016-01-19,113.55,117.5,112,114.3,3345000,112.54
2016-01-20,112,113.2,108.3,111.25,3648200,109.53
2016-01-21,113.9,116.3,111.6,114.2,4095900,112.44
2016-01-22,116,121,115.7,120.35,3823600,118.49
2016-01-25,122.1,123.8,118.4,118.9,2369800,117.07
2016-01-26,118.9,118.9,118.9,118.9,0,117.07
2016-01-27,119.35,131.3,119,130.15,9401900,128.14
2016-01-28,128.5,130.5,123.3,125.65,4834500,123.71
2016-01-29,125,131.8,121.6,130.85,4747200,128.83
2016-02-01,131,131.05,123.3,125.65,2328200,123.71
2016-02-02,126.5,133.65,125.4,126.5,7372000,124.55
2016-02-03,123.9,125.3,120.5,123,3875800,121.1
2016-02-04,125.95,127.8,122.35,124.75,3283300,122.83
2016-02-05,125.4,133.65,124.6,132.05,4027900,130.01
2016-02-08,131.85,139,131.15,134.95,4424600,132.87
2016-02-09,131.9,136.6,128.15,129.4,4756600,127.4
2016-02-10,127.8,128.35,119.7,123.25,5956000,121.35
2016-02-11,122,128.8,117.1,118.3,17588100,116.48
2016-02-12,119,119.95,105.55,110.05,8972000,108.35
2016-02-15,114,122.8,113.4,120,6918900,118.15
2016-02-16,123,123.4,112.7,113.35,4908500,111.6
2016-02-17,112.5,115.75,108.3,114.55,7056900,112.78
2016-02-18,116.9,120.35,112.15,114.2,5326900,112.44
2016-02-19,113,118.85,112.4,118,5504900,116.18
2016-02-22,119,119.5,114.7,115.7,3327500,113.92
2016-02-23,115.05,115.5,110.8,111.3,3730700,109.58
2016-02-24,109.8,114.3,109.05,112.6,4210700,110.86
2016-02-25,113.4,114.8,111.5,113.45,4046700,111.7
2016-02-26,115.7,116,107.25,108.7,11056200,107.02
2016-02-29,110,111.8,104,106.95,10229200,105.3
2016-03-01,109.4,113.4,107.7,112.55,4976700,110.81
2016-03-02,117,123.15,117,121.3,8033000,119.43
2016-03-03,122.4,123,118.3,121,3910400,119.13
2016-03-04,121.9,127.7,118.65,125.8,8554000,123.86
2016-03-07,125.8,125.8,125.8,125.8,0,123.86
2016-03-08,126,127.15,123.65,125.8,6410000,123.86
2016-03-09,124,127,123.7,126.4,3588700,124.45
2016-03-10,127.9,128.3,123.6,124.2,3777000,122.28
2016-03-11,124.2,125.45,122.2,123.95,2856200,122.04
2016-03-14,125.65,126.6,123.75,124.8,2369300,122.88
2016-03-15,125,127.6,124.75,125.3,2876600,123.37
2016-03-16,125.5,127.2,121.55,126.5,3603600,124.55
2016-03-17,128.8,129.7,125.05,126.25,3215600,124.3
2016-03-18,127.15,128.35,125.35,127.85,2618100,125.88
2016-03-21,128.15,131.85,128.1,130.7,3695400,128.68
2016-03-22,131.2,131.4,128.75,130.1,3042800,128.09
2016-03-23,129.75,129.75,127.4,128.1,1862100,126.12
2016-03-24,128.1,128.1,128.1,128.1,0,126.12
2016-03-25,128.1,128.1,128.1,128.1,0,126.12
2016-03-28,128.4,128.8,123.25,124.4,1925900,122.48
2016-03-29,124,126,123.6,124.45,1909300,122.53
2016-03-30,126.25,130.6,124.95,129,3355800,127.01
2016-03-31,129,132.8,127.65,130.8,7022500,128.78
2016-04-01,130.7,140.85,129.8,139.4,5875900,137.25
2016-04-04,140.7,141.2,136.15,137.4,3751900,135.28
2016-04-05,137.2,138,128.75,129.35,6125800,127.36
2016-04-06,129.4,129.8,126.5,127.75,3164400,125.78
2016-04-07,127.75,128.5,124,124.8,4567600,122.88
2016-04-08,124.5,126.65,123.8,125.65,1796900,123.71
2016-04-11,125.9,130.45,123.6,129.6,3867800,127.6
2016-04-12,129.5,131.4,128.1,128.75,2621400,126.76
2016-04-13,131,133.9,129.9,131.25,3436300,129.23
2016-04-14,131.25,131.25,131.25,131.25,0,129.23
2016-04-15,131.25,131.25,131.25,131.25,0,129.23
2016-04-18,130.5,130.5,126.75,127.9,2533500,125.93
2016-04-19,127.9,127.9,127.9,127.9,0,125.93
2016-04-20,128,129.2,124.55,127.25,5214300,125.29
2016-04-21,129.3,135.8,128.75,131.8,10838100,129.77
2016-04-22,131,135.2,130.6,133.1,6009300,131.05
2016-04-25,134.85,135.75,128.7,130.5,5359900,128.49
2016-04-26,130.25,132.6,128.1,131.35,5745600,129.32
2016-04-27,131.4,133.9,130.2,131.85,3709900,129.82
2016-04-28,131.95,133,128.1,128.55,4136600,126.57
2016-04-29,128.35,130,124.65,127.4,4038900,125.44
2016-05-02,127,127.25,125.2,126.1,2563400,124.16
2016-05-03,126.5,128.8,123.7,124.25,4051800,122.33
2016-05-04,123,123.9,117.2,117.7,5842000,115.88
2016-05-05,118,118.5,115,116.7,5487400,114.9
2016-05-06,117,119.5,115.8,117.5,4317400,115.69
2016-05-09,118.95,122.8,118.1,122.05,3435800,120.17
2016-05-10,122.5,122.5,119.65,120.85,4247300,118.99
