"Date","BIOCON.NS.Open","BIOCON.NS.High","BIOCON.NS.Low","BIOCON.NS.Close","BIOCON.NS.Volume","BIOCON.NS.Adjusted"
2016-01-06,526.1,531.2,518,523.75,1743600,518.224
2016-01-07,516,522.8,509,511.3,854300,505.905
2016-01-08,515,521.5,512.8,518.15,513800,512.683
2016-01-11,514.7,529.65,510.25,522.55,641800,517.037
2016-01-12,527.65,527.65,516,518.55,699100,513.079
2016-01-13,520,530.55,496,509.45,907100,504.075
2016-01-14,500.7,520.3,497.35,517.75,797400,512.287
2016-01-15,518.4,522.7,498.35,501.9,455200,496.605
2016-01-18,465,498.8,465,481.55,601100,476.469
2016-01-19,485,500,482.1,494.2,370500,488.986
2016-01-20,490,492,471.45,481.7,451800,476.618
2016-01-21,486,493.45,475.75,483.2,497900,478.102
2016-01-22,482,494,476,483.1,964800,478.003
2016-01-25,486.85,491.7,481.1,489.05,437300,483.89
2016-01-26,489.05,489.05,489.05,489.05,0,483.89
2016-01-27,492.8,502.75,489,499.75,848000,494.477
2016-01-28,503,504.9,490.8,492.2,629600,487.007
2016-01-29,492.45,496.7,484,489.35,588300,484.187
2016-02-01,492.05,497.05,484.05,486.7,360000,481.565
2016-02-02,486.8,488.25,470.3,473.8,399100,468.801
2016-02-03,469.8,471.75,460.25,462.7,543800,457.818
2016-02-04,467,474.8,457.9,467.6,524600,462.666
2016-02-05,462.4,476.4,461.7,472.7,330000,467.713
2016-02-08,477.5,478.9,467,470.75,225400,465.783
2016-02-09,465.1,474,453,458.35,379800,453.514
2016-02-10,455.05,462.75,449.05,457.5,376600,452.673
2016-02-11,456.9,457.45,441,443.1,493800,438.425
2016-02-12,443.1,452,431,446.1,622900,441.393
2016-02-15,450.75,474.25,448.8,458.05,901800,453.217
2016-02-16,462.95,464.9,446.1,448.5,550100,443.768
2016-02-17,449.75,464,446.4,461.65,650400,456.779
2016-02-18,464.5,468.5,457.6,462.5,474300,457.62
2016-02-19,461.85,465.45,459.55,462.55,203000,457.67
2016-02-22,464.85,473.25,461.85,471.95,302800,466.971
2016-02-23,475.25,479.45,469.55,473.2,579700,468.207
2016-02-24,471.35,473.5,462.6,465.4,434100,460.49
2016-02-25,467.5,467.5,454.5,457.25,539300,452.426
2016-02-26,460,471.5,454.1,467.15,502800,462.221
2016-02-29,467.75,475.75,457.5,469.5,541300,464.546
2016-03-01,470,474,466,469.8,423800,464.843
2016-03-02,473.45,490,471.95,480.9,656100,475.826
2016-03-03,483.55,489.65,481.35,483.65,428600,478.547
2016-03-04,482.15,492.5,482,486.55,535700,481.417
2016-03-07,486.55,486.55,486.55,486.55,0,481.417
2016-03-08,486.7,492.25,472.65,474.8,520000,469.79
2016-03-09,475,488,474.4,484.65,582900,479.537
2016-03-10,486,495.8,483.5,490.8,601400,485.622
2016-03-11,489,493,483.5,485.3,365300,480.18
2016-03-14,486.4,488.5,480.95,483.35,232700,478.25
2016-03-15,481.5,484.5,474,475.65,375600,470.632
2016-03-16,476.25,478.9,469,473.9,279300,468.9
2016-03-17,473.75,478.7,461,463.95,657000,463.95
2016-03-18,464,464.85,454.85,459.3,352800,459.3
2016-03-21,460,470,457.5,468.5,253200,468.5
2016-03-22,468.6,473.25,464.7,467.1,241300,467.1
2016-03-23,465.8,467.4,461.1,463.95,164500,463.95
2016-03-24,463.95,463.95,463.95,463.95,0,463.95
2016-03-25,463.95,463.95,463.95,463.95,0,463.95
2016-03-28,470,486,462.65,480.5,598700,480.5
2016-03-29,487,493.95,480.15,482.25,1036200,482.25
2016-03-30,488.45,488.45,480.15,481.4,345600,481.4
2016-03-31,481.4,486,475.35,483.35,570700,483.35
2016-04-01,483.75,493.35,482.15,490.9,260800,490.9
2016-04-04,494.95,494.95,486.55,492,259100,492
2016-04-05,501.5,533.5,498.1,527.25,4526000,527.25
2016-04-06,531.4,535,522.6,531.75,1622000,531.75
2016-04-07,532.05,544.8,530.2,536.5,1756100,536.5
2016-04-08,538,544,532.9,536.4,1005900,536.4
2016-04-11,538.5,552.45,531.7,546.45,952900,546.45
2016-04-12,551,564.45,548.7,555.2,1458100,555.2
2016-04-13,560.9,562.9,551.25,554.35,854000,554.35
2016-04-14,554.35,554.35,554.35,554.35,0,554.35
2016-04-15,554.35,554.35,554.35,554.35,0,554.35
2016-04-18,548.55,561.45,548.55,559.45,962000,559.45
2016-04-19,559.45,559.45,559.45,559.45,0,559.45
2016-04-20,559.9,574.25,555.55,566.95,1106300,566.95
2016-04-21,564.25,564.5,546.75,551.8,779900,551.8
2016-04-22,550.8,562,548.1,550.95,526000,550.95
2016-04-25,555.4,563.95,550.85,558.25,653700,558.25
2016-04-26,558,569.1,555.15,565.35,1088900,565.35
