"Date","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
2016-02-09,595,599.75,573.55,576.4,532700,572.0555
2016-02-10,579,595.9,571,588.25,672300,583.8161
2016-02-11,589.9,594,574.8,580,565600,575.6283
2016-02-12,582.9,591,568.2,582.75,462000,578.3576
2016-02-15,589,599.8,586.1,589.55,557200,585.1063
2016-02-16,585.5,595,576.35,579.5,397700,575.1321
2016-02-17,587,603,580.65,600.5,820900,595.9738
2016-02-18,609,624.9,607.9,621.05,1088200,616.3689
2016-02-19,619.95,631,618.2,626.25,589700,621.5297
2016-02-22,626,648,626,635.85,870300,631.0573
2016-02-23,637,638.55,609,612.2,771800,607.5856
2016-02-24,611.6,615.4,603.2,605.55,1207000,600.9857
2016-02-25,609,609,589.05,600.2,597600,595.676
2016-02-26,619,619,579,582,546000,577.6132
2016-02-29,586,592.75,580.1,586.65,397200,582.2282
2016-03-01,592.5,594.8,583.05,585,498600,580.5906
2016-03-02,589.5,608,587.1,600,1111100,595.4775
2016-03-03,608.45,610,599.1,603.6,388600,599.0504
2016-03-04,607.6,607.6,594.65,596.95,367100,592.4505
2016-03-07,596.95,596.95,596.95,596.95,0,592.4505
2016-03-08,600,606.55,592.4,594.9,249100,590.416
2016-03-09,595,603.7,590.4,600.1,188000,595.5768
2016-03-10,602,605.75,596.4,602.75,326100,598.2068
2016-03-11,602.9,608.4,597.85,604.35,267900,599.7947
2016-03-14,605.95,608,598,600.2,170400,595.676
2016-03-15,599.9,602,595.1,598.25,291100,593.7407
2016-03-16,598,599.45,586.2,588.2,200700,583.7665
2016-03-17,593.9,600.4,590.9,595.7,497800,591.21
2016-03-18,598,600,590.55,593.05,182200,592.2085
2016-03-21,594.5,596,588.6,594.4,154600,593.5566
2016-03-22,596.5,604.5,591.85,594,539900,593.1572
2016-03-23,598.7,603.2,596.1,599.8,202500,598.9489
2016-03-24,599.8,599.8,599.8,599.8,0,598.9489
2016-03-25,599.8,599.8,599.8,599.8,0,598.9489
2016-03-28,600,602.8,562.45,577.7,471400,576.8803
2016-03-29,572,602.3,565.55,595.35,666900,594.5052
2016-03-30,601.95,606.8,595.1,596.05,1500200,595.2043
2016-03-31,600,600.45,585,589.3,474100,588.4638
2016-04-01,588,597.75,586.35,588.9,213200,588.0644
2016-04-04,590,593.45,585.3,587.2,257800,586.3668
2016-04-05,587.45,592.95,582.4,590,159800,589.1629
2016-04-06,592.9,604.9,589.45,599.4,668300,598.5495
2016-04-07,601.9,605,591.95,593.55,176900,592.7078
2016-04-08,594.6,604.5,592.75,596.55,226300,595.7035
