"Date","DABUR.NS.Open","DABUR.NS.High","DABUR.NS.Low","DABUR.NS.Close","DABUR.NS.Volume","DABUR.NS.Adjusted"
2015-10-26,264,269,264,266.70001,990100,263.49593
2015-10-27,266.89999,271.29999,265.10001,271,2279000,267.74426
2015-10-28,272.70001,273.29999,268.75,271.95001,3333200,268.68286
2015-10-29,273.29999,274.70001,271,272.45001,1596400,269.17685
2015-10-30,272.5,273.35001,268.35001,269.75,1920400,266.50928
2015-11-02,269.75,271.20001,265.14999,270.85001,1524500,267.59607
2015-11-03,272.64999,272.64999,269,270.20001,657600,266.95389
2015-11-04,270,271.10001,268.10001,270.04999,707600,266.80566
2015-11-05,269.60001,270.85001,264.29999,266.25,2012300,264.2746
2015-11-06,263.54999,268.45001,263.54999,267.64999,894400,265.66421
2015-11-09,260.04999,269.25,260.04999,266.64999,2257700,264.67162
2015-11-10,267.75,267.75,262.5,264.64999,756400,262.68646
2015-11-11,264.64999,264.64999,264.64999,264.64999,0,262.68646
2015-11-12,264.64999,264.64999,264.64999,264.64999,0,262.68646
2015-11-13,266.60001,268.54999,262.5,267.54999,1156500,265.56494
2015-11-16,267.95001,268,260.10001,260.89999,2004900,258.96429
2015-11-17,261.64999,266,260.64999,264.04999,2120100,262.09091
2015-11-18,264.35001,270,264.20001,269.04999,978900,267.05381
2015-11-19,270.20001,274.5,270.20001,274,1217400,271.9671
2015-11-20,275,278,274.35001,275.89999,1678400,273.853
2015-11-23,274.25,278.89999,273.54999,274.79999,646500,272.76115
2015-11-24,274.95001,277.95001,274.04999,275.20001,568000,273.15821
2015-11-25,275.20001,275.20001,275.20001,275.20001,0,273.15821
2015-11-26,275.89999,280.75,274.89999,279.79999,646100,277.72405
2015-11-27,281,281.35001,274.89999,275.70001,811900,273.6545
2015-11-30,276.29999,277.45001,271.60001,272.54999,2118000,270.52784
2015-12-01,275.04999,279.64999,274.14999,278.5,872600,276.43371
2015-12-02,279.89999,284.5,276.95001,283.89999,800900,281.79364
