"Date","CESC.NS.Open","CESC.NS.High","CESC.NS.Low","CESC.NS.Close","CESC.NS.Volume","CESC.NS.Adjusted"
2016-07-12,609,614.7,601.1,604.05,287000,597.13
2016-07-13,607.85,608.95,593.4,598.85,358300,591.99
2016-07-14,598,602.85,590.15,596.9,146400,590.06
2016-07-15,598,600.85,583,584.65,258800,577.95
2016-07-18,584.65,610,584,601.2,439900,594.31
2016-07-19,604.95,616,602.1,608.3,496400,601.33
2016-07-20,612.2,612.2,602.25,604.5,233200,597.57
2016-07-21,604.2,608,592,594.8,295800,587.98
2016-07-22,595.9,611.75,586,604.7,389000,597.77
2016-07-25,605.1,620,599,616.3,305400,609.24
2016-07-26,619,634.5,607.2,611.4,619900,604.39
2016-07-27,610,618.75,604.35,609.7,409100,602.71
2016-07-28,609.9,630.55,606.3,628.5,668600,621.3
2016-07-29,630.5,632,610.3,614.6,240700,607.56
2016-08-01,619,624.95,607.55,611.05,179800,604.05
2016-08-02,611.05,617.1,602.1,605.4,129900,598.46
2016-08-03,605.25,610,595,599.35,162100,592.48
2016-08-04,601.2,616.4,594,609.95,348800,602.96
2016-08-05,610,620.85,610,617.3,206500,610.23
2016-08-08,618.05,629.5,615,627.4,349500,620.21
2016-08-09,627,639,621.95,628.55,567900,621.35
2016-08-10,628,636.85,620.55,626.55,263500,619.37
2016-08-11,627,635.75,620.8,629.7,318000,622.48
2016-08-12,630.9,644,630.8,639.65,341200,632.32
2016-08-15,639.65,639.65,639.65,639.65,0,632.32
2016-08-16,640.4,654.9,640.4,651.15,372800,643.69
2016-08-17,654.65,656.7,645.2,652,240900,644.53
2016-08-18,653.5,658.3,649,655.5,132600,647.99
2016-08-19,655.5,663.9,652.5,660.05,126300,652.49
2016-08-22,660,660,646.05,654.3,158900,646.8
2016-08-23,654.3,658.9,648,651.4,190900,643.94
2016-08-24,653,654.15,646.75,650.5,136200,643.05
2016-08-25,651.3,660,648.5,658.2,291900,650.66
2016-08-26,662.1,664.95,648.85,652.3,153900,644.83
2016-08-29,653.4,655,646,651.9,80400,644.43
2016-08-30,653,659.5,651,655.1,158500,647.59
2016-08-31,655.1,669.95,654.05,666.6,401200,658.96
2016-09-01,670,683,658,661.05,687900,653.48
2016-09-02,664.9,676.9,663.5,674.45,447000,666.72
2016-09-05,674.45,674.45,674.45,674.45,0,666.72
2016-09-06,674.45,678.95,667.4,671.5,257900,663.81
2016-09-07,672.3,681.5,670.1,672.8,301300,665.09
2016-09-08,670,672.75,663.5,670.4,182400,662.72
2016-09-09,671.2,681.4,633.65,642.35,513900,634.99
2016-09-12,631,648,624.35,637.35,374800,630.05
2016-09-13,637.35,637.35,637.35,637.35,0,630.05
2016-09-14,638,658,636.6,653.55,831200,646.06
2016-09-15,658,673.55,645,648.3,647800,640.87
2016-09-16,657,663.8,649.3,653.2,281900,645.72
2016-09-19,654.7,660.4,646.35,648.8,148500,641.37
2016-09-20,644.05,650.75,639,641.75,146600,634.4
2016-09-21,638.1,651,636.7,643.35,280600,635.98
2016-09-22,654,654,639.7,644,184700,636.62
2016-09-23,641.35,651.6,641.35,645.5,214300,638.1
2016-09-26,650,650,639.55,641.05,169700,633.7
2016-09-27,645,648.9,614,617.15,437500,610.08
2016-09-28,618.7,626.85,607,622,771200,614.87
2016-09-29,624.7,631.95,604.2,609.5,545500,602.52
2016-09-30,601.05,614.6,600,610.75,254600,603.75
2016-10-03,611,630.2,611,624.6,370500,617.44
2016-10-04,627,638,625,632.4,384400,625.15
2016-10-05,633,635.45,609.4,614,542200,606.96
2016-10-06,614,628.8,609.05,623.65,465900,616.5
2016-10-07,623.65,634.5,619.85,629.35,259400,622.14
2016-10-10,629.35,641.75,623.8,626.2,306000,619.02
2016-10-11,626.2,626.2,626.2,626.2,0,619.02
2016-10-12,626.2,626.2,626.2,626.2,0,619.02
2016-10-13,624.1,624.95,596,600.75,573800,593.87
2016-10-14,599.5,606.75,590.3,602.65,679900,595.74
2016-10-17,602.7,604.5,591.25,594.8,430600,587.98
2016-10-18,598,606.25,596.5,604.15,269700,597.23
2016-10-19,604.5,616.9,603.15,613.2,233900,606.17
2016-10-20,618,622,608,613.2,299100,606.17
2016-10-21,614,618.9,607.75,616.3,150000,609.24
2016-10-24,619.9,620.4,610.25,615.2,154000,608.15
2016-10-25,618,621.55,609.05,617.3,110800,610.23
2016-10-26,617.55,617.95,597.4,602.2,235700,595.3
2016-10-27,599,618,592,614.05,497200,607.01
2016-10-28,612,631.4,610,628.45,368200,621.25
2016-10-31,628.45,628.45,628.45,628.45,0,621.25
2016-11-01,634,634.3,625.05,628.6,323000,621.4
2016-11-02,628,632.35,615.15,626.05,278200,618.88
2016-11-03,625,628.3,570.2,593.6,3150700,586.8
2016-11-04,585,596.05,578.4,586.2,507200,579.48
2016-11-07,590.5,599.9,587.05,596.35,333600,589.52
2016-11-08,595,601,581.55,591.95,500200,585.17
2016-11-09,536,592,533,584.3,415500,577.61
2016-11-10,591.1,598.55,581.4,594.65,263900,587.84
2016-11-11,608.4,621.7,588,593.45,1133000,586.65
2016-11-14,593.45,593.45,593.45,593.45,0,586.65
2016-11-15,594.15,596.1,567,580.4,332800,573.75
