"Date","PVR.NS.Open","PVR.NS.High","PVR.NS.Low","PVR.NS.Close","PVR.NS.Volume","PVR.NS.Adjusted"
2015-11-27,841,856,836.2,849.5,86100,848.06
2015-11-30,856,865,831.1,836,106700,834.58
2015-12-01,841,848,840,844.65,33900,843.22
2015-12-02,850,850,822.65,847.1,105600,845.67
2015-12-03,839.95,839.95,822.5,826.25,62600,824.85
2015-12-04,824,824,805,806.8,85600,805.43
2015-12-07,814.8,821.8,801,803.7,41000,802.34
2015-12-08,800.05,811,795.5,798.3,65300,796.95
2015-12-09,807.9,807.9,775,780.6,172600,779.28
2015-12-10,788,788,741.1,751.5,239000,750.23
2015-12-11,754.4,796,754.4,789.95,269000,788.61
2015-12-14,785.05,785.9,758.6,776.65,154100,775.34
2015-12-15,785,790.7,772.9,785.5,43700,784.17
2015-12-16,791,815,786.1,811.95,93100,810.58
2015-12-17,821,821,805.65,809.55,123400,808.18
2015-12-18,814,823.55,812,818.8,167700,817.41
2015-12-21,824,825,814.5,817.7,59100,816.32
2015-12-22,827.25,830,814.3,816.9,134300,815.52
2015-12-23,817,822.45,783.5,794.5,132000,793.15
2015-12-24,796,805,790.4,797,95100,795.65
2015-12-25,797,797,797,797,0,795.65
2015-12-28,798,804.8,795,797.1,46400,795.75
2015-12-29,801,814.5,787.9,811.85,133900,810.48
2015-12-30,812.8,812.8,797.05,805.45,38800,804.09
2015-12-31,807.9,810.55,797.1,801.75,74600,800.39
2016-01-01,797.55,809.95,792,794.95,36400,793.6
2016-01-04,800,808,794.8,806.75,69500,805.38
2016-01-05,808,829,798.1,824.15,108900,822.75
2016-01-06,828,828,810,817.15,49800,815.77
2016-01-07,802.05,810.6,792.35,795.95,74400,794.6
2016-01-08,803.95,806,779,793.15,76200,791.81
2016-01-11,788.95,791.15,781.1,788.55,17500,787.21
2016-01-12,791.1,796.55,768,771.5,40700,770.19
2016-01-13,772.05,783,750,768.2,62700,766.9
2016-01-14,760.1,781.8,741.6,779.75,134000,778.43
2016-01-15,787.5,803,775,789.45,281400,788.11
2016-01-18,775,798.5,757.2,781,42200,779.68
2016-01-19,780,797.05,757,764.95,71300,763.65
2016-01-20,759.9,763.85,744,749.25,68600,747.98
2016-01-21,754,759,726,732.5,136600,731.26
2016-01-22,739.85,743.35,727.2,732.35,1e+05,731.11
2016-01-25,736.2,770,736.2,759.55,98100,758.26
2016-01-26,759.55,759.55,759.55,759.55,0,758.26
2016-01-27,771,771,728.8,739.8,120800,738.55
2016-01-28,742.95,742.95,732.4,736.75,79800,735.5
2016-01-29,746,779.45,720,753.75,441200,752.47
2016-02-01,761.3,789,736.75,772.5,109800,771.19
2016-02-02,779,780,761,766.35,71100,765.05
2016-02-03,747.75,764.6,747.75,756.75,53100,755.47
2016-02-04,758,765.55,735.55,742.5,63800,741.24
2016-02-05,736.1,753.15,735,738.5,18000,737.25
2016-02-08,739.3,760.95,739.3,750.4,47400,749.13
2016-02-09,751,761.15,736,756.4,21600,755.12
2016-02-10,755.8,755.8,719,729.5,55400,728.26
2016-02-11,734,737.05,695,710.05,120500,708.85
2016-02-12,710.05,713,652.25,703.05,75000,701.86
2016-02-15,706,738.8,703.05,715.7,132300,714.49
2016-02-16,740,748,720,733.45,59800,732.21
2016-02-17,737.95,740.4,709,734.75,56000,733.51
2016-02-18,727.4,736.8,723.5,728.9,47400,727.67
2016-02-19,721.6,740,711.45,736.05,320700,734.8
2016-02-22,737.9,738,717.1,720,27600,718.78
2016-02-23,727,727,679.25,682.9,355100,681.74
2016-02-24,685,688,660.85,668.2,74000,667.07
2016-02-25,678.8,678.8,645.25,652.6,37800,651.5
2016-02-26,660.6,689.05,657,681.9,158800,680.75
2016-02-29,675,704,662.05,700.55,77900,699.36
2016-03-01,720,720,694.8,703,141300,701.81
2016-03-02,707.2,722,701.1,707.5,31800,706.3
2016-03-03,709.95,715,705.05,712.9,36200,711.69
2016-03-04,706,718.3,705,706.2,166500,705
2016-03-07,706.2,706.2,706.2,706.2,0,705
2016-03-08,711,716.8,706,709.75,65100,708.55
2016-03-09,709,716,703.6,714.4,31400,713.19
2016-03-10,718.15,758.4,715.35,746.05,197900,744.79
2016-03-11,747.6,747.6,731.6,734.5,37700,733.26
2016-03-14,721,775,721,738.5,42900,737.25
2016-03-15,745,745,706,708.25,58500,707.05
2016-03-16,715,715,696.55,701.6,24100,700.41
2016-03-17,713.95,732.2,700.1,725.9,54700,724.67
2016-03-18,733.2,733.2,706.15,709.75,94700,708.55
2016-03-21,718,718,703,709.55,91300,708.35
2016-03-22,713.55,722,696.6,714.05,88500,712.84
2016-03-23,710.35,716.05,701.1,713.3,117900,712.09
2016-03-24,713.3,713.3,713.3,713.3,0,712.09
2016-03-25,713.3,713.3,713.3,713.3,0,712.09
2016-03-28,724.9,729.95,707.55,715.45,69700,714.24
2016-03-29,714,717.6,703.6,706.6,49400,705.4
2016-03-30,707,737.8,707,734.15,165200,732.91
2016-03-31,737,745,721.25,734.45,127800,733.21
2016-04-01,721.15,742,721.15,735.85,46900,734.6
2016-04-04,742,742.05,730.05,736.9,131600,735.65
2016-04-05,736.4,747,732.05,740.95,191600,739.7
2016-04-06,736.1,744.8,732.1,736.4,74200,735.15
2016-04-07,722.55,741.95,720.7,725.3,7200,724.07
2016-04-08,724.15,738.4,722,723.75,19600,722.52
2016-04-11,735.95,747,725.1,744.35,78800,743.09
2016-04-12,745,803,742.45,797,254100,795.65
2016-04-13,797.15,816,795.05,805.55,217300,804.19
2016-04-14,805.55,805.55,805.55,805.55,0,804.19
2016-04-15,805.55,805.55,805.55,805.55,0,804.19
2016-04-18,804,813.8,795.15,803.4,76900,802.04
2016-04-19,803.4,803.4,803.4,803.4,0,802.04
2016-04-20,802,811,800,807.9,42300,806.53
2016-04-21,802,826.3,801.5,825.1,205900,823.7
2016-04-22,830,832,822,824.9,91400,823.5
2016-04-25,811,821.05,810,815.45,66200,814.07
2016-04-26,815.05,824.4,814.4,815.45,74600,814.07
2016-04-27,802.6,824,802.6,815.2,44300,813.82
2016-04-28,816,832,808,816.3,25500,814.92
2016-04-29,821.65,845.9,813.95,842.5,90800,841.07
2016-05-02,830.05,839,820.3,826.45,32000,825.05
2016-05-03,820.35,850,820.35,844.15,66500,842.72
2016-05-04,832,858,832,848.8,62100,847.36
2016-05-05,850,854.95,832.1,836.3,21600,834.88
2016-05-06,830.05,855,821,829.45,72800,828.05
2016-05-09,828,849.3,828,843.4,45900,841.97
2016-05-10,840.05,846.25,829,830.7,12000,829.29
2016-05-11,825.25,857.5,825.25,844.1,32100,842.67
2016-05-12,845,846.85,827.1,840.55,170000,839.13
