"Date","BPCL.NS.Open","BPCL.NS.High","BPCL.NS.Low","BPCL.NS.Close","BPCL.NS.Volume","BPCL.NS.Adjusted"
2015-10-23,905.2,917.8,905.2,910.2,1466400,413.536
2015-10-26,910.1,918.35,902,903.75,1754800,410.6056
2015-10-27,900,917,896,914.65,3806700,415.5578
2015-10-28,919,921.4,901.4,909.4,2137800,413.1726
2015-10-29,907,909,875.15,879.1,4146600,399.4062
2015-10-30,879.9,889.5,865.55,871.1,3366500,395.7715
2015-11-02,873,878.95,861.55,871.8,2017900,396.0895
2015-11-03,877,884,866.45,876.7,1458900,398.3158
2015-11-04,878.5,891.15,875.35,886,1274200,402.5411
2015-11-05,887,894.85,881.2,889,1640800,403.9041
2015-11-06,891.7,899.5,887.95,896.1,1402600,407.1299
2015-11-09,887.8,910.8,878.5,902.9,4235500,410.2194
2015-11-10,900.1,911.25,872,876.85,2368300,398.3839
2015-11-11,876.85,876.85,876.85,876.85,0,398.3839
2015-11-12,876.85,876.85,876.85,876.85,0,398.3839
2015-11-13,899,907.55,889.1,906.05,2300400,411.6505
2015-11-16,908,912.4,896.5,898.65,2448000,408.2885
2015-11-17,899,903.75,872.05,876.25,2334100,398.1113
2015-11-18,876,888.2,873,884,1064100,401.6324
2015-11-19,890,910,885.5,907.4,2202100,412.2639
2015-11-20,904.9,924.05,900.3,916.1,1700800,416.2166
2015-11-23,915.1,921.9,904.1,905.7,1841800,411.4915
2015-11-24,905.3,915.3,896,907.4,1725600,412.2639
2015-11-25,907.4,907.4,907.4,907.4,0,412.2639
2015-11-26,907.7,915.25,901.05,904.95,1631600,411.1508
2015-11-27,908.7,909.9,890.55,901.35,1067100,409.5151
2015-11-30,902.25,917.8,897.8,901.75,2960600,409.6969
2015-12-01,902.2,933.9,902.2,932.7,3079300,423.7586
2015-12-02,935,946.9,926.5,932.15,2775400,423.5087
2015-12-03,935,936,917.1,919.95,1671900,417.9658
2015-12-04,914,919.4,904,906.5,1208700,411.855
2015-12-07,917,923,907.95,910.75,1855200,413.7859
2015-12-08,918,925.8,909.05,912,2872000,414.3538
2015-12-09,912,915.6,877,882.25,2221700,400.8373
2015-12-10,880.9,907.5,867.25,904.15,1864800,410.7873
2015-12-11,905.15,911.45,886,892.9,1706800,405.676
2015-12-14,894.95,902,883.35,890.05,1294800,404.3812
2015-12-15,892,895.95,881.6,889.65,750700,404.1994
2015-12-16,900,917,899.95,903.55,1623400,410.5147
2015-12-17,912.85,916.1,899.55,903.95,1729100,410.6964
2015-12-18,905,915,898,900.75,1472800,409.2426
2015-12-21,905.4,909.9,892.1,897.5,1136600,407.766
2015-12-22,900.25,908,898.05,902.7,1108100,410.1285
2015-12-23,905,907.9,898.3,900.8,1709300,409.2653
2015-12-24,901.05,908.5,900.75,904.1,1082500,410.7646
2015-12-25,904.1,904.1,904.1,904.1,0,410.7646
2015-12-28,903.85,908,900.9,903.3,737100,410.4011
2015-12-29,909.1,915.9,900.2,902.6,1596200,410.0831
2015-12-30,902.6,907.25,888.65,891.7,1039100,405.1308
2015-12-31,892.1,901.6,884.45,892.3,6215600,405.4034
2016-01-01,893,902.4,891,896.05,552400,407.1072
2016-01-04,888.9,896.5,875,891.45,1202000,405.0172
2016-01-05,892.9,907.8,880.3,902.65,1987400,410.1058
2016-01-06,907.4,919.5,896,912.3,3028900,414.4901
2016-01-07,915.85,919.5,879.85,884.25,1677700,401.746
2016-01-08,892,907.5,890.4,903.55,1350100,410.5147
2016-01-11,902.5,902.5,885.4,888.05,1533900,403.4725
2016-01-12,888.05,899.3,882.35,890.15,2505000,404.4266
2016-01-13,896.9,902.5,868,895.9,3105500,407.039
2016-01-14,881,919.8,878.5,909.4,2158400,413.1726
2016-01-15,910.8,947,909.65,932.55,5982600,423.6904
2016-01-18,930.55,939.25,889.55,896.6,2733000,407.357
2016-01-19,898,906.25,882,895.8,1918200,406.9936
2016-01-20,893,901.8,875.5,885.5,4214900,402.3139
2016-01-21,892,898.7,865.5,875.55,2166300,397.7933
2016-01-22,879,888.3,871.7,883.25,1574700,401.2917
2016-01-25,883.55,886.65,868.05,877.9,1914500,398.861
2016-01-26,877.9,877.9,877.9,877.9,0,398.861
2016-01-27,878.8,888.5,868.85,870.6,3477500,395.5443
2016-01-28,871.5,877.5,861,868.9,4540800,394.772
2016-01-29,868.9,906.5,865.7,893.15,3131300,405.7896
2016-02-01,891,893.25,871.7,880.15,1849600,399.8833
2016-02-02,873,874.3,845.6,850.3,1892900,397.6153
2016-02-03,845.65,857.4,825.5,829.55,2836200,387.9122
2016-02-04,835,852,824.2,831.75,3376100,388.941
2016-02-05,836.8,846.5,826.6,843,1611500,394.2017
2016-02-08,843,853.1,823.4,825.2,1208600,385.8781
2016-02-09,821.9,839.5,816.7,824.9,3644800,385.7378
2016-02-10,828.75,841.9,812.95,837.55,1580000,391.6532
2016-02-11,834.8,837.55,812.05,817.75,2177100,382.3943
2016-02-12,821.7,822.7,762.3,772.8,4669600,361.3749
2016-02-15,799.7,808.6,776.65,779.75,3054100,364.6249
2016-02-16,783.7,783.7,731.85,751,4009600,351.1809
2016-02-17,759,785.5,755,780.95,4036500,365.186
2016-02-18,791.05,799.75,780.9,789.75,4174500,369.301
2016-02-19,790,790,761.5,765.85,3392600,358.125
2016-02-22,765,769.95,749.45,759.4,2791400,355.1089
2016-02-23,760.1,761.95,731.15,736.05,2632300,344.19
2016-02-24,741.5,772.7,739.05,768.9,4623200,359.5512
2016-02-25,768.45,769.75,745.55,764.15,4230300,357.33
2016-02-26,777,777,750,764.7,2462900,357.5872
2016-02-29,761.05,788,740,769.25,19586400,359.7149
2016-03-01,769.25,799.85,769,793.7,1956600,371.1481
2016-03-02,799,815,783,786.6,2309200,367.828
2016-03-03,787.4,792.85,771.3,789.95,2604800,372.7113
2016-03-04,792.9,817.9,786.9,815.2,3425400,384.6247
2016-03-07,815.2,815.2,815.2,815.2,0,384.6247
2016-03-08,819.8,834.85,807.5,820.9,3000200,387.3141
2016-03-09,813.5,822,796.6,799.35,3867000,377.1464
2016-03-10,808.8,808.8,788.3,794.15,3109700,374.693
2016-03-11,798,814.95,795,803.65,2669200,379.1752
2016-03-14,807,812.95,797,804.75,2021200,379.6942
2016-03-15,806,819.9,805.55,810.9,2160200,382.5959
2016-03-16,821.7,823.25,815.1,818.4,3299000,386.1345
2016-03-17,827.65,869.4,825,864.85,8150500,408.0504
2016-03-18,860,863.85,852.3,856.9,3403600,404.2995
2016-03-21,864.75,879.9,860.35,870.05,3372400,410.5038
2016-03-22,865.5,887.8,860.55,870.7,2993100,410.8105
2016-03-23,874.9,880,864.2,868.5,2328600,409.7725
2016-03-24,868.5,868.5,868.5,868.5,0,409.7725
2016-03-25,868.5,868.5,868.5,868.5,0,409.7725
2016-03-28,871.5,887.2,863.55,873.6,3521600,412.1788
2016-03-29,877.55,889.35,869.7,874,3206700,412.3675
2016-03-30,878.35,907.5,872.05,901.15,4836800,425.1773
2016-03-31,903.9,921.9,898.95,904.3,5618500,426.6635
2016-04-01,900,900,885.2,887.25,1898300,418.6191
2016-04-04,895,897.4,880.6,887,1872500,418.5011
2016-04-05,899,909.9,884,890.4,3281500,420.1053
2016-04-06,897,898,878.55,890.15,3559900,419.9873
2016-04-07,897.85,903.8,883.4,885.05,3185800,417.5811
2016-04-08,887,901.5,880.2,899.65,1207500,424.4696
2016-04-11,893.1,919.85,893.1,917.2,2151600,432.75
2016-04-12,928.6,939.8,917.95,920.85,3015500,434.4721
2016-04-13,925,933,916,925.65,2084500,436.7368
2016-04-14,925.65,925.65,925.65,925.65,0,436.7368
2016-04-15,925.65,925.65,925.65,925.65,0,436.7368
2016-04-18,925,979.7,925,969.9,4077500,457.6147
2016-04-19,969.9,969.9,969.9,969.9,0,457.6147
2016-04-20,968.05,969.7,951.05,954.25,2637000,450.2308
2016-04-21,954.25,984.95,954.25,970.75,2139000,458.0157
2016-04-22,962,977.95,960.3,965.9,1318400,455.7274
2016-04-25,960.1,982,958.75,978.3,1308900,461.5779
2016-04-26,972.1,983.85,970.8,975.8,1986200,460.3984
2016-04-27,971,994.75,971,982.35,1570600,463.4888
2016-04-28,982,989.25,958.4,962.75,2403900,454.2412
2016-04-29,960,981.5,960,978,1149500,461.4364
2016-05-02,982,987.2,966,969.55,823300,457.4495
2016-05-03,974.9,976,951.2,953.9,1743400,450.0656
2016-05-04,947.25,962,943.3,947.05,1400900,446.8337
2016-05-05,949,951.2,929.15,938.8,1404500,442.9412
2016-05-06,933,945,927.7,939.2,2426400,443.1299
2016-05-09,943,950,932.6,937,1874200,442.0919
2016-05-10,941.2,942.9,925.1,927.35,2111500,437.5389
2016-05-11,918.55,927.55,908.5,919.55,2099000,433.8587
2016-05-12,917.1,933.35,917.1,926.45,1337600,437.1143
2016-05-13,924.25,935,919.45,927.8,1091400,437.7512
2016-05-16,928,930.9,915.55,922.7,1365400,435.345
2016-05-17,930.15,948.55,930,945.3,2049500,446.008
2016-05-18,942.1,958.1,930.45,933.1,2926400,440.2518
2016-05-19,931.8,949.5,931,943.25,2041900,445.0408
2016-05-20,944.3,947.25,918,920.5,1590900,434.307
2016-05-23,926.8,932.1,911,921.9,1464100,434.9675
2016-05-24,916,925.15,890.6,895.95,2065900,422.7239
2016-05-25,904.5,940.7,881.15,917.4,1579000,432.8443
2016-05-26,921,931,907.1,926.8,2414500,437.2794
2016-05-27,951,1024.7,947.45,1012,11769800,477.4782
2016-05-30,1020,1023.95,993.6,999.45,2620300,471.5569
2016-05-31,999.45,1007.95,973.95,980.5,4664500,462.6159
2016-06-01,497.5,498,491.05,493.55,2148100,232.865
2016-06-02,493.35,503.25,489.35,501.55,2886500,236.6395
2016-06-03,506,516.975,501.925,506.25,3720700,238.857
2016-06-06,503.2,504.65,495,497.125,2563900,241.7136
2016-06-07,501,501.125,486.7,488.125,2347000,237.3376
2016-06-08,486.125,492.7,484.575,490.075,2045800,238.2857
2016-06-09,495.15,502.9,493.5,498.725,2634000,242.4916
2016-06-10,499.5,502.175,492.275,493.425,1692800,239.9146
2016-06-13,491.125,506.475,490,504.325,2489400,245.2144
2016-06-14,508,508.5,494.075,495.575,2151100,240.96
2016-06-15,497.625,506.9,497.625,505.5,1677700,245.7857
2016-06-16,507.1,510,500.3,505.75,2199000,245.9073
2016-06-17,508.375,509.875,500.5,502.475,1754000,244.3149
2016-06-20,499.975,506.25,497.025,502.4,1242500,244.2784
2016-06-21,502.4,506.1,499.55,504.275,1468300,245.1901
2016-06-22,504,506.775,501.625,504.675,1551900,245.3846
2016-06-23,505.5,515.25,501.5,511.925,1493200,248.9097
2016-06-24,506,512.2,498.05,506.725,2172200,246.3813
2016-06-27,510,523.45,508.275,519.1,2867600,252.3983
2016-06-28,520.9,527.05,520.1,525.85,2375900,255.6803
2016-06-29,527.45,530.3,521.65,527.175,1664900,256.3246
2016-06-30,531,539,525.55,536.075,4698300,260.652
2016-07-01,537.5,551.15,533.5,545.975,2131700,265.4656
2016-07-04,547.5,555,547.5,553.075,3385400,268.9178
2016-07-05,553.75,558.9,546.2,548.975,3917400,266.9242
2016-07-06,548.975,548.975,548.975,548.975,0,266.9242
2016-07-07,549.575,560.5,544.75,557.05,5035100,270.8505
2016-07-08,560.55,561.95,552.225,557.35,5675000,270.9964
2016-07-11,563.45,575,560.05,566.65,6288500,275.5183
2016-07-12,566.1,578,556.55,560.275,7373200,272.4186
2016-07-13,559.9,563,543.6,545.6,3740800,530.5665
