"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2016-02-19,75.7603,77.3895,75.19,76.9415,1262900,73.8569
2016-02-22,77.2266,77.7154,75.353,75.6788,1138700,72.6448
2016-02-23,76.1269,76.1269,72.9906,73.3571,1905100,70.4162
2016-02-24,72.5018,72.8684,71.0355,71.565,2718900,68.696
2016-02-25,72.0537,72.3796,70.0986,70.2616,2369800,67.4448
2016-02-26,71.1577,71.6464,69.3247,70.6281,1472400,67.7966
2016-02-29,70.7911,71.565,69.0804,70.0172,1666800,67.2102
2016-03-01,70.3838,75.19,70.3838,73.683,2565300,70.729
2016-03-02,75.19,78.9373,75.19,76.4527,2573500,73.3877
2016-03-03,76.4527,79.2225,75.9232,78.1227,2840500,74.9908
2016-03-04,78.2042,79.8334,77.023,78.9373,1744300,75.7727
2016-03-07,78.9373,78.9373,78.9373,78.9373,0,75.7727
2016-03-08,79.3447,79.5076,77.8783,78.1227,1160800,74.9908
2016-03-09,78.0005,78.53,76.9008,77.8376,1742900,74.7171
2016-03-10,78.6115,78.6115,76.9822,77.2673,853000,74.1696
2016-03-11,77.3895,79.3447,76.6564,77.5117,1182700,74.4042
2016-03-14,78.4486,78.8559,76.9822,77.5117,633700,74.4042
2016-03-15,77.7969,79.6298,77.2266,78.9781,1645900,75.8119
2016-03-16,79.0595,79.6298,77.2266,78.6115,2254300,75.46
2016-03-17,79.8334,83.0512,79.589,81.9922,3390600,78.7051
2016-03-18,82.4402,83.4178,81.0961,82.6846,2399600,79.3698
2016-03-21,83.0919,83.9066,82.5217,83.0919,1112700,79.7607
2016-03-22,83.6214,83.6214,80.6888,81.6256,1330200,78.3532
2016-03-23,80.9332,82.8068,80.811,81.7478,1291900,78.4705
2016-03-24,81.7478,81.7478,81.7478,81.7478,0,78.4705
2016-03-25,81.7478,81.7478,81.7478,81.7478,0,78.4705
2016-03-28,82.1958,86.3504,81.5034,83.0105,3675600,79.6826
2016-03-29,83.0105,83.4993,80.9739,81.2998,1082400,78.0405
2016-03-30,82.2366,83.7436,81.7071,83.0919,1996400,79.7607
2016-03-31,83.0105,84.6397,82.1958,83.6214,2049000,80.269
2016-04-01,83.3363,85.5358,83.1734,85.2507,1352500,81.833
2016-04-04,85.5358,85.9839,83.9066,84.8434,777000,81.442
2016-04-05,85.1285,85.1285,80.3222,80.811,1646000,77.5713
2016-04-06,81.2183,84.3139,80.3222,83.6622,1866400,80.3082
2016-04-07,83.54,84.599,82.3588,82.6439,1154900,79.3307
2016-04-08,83.7436,84.3953,82.3588,84.0287,980700,80.66
2016-04-11,84.1917,86.2282,83.8251,85.1692,900400,81.7548
2016-04-12,84.7619,85.9431,84.3953,85.4136,981900,81.9894
2016-04-13,86.3504,87.1651,85.7802,86.3912,1103300,82.9278
2016-04-14,86.3912,86.3912,86.3912,86.3912,0,82.9278
2016-04-15,86.3912,86.3912,86.3912,86.3912,0,82.9278
2016-04-18,86.3504,89.1609,85.3729,88.7536,2114900,85.1955
2016-04-19,88.7536,88.7536,88.7536,88.7536,0,85.1955
2016-04-20,89.0794,91.0753,88.2241,88.8758,2032400,85.3128
2016-04-21,89.6904,92.0528,89.2831,90.0163,2409600,86.4075
2016-04-22,90.0163,92.9489,89.4867,91.9714,2148300,88.2843
2016-04-25,92.0528,93.3562,91.3604,91.727,1794400,88.0496
2016-04-26,91.564,92.7453,90.9938,92.175,1157700,88.4797
2016-04-27,92.6638,93.9265,92.1343,93.0711,1796100,89.3399
2016-04-28,92.6638,93.1933,91.4826,91.8899,1930900,88.206
2016-04-29,91.8899,93.1933,89.8533,91.116,1308500,87.4631
2016-05-02,90.8309,90.8309,88.9573,89.6904,1219700,86.0947
2016-05-03,90.1792,91.3197,88.9573,89.4053,929500,85.821
2016-05-04,89.2016,89.8941,87.0836,87.4502,2041800,83.9443
2016-05-05,87.1651,88.0612,86.4319,87.4502,1050200,83.9443
2016-05-06,87.0836,94.4967,86.6763,92.7453,4759600,89.0271
2016-05-09,93.5192,95.4743,93.1933,94.6189,2909400,90.8256
2016-05-10,94.8226,94.8226,92.9896,93.234,1166000,89.4962
2016-05-11,92.2565,95.1484,91.8084,93.6413,1488900,89.8872
2016-05-12,93.8857,95.9223,93.6821,95.2706,1905300,91.4512
2016-05-13,96.0038,97.6738,94.7411,95.1891,2290700,91.373
2016-05-16,95.515,95.6372,93.0304,95.0669,1910200,91.2557
2016-05-17,95.5557,95.5557,93.3562,93.7228,922600,89.9654
2016-05-18,93.4377,93.6006,92.0528,93.1118,1151900,89.3789
2016-05-19,93.3562,93.845,90.6272,91.3197,1219900,87.6587
2016-05-20,91.3197,100.036,90.8716,97.7145,12489200,93.7971
2016-05-23,98.5698,101.014,96.5333,98.5291,8991200,94.5791
2016-05-24,99.0586,99.303,96.7777,97.5516,2993000,93.6407
2016-05-25,98.5291,100.281,97.9181,99.5881,2263500,95.5956
2016-05-26,99.8732,104.761,99.7918,103.824,5357200,99.6617
2016-05-27,103.865,105.25,102.521,103.743,2493000,99.5839
2016-05-30,104.598,104.761,102.399,103.417,1306400,99.271
2016-05-31,103.783,105.209,102.399,104.639,1550600,100.444
2016-06-01,105.576,105.576,101.014,101.543,1939800,97.4721
2016-06-02,102.032,103.295,100.688,102.969,1765200,98.841
2016-06-03,103.783,104.68,101.991,102.276,2334100,98.1757
2016-06-06,102.562,110.504,102.358,109.893,8773600,105.4874
2016-06-07,110.463,111.074,107.734,108.875,5504200,104.5102
2016-06-08,109.404,110.586,107.612,109.241,2944300,104.8615
2016-06-09,109.282,112.419,108.386,110.015,4020400,105.6045
2016-06-10,109.812,111.482,107.612,108.142,2843800,103.8066
2016-06-13,105.942,109.486,105.942,108.63,2329100,104.275
2016-06-14,108.671,110.626,108.59,109.934,1549000,105.5267
2016-06-15,110.138,111.441,110.097,110.789,1382800,106.3475
2016-06-16,110.382,111.197,108.59,110.138,1746600,105.7226
2016-06-17,110.626,112.459,110.504,111.93,2149500,107.4427
2016-06-20,111.074,112.826,110.382,111.848,1641100,107.364
2016-06-21,111.645,113.64,111.441,112.011,1788800,107.5205
2016-06-22,112.093,112.704,109.404,110.178,1457400,105.7609
2016-06-23,110.3,112.5,109.445,111.97,2167700,107.4811
2016-06-24,108.345,109.934,105.209,109.567,3113000,105.1744
2016-06-27,109.282,111.93,108.793,111.441,1740400,106.9733
2016-06-28,111.319,112.826,111.034,112.174,1156000,107.6769
2016-06-29,112.5,114.862,112.215,114.088,2762000,109.5142
2016-06-30,114.455,116.044,113.722,114.699,3147100,110.1007
2016-07-01,114.862,116.817,114.862,116.532,1733300,111.8602
2016-07-04,116.899,120.891,116.899,119.75,2178100,114.9492
2016-07-05,119.75,121.665,118.406,119.424,2100800,114.6363
2016-07-06,119.424,119.424,119.424,119.424,0,114.6363
2016-07-07,119.424,122.846,119.424,120.117,2212400,115.3015
2016-07-08,120.076,122.561,117.062,121.216,2435200,116.3564
2016-07-11,123.009,123.823,122.194,123.253,2163600,118.3118
2016-07-12,124.068,124.475,123.09,124.027,1876200,119.0547
2016-07-13,124.108,124.108,121.094,122.275,1510900,117.373
2016-07-14,121.827,125.167,121.705,124.19,3516800,119.2112
2016-07-15,124.801,129.526,124.801,127.123,4631500,122.0266
