"Date","IGL.NS.Open","IGL.NS.High","IGL.NS.Low","IGL.NS.Close","IGL.NS.Volume","IGL.NS.Adjusted"
2016-05-18,590.3,606.2,577.35,579.95,966800,572.96
2016-05-19,582,586,574,575.2,513300,568.27
2016-05-20,576.9,579,569,570,532100,563.13
2016-05-23,571.05,574.25,566.5,567.9,267000,561.06
2016-05-24,567.7,572.9,564.3,569.3,375400,562.44
2016-05-25,570,576.4,568.45,569.75,316400,562.89
2016-05-26,578,578.6,563,569.1,601200,562.25
2016-05-27,568.35,579.45,567.8,574.3,242100,567.38
2016-05-30,574,575.6,565,566.5,254500,559.68
2016-05-31,569,569,555.6,558.55,401300,551.82
2016-06-01,559,565.7,557.05,561.75,187800,554.98
2016-06-02,561.5,575.5,559.15,569.5,502900,562.64
2016-06-03,568.9,577.7,562.55,564.4,221800,557.6
2016-06-06,564,576.5,555.1,575.05,236400,568.12
2016-06-07,575.05,584.5,573.05,575.85,320800,568.91
2016-06-08,576,582.5,574.1,577.65,300200,570.69
2016-06-09,578.35,584.9,571,572.8,309600,565.9
2016-06-10,575.75,587,574.5,582.35,583900,575.34
2016-06-13,578.8,584.5,575.05,582.05,1208500,575.04
2016-06-14,587.85,615.4,584.55,611.6,3012200,604.23
2016-06-15,620,629,613.55,615.3,1878500,607.89
2016-06-16,614,624,611.2,618.95,839800,611.49
2016-06-17,618.45,623.5,615.4,618.55,407300,611.1
2016-06-20,615,624.7,607.5,616.3,872100,608.88
2016-06-21,622.7,633,614.1,616.7,1279300,609.27
2016-06-22,619.45,619.5,602.55,604.45,541100,597.17
2016-06-23,607.95,611.6,590.1,607.4,718000,600.08
2016-06-24,585,608.7,576.2,606.15,659500,598.85
2016-06-27,606,612.95,603.1,605.75,375600,598.45
2016-06-28,610,615.4,605,613.9,463600,606.51
2016-06-29,615.75,628,615.05,626.75,718300,619.2
2016-06-30,632,636,625.05,627.55,837500,619.99
2016-07-01,635,638.9,614,615.65,1119700,608.23
2016-07-04,623.95,624.5,616.25,618.7,502300,611.25
2016-07-05,621.95,621.95,609.05,611.25,327200,603.89
2016-07-06,611.25,611.25,611.25,611.25,0,603.89
2016-07-07,611.5,615,601.25,603.1,772200,595.84
2016-07-08,605.9,607.1,592.75,597.45,446000,590.25
2016-07-11,603,610.85,597.15,608.7,1164800,601.37
2016-07-12,608.7,621.7,608.7,618,638500,610.56
2016-07-13,622,624.5,606.65,608.35,481500,601.02
2016-07-14,608,612.4,602.7,605.4,242700,598.11
2016-07-15,610.95,610.95,602.25,604.5,241300,597.22
2016-07-18,604.8,610.95,600.1,608,306900,600.68
2016-07-19,605.5,617.5,605.5,608.6,302200,601.27
2016-07-20,608,618.5,606.1,616.45,264600,609.03
2016-07-21,620,625,611.45,614.05,521100,606.65
2016-07-22,611,623.4,610.1,621.75,408700,614.26
2016-07-25,623,627.75,619.2,623.55,384800,616.04
2016-07-26,625,633.8,620,622.7,634200,615.2
2016-07-27,623.9,629.45,619.55,627.05,289300,619.5
2016-07-28,627.05,649.7,625.55,636.25,1491900,628.59
2016-07-29,636.8,654.15,634.25,648.35,629600,640.54
2016-08-01,649.1,652.35,642,649.7,242500,641.87
2016-08-02,647.65,659,642.6,647.85,308000,640.05
2016-08-03,647.5,657.75,644.6,653.2,725700,645.33
2016-08-04,652.5,675.9,651.05,672.1,675600,664
2016-08-05,675.8,676.1,657.9,664.75,435100,656.74
2016-08-08,667,689.7,666.1,687.9,536300,679.61
2016-08-09,688,689.4,675.1,683.3,293000,675.07
2016-08-10,689.8,689.8,669.05,670.55,469500,662.47
2016-08-11,671.9,691.05,665.5,678.6,713100,670.43
2016-08-12,679.95,684.85,672.8,676.05,465100,667.91
2016-08-15,676.05,676.05,676.05,676.05,0,667.91
2016-08-16,676.1,682.65,671.3,675.15,224500,667.02
2016-08-17,677.1,687.9,676.45,682.95,373200,674.72
2016-08-18,684.9,701.05,684.3,691.65,732200,683.32
2016-08-19,696,702.75,687.45,699.2,332500,690.78
2016-08-22,700,734.9,688.35,729.7,3262300,720.91
2016-08-23,738.95,786.6,735,756.3,6247100,747.19
2016-08-24,758.1,765,748.65,757.6,1709200,748.47
2016-08-25,761,761,745.8,749.8,959800,740.77
2016-08-26,754.4,790.9,751.5,783.65,2208800,774.21
2016-08-29,784.8,787,760.8,763.75,1377500,754.55
2016-08-30,767.4,778.45,765.5,774.1,517900,764.78
2016-08-31,776.95,808.75,776,801.15,1527100,791.5
2016-09-01,801,801,780.2,784.15,846900,774.71
2016-09-02,786,796.8,784.15,790.05,358700,780.53
2016-09-05,790.05,790.05,790.05,790.05,0,780.53
2016-09-06,791.2,799.8,788.4,794.7,441200,785.13
2016-09-07,794.7,795.85,780.8,782.1,495900,772.68
2016-09-08,782.2,796,779,782.15,616600,772.73
2016-09-09,781.6,786.35,759,761.35,749000,752.18
2016-09-12,754.5,757.4,742.2,748.15,432400,739.14
2016-09-13,748.15,748.15,748.15,748.15,0,739.14
2016-09-14,750,771.2,746.8,764.4,675300,755.19
2016-09-15,766,766,752.5,758.95,239300,749.81
2016-09-16,756.9,763.35,748.55,751.2,414300,748.07
2016-09-19,752,757.5,740,750.4,486100,747.27
2016-09-20,751,764.75,746.45,749.45,583200,746.32
2016-09-21,752.5,756,744.5,746.5,311900,743.39
2016-09-22,752.1,755,745.05,748.65,439000,745.53
2016-09-23,751,772.8,750.5,763.3,1095700,760.12
2016-09-26,763.4,776.9,760.95,772.4,1143600,769.18
2016-09-27,777,785.3,769.05,779.45,1034900,776.2
2016-09-28,780,787.25,775,781.45,781400,778.19
2016-09-29,788.95,799.95,764.15,768.9,1762300,765.69
2016-09-30,773.8,786,761,778.1,935700,774.85
2016-10-03,786.25,793.65,779.4,790.8,802300,787.5
2016-10-04,796.3,847.65,796,837.9,3329800,834.4
2016-10-05,837,839,822.55,828.25,966200,824.79
2016-10-06,830.5,869,829.9,860.6,2076400,857.01
2016-10-07,862.7,865.6,842.85,850.35,1051900,846.8
2016-10-10,854,881.45,853.95,867,939200,863.38
2016-10-11,867,867,867,867,0,863.38
2016-10-12,867,867,867,867,0,863.38
2016-10-13,861.85,861.85,838,845.45,1321500,841.92
2016-10-14,847,863,842.7,848.55,1028000,845.01
2016-10-17,847.05,850.9,820,828.65,823200,825.19
2016-10-18,836.9,839.3,822.5,834.1,607800,830.62
2016-10-19,834.4,867.5,831,851.3,1430000,847.75
2016-10-20,859.15,861.2,847.3,851.95,362800,848.4
2016-10-21,852.45,868,851.4,865.35,632200,861.74
2016-10-24,865.9,873.95,860.4,865.2,479400,861.59
2016-10-25,863.5,872.1,860.6,865.15,745100,861.54
2016-10-26,863.85,870.95,851.1,858.1,346500,854.52
2016-10-27,856.55,858.4,839.1,844,339800,840.48
2016-10-28,849.95,863.5,841.2,860,417800,856.41
2016-10-31,860,860,860,860,0,856.41
2016-11-01,856.85,878.95,856.85,869.35,446800,865.72
2016-11-02,868.95,868.95,850.5,859.1,434500,855.52
2016-11-03,856.05,878.45,856,860.4,562400,856.81
2016-11-04,860.4,866,843.5,855.4,977000,851.83
2016-11-07,861,871.8,851,854.1,220600,850.54
2016-11-08,859.15,863.3,850.3,861.05,283700,857.46
