"Date","CIPLA.NS.Open","CIPLA.NS.High","CIPLA.NS.Low","CIPLA.NS.Close","CIPLA.NS.Volume","CIPLA.NS.Adjusted"
2016-03-08,539.79999,549.70001,528.79999,532.34998,1409400,530.51586
2016-03-09,533.84998,535,521.34998,529.29999,4376600,527.47638
2016-03-10,530.20001,540.20001,530,533.95001,3609300,532.11038
2016-03-11,534.5,538.54999,530.95001,534.59998,2806900,532.7581
2016-03-14,538,543.75,530.09998,537.59998,3909800,535.74777
2016-03-15,538.59998,539,522,525.04999,2961500,523.24102
2016-03-16,524.90002,534.79999,516.20001,531,2221300,529.17053
2016-03-17,536.29999,537,521.54999,524.54999,2100000,522.74274
2016-03-18,529,530.04999,517.5,528.25,4345800,526.43001
2016-03-21,530,538.40002,527.5,535.84998,1221200,534.0038
2016-03-22,537.5,539,531.04999,535.29999,1529100,533.4557
2016-03-23,534.79999,536.29999,525.54999,532.79999,1361700,530.96432
2016-03-24,532.79999,532.79999,532.79999,532.79999,0,530.96432
2016-03-25,532.79999,532.79999,532.79999,532.79999,0,530.96432
2016-03-28,536.29999,537.34998,522.09998,524.20001,1947500,522.39397
2016-03-29,521.04999,525,494.54999,503.5,6503200,501.76528
2016-03-30,506.95001,516.5,502.5,512.34998,4372100,510.58476
2016-03-31,513,518,507.89999,511.95001,3086900,510.18618
2016-04-01,513.79999,517.29999,510,514.54999,1239400,512.77719
2016-04-04,519,519,512.15002,514.29999,768300,512.52806
2016-04-05,513,516,501.45001,503,1086900,501.267
2016-04-06,503.35001,507.5,497,504.95001,1820300,503.21029
2016-04-07,505.75,513.04999,501.70001,506.39999,2102900,504.65528
2016-04-08,509.79999,510.60001,503.25,504.45001,1262300,502.71202
2016-04-11,505.5,506,497.04999,502.14999,2929500,500.41992
2016-04-12,502.70001,508.85001,499.70001,501.95001,3622300,500.22063
2016-04-13,505.14999,515,504,511.89999,3642700,510.13633
2016-04-14,511.89999,511.89999,511.89999,511.89999,0,510.13633
2016-04-15,511.89999,511.89999,511.89999,511.89999,0,510.13633
2016-04-18,515,525.70001,507.10001,524.09998,3507900,522.29428
2016-04-19,524.09998,524.09998,524.09998,524.09998,0,522.29428
2016-04-20,525,530.40002,519.25,527.20001,2898500,525.38364
2016-04-21,530,534,526.59998,532,3392800,530.16709
2016-04-22,529.70001,536.54999,527,531.34998,1880200,529.5193
2016-04-25,532.5,533.84998,523.5,526.5,1959100,524.68604
2016-04-26,524.65002,542.25,524.15002,540.5,1855400,538.6378
