"Date","NIITTECH.NS.Open","NIITTECH.NS.High","NIITTECH.NS.Low","NIITTECH.NS.Close","NIITTECH.NS.Volume","NIITTECH.NS.Adjusted"
2015-10-12,444,454.8,444,447.8,71000,438.1854
2015-10-13,451.65,459.05,448,453.5,271000,443.763
2015-10-14,453,456,443.15,445.85,112700,436.2773
2015-10-15,447,464,447,459.95,140800,450.0746
2015-10-16,465.4,507.85,465.35,488.2,2373200,477.718
2015-10-19,492.45,572.95,479.95,561.05,2071900,549.0038
2015-10-20,556,586.4,536,544.3,1387400,532.6135
2015-10-21,539.8,544.85,517.6,526.1,263700,514.8042
2015-10-22,526.1,526.1,526.1,526.1,0,514.8042
2015-10-23,525.5,556,523.55,525.9,504600,514.6086
2015-10-26,523.2,558.55,516.8,553.45,709100,541.567
2015-10-27,558,593.4,554.05,579.25,1403200,566.8131
2015-10-28,579.25,579.25,556.8,569.1,268600,556.881
2015-10-29,562.55,570,552.5,557.9,317300,545.9215
2015-10-30,560.3,610.8,557.2,565.75,1797200,553.6029
2015-11-02,569,595,567.3,590.35,581200,577.6747
2015-11-03,592.8,599,528.95,587.4,421100,574.7881
2015-11-04,590,599.9,581.5,585.05,248300,572.4885
2015-11-05,581.1,590.75,570,573.95,145800,561.6269
2015-11-06,574,575,548.75,556.75,288200,544.7962
2015-11-09,535.25,602.7,535.25,594.35,489000,581.5889
2015-11-10,593.9,621.5,568.5,572.75,710600,560.4526
2015-11-11,572.75,572.75,572.75,572.75,0,560.4526
2015-11-12,572.75,572.75,572.75,572.75,0,560.4526
2015-11-13,575,578.4,557.5,564.6,241100,552.4776
2015-11-16,562.5,600,562.5,594.7,418400,581.9314
2015-11-17,600.75,625,594.7,621.7,811900,608.3517
2015-11-18,622.5,631,593.3,598,340700,585.1605
2015-11-19,611.75,615.95,600.7,607.55,185700,594.5054
2015-11-20,600.6,605.5,581.25,583.95,191600,571.4122
2015-11-23,585,593,572.7,579.7,214000,567.2534
2015-11-24,580,605,579.05,587.65,256100,575.0328
2015-11-25,587.65,587.65,587.65,587.65,0,575.0328
2015-11-26,591,591.8,577.55,585.5,106900,572.9289
2015-11-27,589.35,589.6,567,571.75,214100,559.4741
2015-11-30,572.85,580.6,565.8,569.5,158400,557.2724
2015-12-01,570,589,570,581.55,237000,569.0637
2015-12-02,585.8,586.4,572,574.2,88400,561.8715
2015-12-03,575,594,574.25,580.05,233400,567.5959
2015-12-04,576.95,586,568.6,580.8,266300,568.3298
2015-12-07,588.65,602.4,580.05,596,218900,583.2034
2015-12-08,594.8,604,588.05,594.4,128800,581.6378
2015-12-09,592.05,602.9,584,589.65,145900,576.9898
2015-12-10,596,596,581,589.8,166800,577.1366
2015-12-11,591.95,601.9,578,591.2,475700,578.5065
2015-12-14,582.5,593,578.05,589.9,58200,577.2344
2015-12-15,588,602.45,588,597.95,312700,585.1116
2015-12-16,598.5,601,582.2,585.8,70700,573.2224
2015-12-17,594.7,595.25,588,594.3,121300,581.5399
2015-12-18,598,601.8,588,589.85,117300,577.1855
2015-12-21,590,594.3,585,588.3,163000,575.6688
2015-12-22,588.4,614.5,585.2,589.45,292100,576.7941
2015-12-23,590.55,599.95,586.2,592.3,72600,579.5829
2015-12-24,597.4,597.95,585,586.85,54900,574.2499
2015-12-25,586.85,586.85,586.85,586.85,0,574.2499
2015-12-28,590,593,582,584.9,50000,572.3418
2015-12-29,587,597,571.25,578.8,93000,566.3727
2015-12-30,578,588,575,576.4,48900,564.0243
2015-12-31,577,581.95,571.1,579.55,47000,567.1066
2016-01-01,579.55,586,573,577.6,28800,565.1985
2016-01-04,580.95,589.3,573,580.5,83500,568.0362
2016-01-05,584,586,572.1,573.1,84100,560.7951
2016-01-06,575,577.2,564,568.95,74600,556.7342
2016-01-07,569.95,569.95,534.95,537.8,127700,526.253
2016-01-08,542.05,547.85,525.1,536,167100,524.4917
2016-01-11,535,571,530,542.05,367300,530.4118
2016-01-12,547.95,572,546.35,556.5,275100,544.5515
2016-01-13,563,565,534.2,546.4,232000,534.6684
2016-01-14,540,593.6,530.25,570.3,558400,558.0552
2016-01-15,575.5,585,501,514.6,1730000,503.5511
2016-01-18,504,520,478.8,487.35,369100,476.8862
2016-01-19,495,508,466.6,473.85,399500,463.6761
2016-01-20,469.8,476.7,432.25,445.5,320300,435.9348
2016-01-21,452,512.7,452,489.6,1182000,479.0879
2016-01-22,492,494,473,480.65,408400,470.3301
2016-01-25,485.4,517.9,475,511.55,404300,500.5666
