"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2016-05-16,17.0632,17.1085,16.6559,16.8822,2596700,16.42284
2016-05-17,16.9727,17.0632,16.5654,16.6559,2510700,16.2027
2016-05-18,16.5201,16.6559,16.4296,16.5201,1858600,16.07059
2016-05-19,16.5201,16.7464,16.2938,16.3391,2740000,15.89452
2016-05-20,16.3391,16.4748,16.2485,16.4296,3828900,15.98256
2016-05-23,16.5201,16.5654,16.2938,16.3391,2469100,15.89452
2016-05-24,16.3843,16.4296,16.2938,16.3843,1914200,15.93849
2016-05-25,16.4748,16.6106,16.4296,16.5201,2156900,16.07059
2016-05-26,16.6106,17.4253,16.5654,17.1085,23778600,16.64298
2016-05-27,17.1537,17.5158,17.018,17.3801,6359100,16.90719
2016-05-30,17.6516,17.8326,17.2443,17.3348,5232400,16.86313
2016-05-31,17.3801,17.4253,17.0632,17.2443,6957100,16.77509
2016-06-01,17.2895,17.4706,16.8822,16.9727,3761800,16.51088
2016-06-02,17.1085,18.6473,16.8369,17.2895,13661300,16.81906
2016-06-03,17.3801,17.5611,17.1085,17.199,5905800,16.73102
2016-06-06,17.2895,17.8779,17.1085,17.7421,6412500,17.25934
2016-06-07,17.8326,18.3305,17.8326,18.059,7030300,17.56762
2016-06-08,18.0137,18.3305,17.8779,18.1495,4389000,17.65566
2016-06-09,18.1495,18.6473,18.059,18.4663,6412500,17.96384
2016-06-10,18.421,18.7379,18.3758,18.5116,5582000,18.00791
2016-06-13,18.421,18.6473,18.1947,18.5568,4522700,18.05188
2016-06-14,18.6473,18.8736,18.3758,18.6473,3534200,18.13991
2016-06-15,18.6926,18.8736,18.421,18.5568,4622700,18.05188
2016-06-16,18.5568,18.6021,17.8326,18.24,7101300,17.74369
2016-06-17,18.2853,18.6021,18.1495,18.5116,4917300,18.00791
2016-06-20,18.1947,18.6021,18.0137,18.4663,3536700,17.96384
2016-06-21,18.2853,18.5116,18.24,18.3305,2317400,17.83173
2016-06-22,18.24,18.3758,18.0137,18.1495,1858700,17.65566
2016-06-23,18.1042,18.24,17.9232,18.1042,2511300,17.61159
2016-06-24,17.7421,17.8326,17.2895,17.7421,5289600,17.25934
2016-06-27,17.7874,18.1042,17.6969,17.9684,3408300,17.47948
2016-06-28,18.0137,18.24,17.9684,18.1042,3627000,17.61159
2016-06-29,18.1947,18.4663,18.1495,18.3758,3612000,17.8758
2016-06-30,17.9684,18.1042,17.5611,17.6969,15818700,17.6969
2016-07-01,17.7421,18.3305,17.7421,18.1042,5697200,18.1042
2016-07-04,18.1042,18.6473,18.1042,18.5116,8997900,18.5116
2016-07-05,18.4663,19.8241,18.421,19.5525,20801400,19.5525
