"Date","DHFL.NS.Open","DHFL.NS.High","DHFL.NS.Low","DHFL.NS.Close","DHFL.NS.Volume","DHFL.NS.Adjusted"
2015-12-24,229.5,230.65,225.65,227.15,247300,218.518
2015-12-25,227.15,227.15,227.15,227.15,0,218.518
2015-12-28,227,232,227,230.5,479600,221.741
2015-12-29,231,237,229.05,235.3,1262000,226.359
2015-12-30,237.1,240.25,233.85,234.8,1038900,225.878
2015-12-31,235.95,237.8,233.7,235.25,473100,226.31
2016-01-01,235.9,238.4,234.95,236.05,351500,227.08
2016-01-04,235.15,237.85,228.3,230.15,670700,221.404
2016-01-05,230.5,234,229.7,231.5,389600,222.703
2016-01-06,231.5,235.5,230.75,231.85,404500,223.04
2016-01-07,228,228.95,213,214.5,1083800,206.349
2016-01-08,216.8,224.4,216.8,223.35,1173800,214.863
2016-01-11,218,225.3,217.25,222.15,721000,213.708
2016-01-12,220,221.7,213.9,214.5,957100,206.349
2016-01-13,217.4,219.1,205.5,210.9,1313300,202.886
2016-01-14,205,211.4,204.5,206.75,672200,198.893
2016-01-15,209.25,209.9,200.45,202.05,618300,194.372
2016-01-18,200,202.5,185.8,190.65,992500,183.405
2016-01-19,191,195,188.05,192.85,1275600,185.522
2016-01-20,190.5,190.5,179.15,183.25,1660100,176.286
2016-01-21,186.9,187.85,176.3,177.35,1361700,170.611
2016-01-22,181.8,187.8,178,186.75,1357700,179.653
2016-01-25,189.8,192.5,187.1,189.1,993400,181.914
2016-01-26,189.1,189.1,189.1,189.1,0,181.914
2016-01-27,190,190.4,184,185.4,834900,178.355
2016-01-28,185.8,186.75,181,182.5,1184000,175.565
2016-01-29,182.7,186.3,180.25,183.8,963000,176.816
2016-02-01,186,195.9,186,190.65,2115100,183.405
2016-02-02,191.6,195.45,188.5,190,1514400,182.78
2016-02-03,185,189.2,181.55,183.4,897600,176.431
2016-02-04,186.4,186.8,174.65,176.95,1727200,170.226
2016-02-05,176.05,179.9,175.6,178.3,1573400,171.525
2016-02-08,178.6,182.05,172.6,173.7,1438500,167.099
2016-02-09,171.7,171.7,166.15,167.05,1383100,160.702
2016-02-10,164,165.7,161.4,162.4,1102800,156.229
2016-02-11,162.05,163.5,150,151.1,1659100,145.358
2016-02-12,152.65,154.15,140.3,152.45,1883200,146.657
2016-02-15,155,161.1,155,159.05,1538200,153.006
2016-02-16,160.5,161,153.35,154.4,1037500,148.533
2016-02-17,152,155,147.85,153.55,1049600,147.715
2016-02-18,155.1,158.8,150.5,153.55,985200,147.715
2016-02-19,153,155,149.4,151.7,1035100,145.935
2016-02-22,152.9,153.3,149.6,150.3,847400,144.589
2016-02-23,150.8,153.75,149.7,151.15,989300,145.406
2016-02-24,150.9,152,146.5,147.1,924800,141.51
2016-02-25,148,148,141.7,142.2,2160900,136.796
2016-02-26,145,153.5,143.3,152.1,2226500,146.32
2016-02-29,153.1,162,149.7,153.6,5385900,147.763
2016-03-01,156.25,161.1,155.1,159.9,1831900,153.824
2016-03-02,162.4,168.45,162,165.25,1827700,158.97
2016-03-03,167,169,162.7,167.8,1693700,161.424
2016-03-04,169,176.9,167.4,173.8,2248100,167.196
2016-03-07,173.8,173.8,173.8,173.8,0,167.196
2016-03-08,174,179.2,171.05,175.05,1728100,168.398
2016-03-09,172.1,178,172.1,177.55,1351000,170.803
