"Date","IOC.NS.Open","IOC.NS.High","IOC.NS.Low","IOC.NS.Close","IOC.NS.Volume","IOC.NS.Adjusted"
2016-02-24,365,372.2,363.05,370.85,2438400,171.7348
2016-02-25,371.35,375,358.45,364.1,5199900,168.609
2016-02-26,366.5,370.7,362.15,364.3,2453500,168.7016
2016-02-29,364.8,379.9,357,367.65,3916000,170.2529
2016-03-01,372.9,389.1,371,386,4106100,178.7505
2016-03-02,389.9,397.5,385.1,389.1,3408600,180.1861
2016-03-03,390,397,386.2,394.5,3335200,182.6867
2016-03-04,392.6,398.85,386.5,389,3162600,180.1398
2016-03-07,389,389,389,389,0,180.1398
2016-03-08,387,403.5,385,398.1,2643400,184.3538
2016-03-09,399,401.55,386.45,389.75,4264300,180.4871
2016-03-10,390.2,394.7,385,386.1,1266600,178.7968
2016-03-11,384.5,392.45,384.5,385.9,1702300,178.7042
2016-03-14,387,391,381.7,385.2,1049800,178.3801
2016-03-15,385.7,394.25,385.7,392.2,1816100,181.6216
2016-03-16,393,394.5,386.7,388.6,1225000,179.9545
2016-03-17,393.4,405,393.4,398.55,3775800,184.5622
2016-03-18,399.2,402.65,389.3,391.05,3219800,181.0891
2016-03-21,393.7,398.8,392.5,394.55,2790400,182.7099
2016-03-22,395.05,401,392.4,393.75,1488500,182.3394
2016-03-23,396,397.65,390.95,393.1,2142300,182.0384
2016-03-24,393.1,393.1,393.1,393.1,0,182.0384
2016-03-25,393.1,393.1,393.1,393.1,0,182.0384
2016-03-28,392.05,396.55,390.8,392,1616300,181.529
2016-03-29,393.35,396.6,391,394.25,1823900,182.571
2016-03-30,394.75,403.65,394,400,2304600,185.2337
2016-03-31,403.4,408.6,391.5,393.6,5230100,182.27
2016-04-01,395.65,396.8,391.6,393.05,1078800,182.0153
2016-04-04,396.95,403.75,394,401.55,2132100,185.9515
2016-04-05,408,412,399,402.15,2347800,186.2293
2016-04-06,407.1,415.75,396.4,410.7,4213300,190.1887
2016-04-07,412,415.75,407.2,411.15,3186100,190.3971
2016-04-08,411,413.7,407.25,412.65,1658000,191.0917
2016-04-11,412,417.5,405.75,416,2095000,192.643
2016-04-12,417,420,412.15,414.95,1452700,192.1568
2016-04-13,417,419.45,414.3,416.4,2966700,192.8283
2016-04-14,416.4,416.4,416.4,416.4,0,192.8283
2016-04-15,416.4,416.4,416.4,416.4,0,192.8283
2016-04-18,418.4,431.2,418.4,429.1,2756800,198.7095
2016-04-19,429.1,429.1,429.1,429.1,0,198.7095
2016-04-20,429.65,429.65,418.1,423.6,2026200,196.1625
2016-04-21,424.8,430.55,421.2,424.95,1682700,196.7877
2016-04-22,423.6,429.9,423.6,428.5,1728500,198.4316
2016-04-25,424.55,430,422.4,428.95,1160400,198.64
2016-04-26,430,435,427.05,434.15,2796400,201.048
2016-04-27,431,439.7,429.55,437.15,979300,202.4373
2016-04-28,435.6,437.8,421.65,424,2305000,196.3477
2016-04-29,425.9,434.7,422.85,433.25,1420000,200.6313
2016-05-02,434.5,436,425.1,426.25,1410900,197.3897
2016-05-03,423,427.1,417.75,419.7,1459900,194.3565
2016-05-04,417.5,422,410.3,412.75,1591100,191.138
2016-05-05,412.4,412.9,404.05,410.15,1643000,189.934
2016-05-06,410,418.35,408.35,416,1079400,192.643
2016-05-09,416.5,421.4,412.05,419.4,1390000,194.2175
2016-05-10,420.05,422.45,412.3,413.7,1056300,191.578
2016-05-11,413.45,416,408.6,409.7,1064900,189.7256
2016-05-12,409.5,416.4,406.7,414.8,1289600,192.0873
2016-05-13,415,417.6,410.45,414.4,1618100,191.9021
2016-05-16,414.95,420,408,409.5,1523600,189.633
2016-05-17,411.95,416.2,406,407.65,2898500,188.7763
2016-05-18,408.2,412.4,404.05,406.6,1830400,188.2901
