"Date","OFSS.NS.Open","OFSS.NS.High","OFSS.NS.Low","OFSS.NS.Close","OFSS.NS.Volume","OFSS.NS.Adjusted"
2016-02-08,3668,3690,3601.05,3612.25,11500,3352.559
2016-02-09,3590,3639,3538.05,3550.75,12300,3295.48
2016-02-10,3550.1,3550.1,3425,3456.95,34900,3208.423
2016-02-11,3398,3506,3151.05,3313.75,59600,3075.518
2016-02-12,3316.15,3442.5,3203.6,3417.9,45400,3172.181
2016-02-15,3450,3505.7,3370,3417.4,23800,3171.717
2016-02-16,3393,3475,3250,3270.85,38100,3035.703
2016-02-17,3275,3283.9,3171,3264.2,27700,3029.531
2016-02-18,3311,3332.35,3215.75,3290.25,23400,3053.708
2016-02-19,3265,3300,3225.15,3249.45,16400,3015.841
2016-02-22,3283,3283,3245.1,3254.2,9900,3020.25
2016-02-23,3246,3294.2,3223.55,3227.1,15500,2995.098
2016-02-24,3232,3250,3150,3181.15,23400,2952.451
2016-02-25,3182.05,3235,3100,3123.9,48600,2899.317
2016-02-26,3120.05,3188.9,3111,3160.9,31000,2933.657
2016-02-29,3159.5,3265,3120.6,3217.25,91900,2985.956
2016-03-01,3192.1,3288,3192.1,3278.25,22300,3042.571
2016-03-02,3285,3325.9,3257.3,3287.25,34100,3050.924
2016-03-03,3300,3325,3251.7,3305.3,28400,3067.676
2016-03-04,3333,3464.65,3305.95,3448.2,39200,3200.302
2016-03-07,3448.2,3448.2,3448.2,3448.2,0,3200.302
2016-03-08,3445,3537,3409,3493.85,35900,3242.671
2016-03-09,3435.1,3515.4,3410.05,3432.45,33900,3185.685
2016-03-10,3375.1,3443.1,3351,3375.45,31400,3132.783
2016-03-11,3370,3390,3335.55,3349.15,18200,3108.373
2016-03-14,3300.1,3389,3300.1,3346.45,17400,3105.867
2016-03-15,3306.2,3390,3306.2,3338.65,19300,3098.628
2016-03-16,3352,3425,3325.15,3333.3,17700,3093.663
2016-03-17,3318,3410.7,3318,3394.35,42200,3150.324
2016-03-18,3365.2,3455,3353.25,3450.8,24700,3202.716
2016-03-21,3459,3503.45,3449.25,3486.3,24100,3235.664
2016-03-22,3450.15,3539,3450.15,3505.95,25100,3253.901
2016-03-23,3506,3586.95,3488.35,3574.6,29500,3317.616
2016-03-24,3574.6,3574.6,3574.6,3574.6,0,3317.616
2016-03-25,3574.6,3574.6,3574.6,3574.6,0,3317.616
2016-03-28,3610,3610,3433.5,3474.75,20300,3224.944
2016-03-29,3480,3545.85,3480,3516.7,13900,3263.878
2016-03-30,3496,3570,3488.65,3556.45,33800,3300.77
2016-03-31,3532,3585.1,3488.6,3529.4,83400,3275.665
2016-04-01,3529,3565,3499,3527.05,50200,3273.484
2016-04-04,3521,3594.95,3516.25,3558.5,37900,3302.673
2016-04-05,3535,3590.95,3485.05,3538.15,118900,3283.786
2016-04-06,3584.9,3584.9,3528,3559.9,35600,3303.972
2016-04-07,3560,3565.8,3528.05,3559.95,73500,3304.019
2016-04-08,3574.95,3576,3549.55,3558.05,11600,3302.255
2016-04-11,3550,3576.3,3530.8,3557.55,13200,3301.791
2016-04-12,3564.95,3569.95,3525,3563.65,24300,3307.453
2016-04-13,3567,3619,3550,3567.3,35600,3310.84
2016-04-14,3567.3,3567.3,3567.3,3567.3,0,3310.84
2016-04-15,3567.3,3567.3,3567.3,3567.3,0,3310.84
2016-04-18,3571,3649,3421.05,3637.7,35600,3376.179
2016-04-19,3637.7,3637.7,3637.7,3637.7,0,3376.179
2016-04-20,3631,3667.3,3618.65,3633.2,41100,3372.003
2016-04-21,3625,3643.45,3600,3607.1,14800,3347.779
2016-04-22,3600,3617.8,3590,3609.95,22900,3350.424
2016-04-25,3613.7,3613.7,3555,3593,17500,3334.693
2016-04-26,3570,3594.5,3531.2,3551.55,13600,3296.223
2016-04-27,3564.75,3625.2,3421.05,3552.15,48700,3296.779
2016-04-28,3560,3632.9,3560,3593.05,59600,3334.739
2016-04-29,3620,3624.9,3595.3,3608.35,9600,3348.939
2016-05-02,3608.35,3658,3537,3634.95,24400,3373.627
2016-05-03,3600,3641.2,3543.4,3575.3,23100,3318.265
2016-05-04,3584.85,3584.85,3521,3558.75,17600,3302.905
2016-05-05,3587,3587,3485,3504.05,35700,3252.137
2016-05-06,3499,3580.75,3485.5,3570.55,7500,3313.857
2016-05-09,3560.55,3575.9,3495.05,3507.6,26700,3255.432
2016-05-10,3519.95,3529.9,3438.1,3466.65,60200,3217.426
2016-05-11,3445,3523.95,3445,3500.15,51200,3248.518
2016-05-12,3480,3502.85,3436.05,3483.9,16000,3233.436
2016-05-13,3500,3545.95,3452.7,3483.65,14200,3233.204
2016-05-16,3500,3528.95,3410,3443.8,20500,3196.219
2016-05-17,3411,3443.8,3392.05,3422.1,23700,3176.079
2016-05-18,3422,3543.2,3395.05,3489.05,37400,3238.216
2016-05-19,3541.35,3541.35,3482,3510.45,21200,3258.077
2016-05-20,3500.1,3512.4,3401,3413.5,24700,3168.097
2016-05-23,3489,3489,3376.4,3387.45,10400,3143.92
2016-05-24,3449.95,3449.95,3319.1,3340.45,63800,3100.299
2016-05-25,3360.7,3420,3342.05,3394.85,39100,3150.788
2016-05-26,3406,3490,3388.5,3465.65,34400,3216.498
2016-05-27,3465,3498,3450,3486.75,42600,3236.081
2016-05-30,3524,3524,3462.7,3482.9,22000,3232.508
2016-05-31,3500,3515,3450,3466.05,33900,3216.869
2016-06-01,3470.1,3503,3452,3485.5,35100,3234.921
2016-06-02,3484,3484.95,3390,3431.75,56600,3185.035
2016-06-03,3431.05,3485,3431.05,3464.8,10200,3215.709
2016-06-06,3442.5,3482.5,3433.5,3439.25,17900,3191.996
2016-06-07,3439,3456.8,3433.6,3443.95,7300,3196.358
2016-06-08,3425,3455,3415,3423,12600,3176.914
2016-06-09,3435,3440,3405,3420.65,12500,3174.733
2016-06-10,3428.1,3441.9,3390,3399.8,10400,3155.382
2016-06-13,3399.8,3428.9,3365.75,3392.85,17100,3148.932
2016-06-14,3404,3427,3376.1,3412,13200,3166.705
2016-06-15,3410,3482.7,3410,3472.7,21700,3223.041
2016-06-16,3470,3484.15,3415.45,3454.2,13800,3205.871
2016-06-17,3455,3458,3378.9,3397.2,62000,3152.969
2016-06-20,3381,3439.4,3381,3432.7,10700,3185.917
2016-06-21,3448,3480,3417.85,3468,27500,3218.679
2016-06-22,3445.05,3498,3445.05,3485.25,7800,3234.689
2016-06-23,3475,3485,3440.2,3459.45,8300,3210.744
2016-06-24,3410,3417,3325,3395.5,19500,3151.391
2016-06-27,3360,3426.4,3360,3392.85,16000,3148.932
2016-06-28,3381,3439.8,3375.1,3404.15,18900,3159.419
2016-06-29,3430,3464.4,3410.15,3445.4,37500,3197.704
2016-06-30,3430,3490,3430,3464.25,61000,3215.199
2016-07-01,3469,3496.5,3417.4,3459.45,37600,3210.744
2016-07-04,3474,3486.9,3447.4,3475.45,18000,3225.593
2016-07-05,3466,3547,3466,3516.2,60900,3263.414
2016-07-06,3516.2,3516.2,3516.2,3516.2,0,3263.414
2016-07-07,3532,3599.9,3532,3574.95,29900,3317.94
2016-07-08,3585.7,3630,3535,3544.35,27800,3289.54
2016-07-11,3548,3587.4,3527,3541.1,6400,3286.524
2016-07-12,3541.1,3563.95,3481.05,3490.4,12100,3239.469
2016-07-13,3502,3570,3500,3536,22000,3281.79
2016-07-14,3530,3565.85,3486.1,3514.15,22200,3261.511
2016-07-15,3514.2,3545,3485.3,3524.85,17700,3271.442
2016-07-18,3510,3580,3471,3569.15,33800,3312.557
2016-07-19,3535,3615.3,3535,3581.15,17700,3323.694
2016-07-20,3555,3634.95,3550,3629.15,16500,3368.244
2016-07-21,3612,3699.9,3612,3651.55,38200,3389.033
2016-07-22,3627,3649.4,3565,3575.95,14800,3318.868
2016-07-25,3585,3611,3536.2,3570.65,15400,3313.949
2016-07-26,3550.3,3587.95,3550.3,3569.85,26300,3313.207
2016-07-27,3570,3603,3542.5,3553.1,6600,3297.661
2016-07-28,3556.1,3750,3536,3724,100900,3456.275
2016-07-29,3715,3779.5,3648,3685.95,43900,3420.96
2016-08-01,3685.95,3744.4,3575,3578.35,36100,3321.096
