"Date","PCJEWELLER.NS.Open","PCJEWELLER.NS.High","PCJEWELLER.NS.Low","PCJEWELLER.NS.Close","PCJEWELLER.NS.Volume","PCJEWELLER.NS.Adjusted"
2016-08-24,435.2,438.05,430.85,434.65,59400,431.68
2016-08-25,433.1,438.9,419.2,422.6,429000,419.72
2016-08-26,422.5,432.35,421,430.6,121900,427.66
2016-08-29,430.9,440,422.5,435.65,123900,432.68
2016-08-30,431.5,446,431.5,437.9,161800,434.91
2016-08-31,441,444,437.05,440.7,107500,437.69
2016-09-01,440.7,468.8,436.6,463.15,727700,459.99
2016-09-02,470,477.15,467,472.25,650800,469.03
2016-09-05,472.25,472.25,472.25,472.25,0,469.03
2016-09-06,472,484.85,460.3,481,259100,477.72
2016-09-07,483.4,487,475.4,480.15,234900,476.87
2016-09-08,479.9,494.1,475,490.8,331200,487.45
2016-09-09,483.8,494.6,479.7,487.2,231300,487.2
2016-09-12,474.2,497.4,474.2,481.15,399100,481.15
2016-09-13,481.15,481.15,481.15,481.15,0,481.15
2016-09-14,488,527.15,482.3,514.55,597700,514.55
2016-09-15,521,531,490.1,493.5,1100500,493.5
2016-09-16,497.8,514,483.3,492.75,1320700,492.75
2016-09-19,492.75,496.8,483.05,488.15,265400,488.15
2016-09-20,490,491.6,477,483.7,149700,483.7
2016-09-21,486,509.5,480.35,497.75,678100,497.75
2016-09-22,503.5,509.95,498,504.3,340300,504.3
2016-09-23,504.6,516.95,500.5,504.4,373500,504.4
2016-09-26,503.2,511.9,495.5,497.8,230900,497.8
2016-09-27,500.8,508.7,492.55,496.05,242000,496.05
2016-09-28,498,506.35,495,500.1,134200,500.1
2016-09-29,504.8,510.5,464,469.35,400700,469.35
2016-09-30,471.5,489,467.35,485.1,200300,485.1
2016-10-03,485.8,499,485.8,492.8,201300,492.8
2016-10-04,493.65,505,489.45,494.95,223000,494.95
2016-10-05,500,500.8,488.55,491.7,242500,491.7
2016-10-06,492.45,494.9,483,486.1,158300,486.1
2016-10-07,488.7,494.9,479.05,485.1,161400,485.1
2016-10-10,485.8,522.1,485.35,519.9,1198700,519.9
2016-10-11,519.9,519.9,519.9,519.9,0,519.9
2016-10-12,519.9,519.9,519.9,519.9,0,519.9
2016-10-13,521.85,522.55,490.15,497.35,711600,497.35
2016-10-14,501.85,504.85,475.8,497.5,362500,497.5
2016-10-17,500,503.6,487.65,489.95,243700,489.95
2016-10-18,493.55,503.9,492.05,499.9,249200,499.9
2016-10-19,502,511,499.85,503.7,370900,503.7
