"Date","NCC.NS.Open","NCC.NS.High","NCC.NS.Low","NCC.NS.Close","NCC.NS.Volume","NCC.NS.Adjusted"
2015-10-14,81.6,84,80,81,8842500,80.38207
2015-10-15,81.6,83,80.6,81,3346400,80.38207
2015-10-16,81.3,82.6,80.1,81.45,3960400,80.82864
2015-10-19,81.8,83.15,80.9,82.55,2747400,81.92025
2015-10-20,82.85,82.95,81.45,82.3,2101200,81.67216
2015-10-21,82.6,83.3,80.15,81.3,3309600,80.67979
2015-10-22,81.3,81.3,81.3,81.3,0,80.67979
2015-10-23,82.2,82.35,80.75,81.3,1548000,80.67979
2015-10-26,81.5,81.8,78.95,79.5,1233200,78.89352
2015-10-27,79,79.65,78.2,78.75,1463500,78.14924
2015-10-28,79.1,83.9,78.85,82.9,7367200,82.26758
2015-10-29,83.3,85.25,82.5,83.05,6451100,82.41644
2015-10-30,83.3,84.15,79.45,80.35,3457700,79.73703
2015-11-02,80.6,80.85,76.35,78.4,2481700,77.80191
2015-11-03,79,79.1,77.4,77.85,1607500,77.2561
2015-11-04,78.75,80.8,78,78.8,1963800,78.19886
2015-11-05,78.2,78.5,75.25,75.55,2028800,74.97365
2015-11-06,76,76.8,73,73.9,1939100,73.33624
2015-11-09,70.1,77.45,70.05,76.8,3107500,76.21412
2015-11-10,76.8,78.3,74.05,75.4,7151800,74.82479
2015-11-11,75.4,75.4,75.4,75.4,0,74.82479
2015-11-12,75.4,75.4,75.4,75.4,0,74.82479
2015-11-13,77.25,79.5,76.7,78.65,3199500,78.05
2015-11-16,78.95,79.4,77.15,78.25,2217400,77.65305
2015-11-17,78.75,79.25,77.4,78.8,2915600,78.19886
2015-11-18,78.6,80.4,77.8,78.1,4915900,77.50419
2015-11-19,78.95,80.55,78.6,79.35,3553300,78.74466
2015-11-20,79.45,80.4,78.65,79.4,2099900,78.79428
2015-11-23,79.4,80.2,78.05,78.25,1369700,77.65305
2015-11-24,78,78.5,77.5,77.95,1550900,77.35534
2015-11-25,77.95,77.95,77.95,77.95,0,77.35534
2015-11-26,78.1,79.7,77.75,78.15,5164600,77.55382
2015-11-27,78.85,79.15,77.4,78.05,2375200,77.45458
2015-11-30,78.25,79.15,77.25,77.55,2519500,76.95839
2015-12-01,77.75,78.4,77.1,77.3,2570600,76.7103
2015-12-02,77.85,78.8,76.85,77.1,3229600,76.51182
2015-12-03,76.7,78.9,76.1,77.75,4606900,77.15687
2015-12-04,76.7,79.15,76.6,77.45,3221600,76.85915
2015-12-07,78.75,79.5,77.8,78.1,2466700,77.50419
2015-12-08,78.2,79,76.45,77.15,1897500,76.56144
2015-12-09,76.8,77.5,70.5,71.85,3714700,71.30187
2015-12-10,72.25,75.2,71.7,74.95,3044000,74.37822
2015-12-11,75.15,75.3,71.5,72.4,2810900,71.84768
2015-12-14,72,74.1,71.1,73.2,2175000,72.64157
2015-12-15,72.85,73.9,72.25,73,2472700,72.4431
2015-12-16,73.3,74.85,73.25,74.3,1651400,73.73319
2015-12-17,74.95,77.15,74.25,76.55,3378100,75.96602
2015-12-18,76.65,78.1,76.05,76.35,3936600,75.76754
2015-12-21,76.35,77.4,75.55,76.9,1999100,76.31335
2015-12-22,77.5,78.1,74.65,75.25,2723700,74.67594
2015-12-23,75.7,76.75,75.3,75.7,2770400,75.1225
2015-12-24,76.2,79.1,74.85,77.85,4210000,77.2561
2015-12-25,77.85,77.85,77.85,77.85,0,77.2561
2015-12-28,77.9,78.75,76.75,77.5,3529300,76.90877
2015-12-29,78,79.25,77.5,78.2,3196800,77.60343
2015-12-30,78.2,79.25,76.9,77.1,3329600,76.51182
2015-12-31,77.35,77.95,75.5,75.8,4243400,75.22174
2016-01-01,76.2,77.9,76,77.15,2823000,76.56144
2016-01-04,77.15,78.8,74.8,75.9,3113200,75.32098
2016-01-05,76.5,77.7,75.15,77.4,3003600,76.80954
2016-01-06,77,81.75,76.35,78.6,9653900,78.00038
2016-01-07,76.5,76.85,72.05,72.6,4710000,72.04615
2016-01-08,73.6,75.85,73.15,74.45,2841500,73.88204
2016-01-11,72.3,75,72.1,73.85,2400300,73.28662
2016-01-12,74.25,74.75,72.05,73,2305100,72.4431
2016-01-13,74.15,74.45,67.5,71.35,5145600,70.80569
2016-01-14,69,70.15,67.25,68.4,3963700,67.8782
2016-01-15,68.75,69.65,62.55,63.95,3341800,63.46214
2016-01-18,63.4,63.95,59,60.35,4517100,59.8896
2016-01-19,60.75,63.7,59.45,62.45,3731000,61.97359
2016-01-20,60.7,64.6,58.7,64.05,5272500,63.56138
2016-01-21,65,66.85,61.2,63.6,6423500,63.11481
2016-01-22,64.75,66.65,63.8,66.15,2898000,65.64536
2016-01-25,66.95,67.65,63.25,63.8,4593500,63.31329
2016-01-26,63.8,63.8,63.8,63.8,0,63.31329
2016-01-27,64.6,65.7,63.1,63.65,4402600,63.16443
2016-01-28,63.5,64.1,61.6,62.05,5301100,61.57664
2016-01-29,62.45,64.7,61.2,64.4,3790600,63.90871
2016-02-01,64.95,66,64,65.7,3536600,65.19879
2016-02-02,65.7,66.5,62.6,63,3438000,62.51939
2016-02-03,61.35,62.6,59.4,61.9,3318100,61.42778
2016-02-04,62.7,63.4,60,61.65,3982400,61.17969
2016-02-05,61.85,63.5,60.15,62.9,3828200,62.42015
2016-02-08,63,65.75,62.05,63.8,3956700,63.31329
2016-02-09,62.5,64.4,62.1,63.15,2220500,62.66825
2016-02-10,62.5,63.6,60.15,60.8,3141100,60.33617
2016-02-11,60.5,61.95,56.3,56.95,8776900,56.51554
2016-02-12,58.45,59.85,55.9,59.3,5282100,58.84762
2016-02-15,60.5,65.1,60.5,64.35,4088300,63.85909
2016-02-16,65.2,65.8,62.55,64.1,4704600,63.611
2016-02-17,64.15,65.6,61.6,64.95,3961500,64.45451
2016-02-18,65.75,67.6,65.1,65.8,3950300,65.29803
2016-02-19,65.2,67,64.5,65,2486300,64.50413
2016-02-22,64.55,67,64.55,66.45,2882400,65.94307
2016-02-23,67,67.2,64.25,65.2,2507600,64.7026
2016-02-24,66.1,67.35,62.8,63.95,4848200,63.46214
2016-02-25,63.7,64.4,61.4,61.65,4291900,61.17969
2016-02-26,62.75,62.85,59.15,61.15,4356200,60.6835
2016-02-29,61.6,62.9,59.1,61.35,3605900,60.88198
2016-03-01,61,64,61,63,4649200,62.51939
2016-03-02,64.5,71.25,63.85,69.45,8428800,68.92018
2016-03-03,71,72,68.4,71.75,5998400,71.20264
2016-03-04,72.25,72.25,70.1,71,3138900,70.45836
2016-03-07,71,71,71,71,0,70.45836
2016-03-08,70.5,71.85,68.6,69.25,2911800,68.72171
2016-03-09,67.9,70.75,67.7,69.75,5302500,69.2179
2016-03-10,69.85,70.9,68.25,68.7,2920500,68.1759
2016-03-11,69,69.9,67.35,67.8,2959400,67.28277
2016-03-14,68.4,68.95,66.85,67.45,1953600,66.93544
2016-03-15,67.9,69.9,67.5,69.4,3626300,68.87057
2016-03-16,69.95,71.9,69.4,71.55,6979400,71.00417
2016-03-17,72.65,74.3,72.3,73.05,6515300,72.49272
2016-03-18,72.8,73.6,69.75,71.5,5101000,70.95455
2016-03-21,71,73.25,70.8,72.9,3760600,72.34387
2016-03-22,73.1,74.85,72.45,74.6,2347500,74.03089
2016-03-23,75.15,78.35,74.8,77.7,5234400,77.10724
2016-03-24,77.7,77.7,77.7,77.7,0,77.10724
2016-03-25,77.7,77.7,77.7,77.7,0,77.10724
2016-03-28,76.95,77.35,73,73.3,4006900,72.74082
2016-03-29,72.7,74.35,72.5,72.9,2967000,72.34387
2016-03-30,73.25,76.5,73.05,75.8,2828500,75.22174
2016-03-31,76.75,77.15,75.4,75.8,3389200,75.22174
2016-04-01,75,76.9,74.65,75.8,1567900,75.22174
2016-04-04,76.6,77,74,74.9,3679700,74.32861
2016-04-05,73.95,74.45,72.3,72.7,2748600,72.14539
2016-04-06,72.9,74.55,72.1,74.3,2524400,73.73319
2016-04-07,74.6,75.2,72.85,73.1,2221700,72.54234
2016-04-08,72.9,73.6,72.4,72.75,2476800,72.19501
2016-04-11,73.2,73.75,71.8,73.35,4060900,72.79043
2016-04-12,73.3,74.2,72.4,72.9,2419000,72.34387
2016-04-13,73.85,75.25,73.55,74.4,4319600,73.83242
2016-04-14,74.4,74.4,74.4,74.4,0,73.83242
2016-04-15,74.4,74.4,74.4,74.4,0,73.83242
2016-04-18,74.4,74.65,73.1,73.85,2762700,73.28662
2016-04-19,73.85,73.85,73.85,73.85,0,73.28662
2016-04-20,75.6,76.65,74.6,75.25,6221500,74.67594
2016-04-21,75.6,75.9,73.5,73.95,2849800,73.38585
2016-04-22,74.1,74.7,73.3,73.85,1607900,73.28662
2016-04-25,73.85,75.7,73.3,74.7,3605400,74.13013
2016-04-26,74.25,78.75,74.15,77.7,5075600,77.10724
2016-04-27,78.4,82.45,77.85,82,10889300,81.37444
2016-04-28,82.25,82.4,78.85,79.15,5128800,78.54619
2016-04-29,78.7,79.5,75.6,78.1,8675400,77.50419
2016-05-02,77.85,80.95,76.7,80.15,4494500,79.53856
2016-05-03,80.8,81.8,77.95,78.4,4091200,77.80191
2016-05-04,77.5,78.25,75.35,75.9,3034900,75.32098
2016-05-05,75.6,77.45,75.6,76.4,2333800,75.81717
2016-05-06,75.5,77.2,75.5,76.55,1384800,75.96602
2016-05-09,77,78.75,76.5,78.25,2763300,77.65305
2016-05-10,78.65,79.8,78.2,78.75,2683400,78.14924
2016-05-11,75,78.8,75,77.15,3173300,76.56144
2016-05-12,77.5,78.35,76.85,77.65,2346900,77.05763
2016-05-13,77,77.45,75.25,75.7,2132100,75.1225
2016-05-16,75.9,76.4,73.6,75.3,3349900,74.72556
2016-05-17,75.5,76.65,75.1,75.3,2832600,74.72556
2016-05-18,74.9,75.9,74.35,74.95,2257300,74.37822
2016-05-19,75,78,74.35,74.65,4292800,74.08052
2016-05-20,75.3,76.4,73.75,73.95,3406700,73.38585
2016-05-23,74.35,74.6,72.4,72.6,2978300,72.04615
2016-05-24,72.55,73.3,68.45,71.25,10377100,70.70645
2016-05-25,72.25,72.5,70.8,71.25,4694900,70.70645
2016-05-26,71.65,71.85,70.1,71,3166500,70.45836
2016-05-27,71.65,73.5,71.55,72.1,3676400,71.54997
2016-05-30,72.75,74.3,71.85,73.75,3415600,73.18738
2016-05-31,74.3,74.3,72.1,73.6,2780600,73.03852
2016-06-01,73.7,74.35,72,72.25,3129000,71.69882
2016-06-02,72.6,72.6,71.3,71.85,1597500,71.30187
2016-06-03,72.25,72.6,70,70.5,1796300,69.96217
2016-06-06,70.9,72.85,70.5,72.2,2269200,71.6492
2016-06-07,72.6,73.7,72.1,73.3,3000500,72.74082
2016-06-08,73.65,75.4,73.1,75.05,3904300,74.47747
2016-06-09,75.4,76.4,74.25,76,3331600,75.42022
2016-06-10,76.3,77.05,74.75,74.95,3484300,74.37822
2016-06-13,74.5,74.5,72.1,73,3641600,72.4431
2016-06-14,73,74.35,72.75,73.7,2543600,73.13776
2016-06-15,74.1,75.9,74.05,75.3,3865700,74.72556
2016-06-16,74.6,75.5,73.65,75,2775900,74.42784
2016-06-17,75.7,76.45,75,75.35,3855900,74.77517
2016-06-20,74.4,77.6,74.1,76.1,3927800,75.51945
2016-06-21,76.35,76.6,74.9,75.3,1683300,74.72556
2016-06-22,75.3,76.15,73.4,74.4,2146200,73.83242
2016-06-23,74.35,74.8,73.4,74,1620000,73.43547
2016-06-24,70.5,71.15,68.35,70.8,3800200,70.25989
2016-06-27,69.5,72.45,69.5,71.75,2439000,71.20264
2016-06-28,72.15,73.25,71.75,72.55,1752500,71.99654
2016-06-29,73,74.6,73,74.25,2131900,73.68357
2016-06-30,75.55,75.7,74.05,74.25,3793900,73.68357
2016-07-01,74.4,77,74.2,76.1,3402400,75.51945
2016-07-04,76.65,78.8,76.5,77.5,3366600,76.90877
2016-07-05,78.4,79.3,77.2,77.95,3342100,77.35534
2016-07-06,77.95,77.95,77.95,77.95,0,77.35534
2016-07-07,78,78.9,76,76.3,2293900,75.71793
2016-07-08,76.5,76.5,73.95,74.65,1748000,74.08052
2016-07-11,75.75,76.75,75.35,76.15,2071600,75.56907
2016-07-12,76.6,81.4,76.2,81,9523900,80.38207
2016-07-13,81.8,82.3,78.05,79.45,6918900,78.84389
2016-07-14,79,81.6,78.6,81.1,4122900,80.48131
2016-07-15,81.5,81.6,79.5,79.95,3224800,79.34008
2016-07-18,80.35,81.15,77.7,78.05,4322400,77.45458
2016-07-19,78.15,79.2,76.9,78.7,3250900,78.09962
2016-07-20,78.75,79.6,78.2,79.25,1678600,78.64542
2016-07-21,79.5,81.25,78.8,79.2,3709000,78.5958
2016-07-22,79.2,81.1,78.4,80.4,3290800,79.78665
2016-07-25,80.95,83,80.45,82.35,6575500,81.72177
2016-07-26,82.95,83.35,80.5,81,3778300,80.38207
2016-07-27,81.15,81.7,79.3,80.5,1855200,79.88589
2016-07-28,80.5,83.75,79.65,82.05,6688500,81.42407
2016-07-29,81.65,83.65,81.25,81.75,2615800,81.12635
2016-08-01,81.75,82.4,78.85,80.1,3203100,79.48894
2016-08-02,80.5,80.8,77.7,78.05,1977000,77.45458
2016-08-03,77.5,78.2,75.5,76.05,2265200,75.46984
2016-08-04,77.2,77.65,76.1,76.95,1804500,76.36297
2016-08-05,77.55,78.95,77.2,78.65,1879700,78.05
2016-08-08,78.8,79.95,78.35,78.75,1407300,78.75
2016-08-09,78.55,80.65,77.5,80,2830100,80
2016-08-10,80.75,81.25,78.25,78.65,4522600,78.65
2016-08-11,78.5,79.8,75.2,77.3,2101000,77.3
2016-08-12,78.35,80.8,76.25,77.45,6167200,77.45
2016-08-15,77.45,77.45,77.45,77.45,0,77.45
2016-08-16,76.8,83.05,76.65,82.3,8786100,82.3
2016-08-17,82.75,83.25,81.6,82.65,4790200,82.65
2016-08-18,82.95,88.6,82.8,85.95,16434400,85.95
2016-08-19,86.3,86.8,84,84.95,5830500,84.95
2016-08-22,85.2,87.25,84.9,85.95,5970400,85.95
2016-08-23,86.4,87.1,85.05,86.15,4084300,86.15
2016-08-24,86.5,87.1,84.65,85.85,8564400,85.85
2016-08-25,86.45,86.6,83.55,84,4590600,84
2016-08-26,84.15,84.7,82.7,83.25,3742500,83.25
2016-08-29,83.35,83.35,81.55,82.1,4358100,82.1
2016-08-30,82.75,83.05,81.5,82.35,3892100,82.35
2016-08-31,82.3,87,82.25,84.9,14436600,84.9
2016-09-01,85.5,88.1,85.2,85.75,14389200,85.75
2016-09-02,86.3,88.1,84.05,86.7,8320000,86.7
2016-09-05,86.7,86.7,86.7,86.7,0,86.7
