"Date","APOLLOTYRE.NS.Open","APOLLOTYRE.NS.High","APOLLOTYRE.NS.Low","APOLLOTYRE.NS.Close","APOLLOTYRE.NS.Volume","APOLLOTYRE.NS.Adjusted"
2016-01-11,148.95,151.95,146.65,148,1772300,146.19
2016-01-12,148.9,151.3,145.8,149.1,1597600,147.27
2016-01-13,149.5,152.6,144.9,148.6,2942100,146.78
2016-01-14,147,148.65,145.15,146,1774000,144.21
2016-01-15,146.6,147.3,136.85,139.3,3319100,137.59
2016-01-18,137.55,138.35,129.4,133.8,3310100,132.16
2016-01-19,132,135.85,129.05,132.4,4067600,130.78
2016-01-20,130,136.8,127.05,134.9,5680700,133.25
2016-01-21,136,139.05,132.95,135.65,1973000,133.99
2016-01-22,137.95,143.15,136.25,140.75,2078500,139.03
2016-01-25,142,146.4,141.2,142.7,2030300,140.95
2016-01-26,142.7,142.7,142.7,142.7,0,140.95
2016-01-27,142.8,147,142.8,145.6,1233400,143.82
2016-01-28,146,149.7,143.85,146.95,2175300,145.15
2016-01-29,145.8,148.7,143.1,147.45,1578700,145.64
2016-02-01,149,149,142.1,144,2532900,142.24
2016-02-02,143.8,144,141.5,142.45,3388000,140.71
2016-02-03,140,142.5,137.6,138.5,3826100,136.8
2016-02-04,140,142.7,134.1,141.25,3865300,139.52
2016-02-05,140.9,141.65,136.9,138.25,2249400,136.56
2016-02-08,138.95,143.15,136,136.95,2251500,135.27
2016-02-09,134.05,138.4,133.45,135.1,2618000,133.45
2016-02-10,135.5,150.9,135.5,149.55,11748500,147.72
2016-02-11,149.85,152.4,147.4,149,6373000,147.18
2016-02-12,150,152.45,142,148.05,7522100,146.24
2016-02-15,150,157.9,150,156.4,2838300,154.48
2016-02-16,158.2,158.7,148.85,151.5,2537000,149.64
2016-02-17,151.5,160.3,151.5,159.7,5496700,157.74
2016-02-18,161.2,162.5,154.1,160.25,5320900,158.29
2016-02-19,159.5,163.5,158.05,160.65,2356200,158.68
2016-02-22,159.4,163,157.8,162.45,2573800,160.46
2016-02-23,162.55,164.5,158.3,163.25,2928100,161.25
2016-02-24,162,166.4,160.7,161.75,2940700,159.77
2016-02-25,161.8,161.8,157,158.1,2655800,156.16
2016-02-26,159.2,159.75,153.8,154.95,1746000,153.05
2016-02-29,156.4,160.55,152.4,157.85,3031500,155.92
2016-03-01,158,161.3,157.05,158.35,2925700,156.41
2016-03-02,160.2,169.05,160.1,164.85,3315300,162.83
2016-03-03,166.7,167.2,163.8,165.95,3644800,163.92
2016-03-04,166,171.6,165.1,170.15,3474200,168.07
2016-03-07,170.15,170.15,170.15,170.15,0,168.07
2016-03-08,172.5,174.85,169.4,171.75,3665100,169.65
2016-03-09,170,172.75,166,171.5,2510900,169.4
2016-03-10,172.5,173.05,167,168.85,1855500,166.78
2016-03-11,168.85,170.55,166.5,167.5,1586500,165.45
2016-03-14,169,170.7,168.3,169.35,874300,167.28
2016-03-15,170,172.45,166.2,168.9,2437700,166.83
2016-03-16,170.6,170.6,165.5,168.4,1263300,166.34
2016-03-17,170.5,171.8,168.9,170.4,1611600,168.31
2016-03-18,171,179.4,168.55,177.25,3737000,175.08
2016-03-21,177,180.25,177,178.3,2170200,176.12
2016-03-22,177.55,181.5,176.2,178.6,3587300,176.41
2016-03-23,178.4,178.65,173.05,175.2,2239400,173.05
2016-03-24,175.2,175.2,175.2,175.2,0,173.05
2016-03-25,175.2,175.2,175.2,175.2,0,173.05
2016-03-28,173.05,176.25,170.25,172,1666200,169.89
2016-03-29,171.9,174.35,169.05,170.25,2093600,168.16
2016-03-30,171.45,173.9,169.95,172.9,2662700,170.78
2016-03-31,173,178,171.6,174.9,4069100,172.76
2016-04-01,174.3,176.4,173.1,174.4,1024700,172.26
2016-04-04,174.4,175.6,169.1,171.3,2140900,169.2
2016-04-05,170.7,172.15,164.5,165.5,1620600,163.47
2016-04-06,166.8,173.5,165.55,172.6,3151400,170.49
2016-04-07,173.6,173.85,167.9,168.5,1971100,166.44
2016-04-08,168.75,169.6,167.1,168,877400,165.94
2016-04-11,169.5,169.5,165,168.15,1824400,166.09
2016-04-12,168.7,170,165.5,168.1,2022800,166.04
2016-04-13,170.8,172,168.75,169.45,1358200,167.37
2016-04-14,169.45,169.45,169.45,169.45,0,167.37
2016-04-15,169.45,169.45,169.45,169.45,0,167.37
2016-04-18,169,174.8,167.9,173.25,2233300,171.13
2016-04-19,173.25,173.25,173.25,173.25,0,171.13
2016-04-20,173.3,175.4,168.5,169,2367800,166.93
2016-04-21,169.6,170.75,162.8,164.05,2025800,162.04
2016-04-22,162.5,163.7,159.75,162.65,2162700,160.66
2016-04-25,162.8,165.35,158.55,161.55,2075000,159.57
2016-04-26,162,164.3,160.55,162.8,1886100,160.81
2016-04-27,163,167.2,162.1,166.45,2357300,164.41
2016-04-28,165.65,167.5,163.75,164.45,1590500,162.44
2016-04-29,164.4,164.45,158.1,160.15,1821800,158.19
2016-05-02,150,162.95,150,162.1,1909300,160.11
2016-05-03,162.9,163.45,158,158.5,1095100,156.56
2016-05-04,159.4,160.7,153.8,154.95,1611400,153.05
2016-05-05,155.3,157.1,154.1,155.4,1047700,153.5
2016-05-06,155.9,159.45,154.3,158.8,1037400,156.86
2016-05-09,159,160.2,156.3,157.25,1906400,155.32
2016-05-10,158.5,158.5,151.25,152.35,3266400,150.48
2016-05-11,150.1,154.3,149.7,153.5,2661900,151.62
2016-05-12,150.55,159.4,148.7,158.6,10149000,156.66
2016-05-13,158.4,161.25,156.85,159.75,3512900,157.79
2016-05-16,159.95,161.2,155.65,157.15,1776600,155.23
2016-05-17,156.6,158.8,153.1,153.55,1439000,151.67
2016-05-18,152.5,153.5,151.5,152.8,1301800,150.93
2016-05-19,153.2,154.7,150,150.8,2172500,148.95
2016-05-20,151.3,153.15,149.25,152.3,1472300,150.43
2016-05-23,151.9,152.9,150.75,151.5,1663200,149.64
2016-05-24,151,152,147.15,147.75,2282600,145.94
2016-05-25,148.65,152.45,147.3,151.8,1925200,149.94
2016-05-26,152.55,153.5,149.7,152.85,1673800,150.98
2016-05-27,153,157.25,152.8,156.85,1236700,154.93
2016-05-30,157.9,159.1,154.3,157.25,783200,155.32
2016-05-31,157.4,158.5,155.05,156.45,1125800,154.53
2016-06-01,156.55,157.7,153.05,153.45,990200,151.57
2016-06-02,153.45,155.45,151.05,154.95,835200,153.05
2016-06-03,155.1,156.6,150.35,150.95,860400,149.1
2016-06-06,151,153.1,150.15,151.8,375900,149.94
2016-06-07,153,153.75,150.85,153.25,1030500,151.37
2016-06-08,152.85,154.9,151.85,153.95,817200,152.06
2016-06-09,154,155.25,151.65,152.4,989600,150.53
2016-06-10,152.5,153.9,149.8,150.25,1317000,148.41
2016-06-13,149,150,147.4,148.1,873300,146.29
2016-06-14,148,152.4,147.7,151.6,1507200,149.74
2016-06-15,153,153.3,151,151.95,929600,150.09
2016-06-16,151.5,151.7,148.1,149.15,1835400,147.32
2016-06-17,149.15,150.3,147.8,148.9,1241300,147.08
2016-06-20,148.7,150.9,147,149.85,1825400,148.01
2016-06-21,149.95,151,148.05,148.6,863700,146.78
2016-06-22,149.7,149.7,147.05,148.75,1149400,146.93
2016-06-23,148.7,149.4,147.4,148.65,988300,146.83
2016-06-24,145,148.3,139.35,147.5,2024400,145.69
