"Date","DISHTV.NS.Open","DISHTV.NS.High","DISHTV.NS.Low","DISHTV.NS.Close","DISHTV.NS.Volume","DISHTV.NS.Adjusted"
2015-11-09,94.6,98.6,94.15,97.25,3619900,97.25
2015-11-10,97.25,98.8,96.75,97.55,3170600,97.55
2015-11-11,97.55,97.55,97.55,97.55,0,97.55
2015-11-12,97.55,97.55,97.55,97.55,0,97.55
2015-11-13,100.9,102.55,99.2,101.9,4150600,101.9
2015-11-16,102.2,104,102,103.35,4772700,103.35
2015-11-17,104,104.75,102.1,103.65,5397400,103.65
2015-11-18,103.8,104.3,101.75,102.15,2255200,102.15
2015-11-19,102.7,103.75,102.55,103.2,1592200,103.2
2015-11-20,103,103.7,102.4,102.85,1880000,102.85
2015-11-23,103.25,103.95,102.2,102.4,2716400,102.4
2015-11-24,102.45,103.05,102,102.25,2405900,102.25
2015-11-25,102.25,102.25,102.25,102.25,0,102.25
2015-11-26,102.2,104.6,102.1,103.15,4481700,103.15
2015-11-27,103.15,105.8,102.95,105.25,2396000,105.25
2015-11-30,105.3,109.1,105.25,108,6054300,108
2015-12-01,108.35,108.9,107.4,107.75,2313200,107.75
2015-12-02,107.4,108.55,105.85,106.85,2396700,106.85
2015-12-03,106.5,106.75,104.55,104.95,2530100,104.95
2015-12-04,104,106.7,103.6,105.1,1836200,105.1
2015-12-07,106,106.75,105.1,106.4,1793400,106.4
2015-12-08,106.2,106.55,104.05,104.45,1729500,104.45
2015-12-09,104.35,104.35,100.9,101.3,4363600,101.3
2015-12-10,98,101.15,97.2,100.4,6852600,100.4
2015-12-11,100.15,100.35,97.15,98.3,4334800,98.3
2015-12-14,98.1,98.9,95,95.9,4071700,95.9
2015-12-15,95.6,95.7,92.35,93.3,5116200,93.3
2015-12-16,93,94.85,91.75,93.6,4227700,93.6
2015-12-17,93.8,95.1,92.95,94.1,5859500,94.1
2015-12-18,93.5,97.95,93,97.1,8913700,97.1
2015-12-21,97.7,98.35,96,98,4773100,98
2015-12-22,98.7,99.8,97,97.2,3668600,97.2
2015-12-23,97.75,98.85,97.2,97.8,2555700,97.8
2015-12-24,98.35,99.1,97.35,97.6,2483500,97.6
2015-12-25,97.6,97.6,97.6,97.6,0,97.6
2015-12-28,97.55,98.9,97.5,98.35,1840800,98.35
2015-12-29,98.3,98.8,97.6,98.35,2618400,98.35
