"Date","YESBANK.NS.Open","YESBANK.NS.High","YESBANK.NS.Low","YESBANK.NS.Close","YESBANK.NS.Volume","YESBANK.NS.Adjusted"
2015-11-24,740,748.2,737.9,744.15,2499700,736.89
2015-11-25,744.15,744.15,744.15,744.15,0,736.89
2015-11-26,746.95,754,745.2,749.8,2968200,742.49
2015-11-27,751,769.7,748.85,762.7,2492900,755.26
2015-11-30,762,771,762,767,2217400,759.52
2015-12-01,770,772,758.7,760.2,2097100,752.79
2015-12-02,762.2,763.7,748,750.65,1847200,743.33
2015-12-03,745,758.9,745,752.05,2132500,744.72
2015-12-04,745,751.2,738.55,740,1636100,732.78
2015-12-07,744.9,745.9,732.5,734.9,1558500,727.73
2015-12-08,731,735,723.6,725.75,1466000,718.67
2015-12-09,725,734.9,713.45,716.7,2063400,709.71
2015-12-10,719.9,721.8,702.3,707.1,3250400,700.2
2015-12-11,709,713.7,672.25,680.6,5744400,673.96
2015-12-14,679.1,689,668,683.25,3472000,676.59
2015-12-15,688,694.2,675.75,691.35,2681400,684.61
2015-12-16,697,710.6,694.25,698.55,3630300,691.74
2015-12-17,708,723.75,705.7,721.1,3731800,714.07
2015-12-18,717.9,727.45,713.6,718.7,3337000,711.69
2015-12-21,717,726.5,716.9,718.85,1892000,711.84
2015-12-22,719.95,727.8,712,713.95,1613600,706.99
2015-12-23,718,726,718,724.75,1736000,717.68
2015-12-24,726.15,729.4,720.1,724.35,1212800,717.29
2015-12-25,724.35,724.35,724.35,724.35,0,717.29
2015-12-28,725.9,736.1,725.2,732.95,1689400,725.8
2015-12-29,734.45,735.95,728,731.45,1411600,724.32
2015-12-30,733.8,736.9,730.1,734.25,1209000,727.09
2015-12-31,734.1,736.5,723.4,725.8,1291400,718.72
2016-01-01,727.65,735.5,722.75,732.45,997700,725.31
2016-01-04,729.9,729.9,701.1,705.75,2538700,698.87
2016-01-05,709,713.1,698.4,707.7,2069100,700.8
2016-01-06,711.95,716.9,701.5,703.85,1665900,696.99
