"Date","GRANULES.NS.Open","GRANULES.NS.High","GRANULES.NS.Low","GRANULES.NS.Close","GRANULES.NS.Volume","GRANULES.NS.Adjusted"
2015-10-20,155,155.9,152.1,152.7,999800,151.33
2015-10-21,153.1,153.2,148.5,149.95,1036300,148.605
2015-10-22,149.95,149.95,149.95,149.95,0,148.605
2015-10-23,151.1,151.3,146.1,146.85,937800,145.533
2015-10-26,147,149.8,143.7,144.9,881300,143.6
2015-10-27,144.6,152.2,142.35,150.8,2237400,149.447
2015-10-28,151.15,155.7,150.55,153.35,1848600,151.974
2015-10-29,154,155.7,150.1,151.45,989600,150.091
2015-10-30,152.1,152.5,146.6,147.75,981000,146.425
2015-11-02,153.5,155,147,148.25,1831000,146.92
2015-11-03,149.6,152.55,149,149.4,1102600,148.06
2015-11-04,150.35,150.75,145.75,146.95,879400,145.632
2015-11-05,147.2,147.45,143.2,144.1,876900,142.807
2015-11-06,144.3,146.3,141,141.6,776700,140.33
2015-11-09,138,149.3,134.9,148.3,1628200,147.126
2015-11-10,148.25,149.8,143.5,144.45,1068700,143.306
2015-11-11,144.45,144.45,144.45,144.45,0,143.306
2015-11-12,144.45,144.45,144.45,144.45,0,143.306
2015-11-13,147.7,152.45,144.2,151.45,1749400,150.251
2015-11-16,151,152.2,147,148.8,1314200,147.622
2015-11-17,149.45,149.8,145.6,146.35,1006900,145.191
2015-11-18,146.8,149,144,145.55,694600,144.397
2015-11-19,147.1,150.9,146.1,149.85,1091500,148.663
2015-11-20,150,151.9,148.5,149.55,818800,148.366
2015-11-23,149.85,158.9,149.55,157.7,2415400,156.451
2015-11-24,158,161.9,155.8,159.55,1779700,158.287
2015-11-25,159.55,159.55,159.55,159.55,0,158.287
2015-11-26,160.2,161.25,158.15,159.1,779600,157.84
2015-11-27,159.1,159.5,154.15,155.05,769800,153.822
2015-11-30,154.8,161.25,154,160,1271000,158.733
2015-12-01,160,164.4,160,161.9,1563200,160.618
2015-12-02,162.95,163.25,158.25,160.65,778500,159.378
2015-12-03,159.5,159.9,156.55,157.55,639300,156.302
2015-12-04,155,156.85,153.05,153.85,623500,152.632
2015-12-07,155.2,158.9,154.1,158.05,827900,156.798
2015-12-08,154.4,157.75,153.1,153.85,503600,152.632
2015-12-09,153.05,153.4,145.3,146.6,862400,145.439
2015-12-10,147.6,151.2,144.25,150.15,809000,148.961
2015-12-11,150.2,150.8,146.5,148.55,520400,147.374
2015-12-14,147.7,149.7,144.7,147.55,416900,146.382
2015-12-15,147.9,153.5,147,151.85,903400,150.647
2015-12-16,152.5,155.35,150.05,151.05,645300,149.854
2015-12-17,152.3,154.6,152.1,153.6,576600,152.384
2015-12-18,153,156.7,152.3,154.15,783700,152.929
2015-12-21,156,161.25,156,157.65,1677300,156.402
2015-12-22,155.55,156,148.7,151.8,1204100,150.598
2015-12-23,152,153.8,148.15,148.85,920800,147.671
2015-12-24,149,150.8,147.5,148.4,803400,147.225
2015-12-25,148.4,148.4,148.4,148.4,0,147.225
2015-12-28,148,151.9,148,150.5,622100,149.308
2015-12-29,151.9,152.9,148.55,149.4,659500,148.217
2015-12-30,150.6,151.95,149.3,149.8,647400,148.614
2015-12-31,150,150.5,148.2,148.8,394600,147.622
2016-01-01,148.55,151.9,148.1,150.5,401700,149.308
2016-01-04,149.8,149.8,146,146.65,598400,145.489
2016-01-05,147.75,150.9,144.8,147.95,770100,146.778
2016-01-06,148.1,148.75,143.5,144,891000,142.86
2016-01-07,142.9,142.9,138.5,139.15,844400,138.048
2016-01-08,138.1,141,138.1,139.6,544800,138.495
2016-01-11,137.9,138.9,135,135.75,644000,134.675
2016-01-12,136.05,137.5,126.65,127.4,1647100,126.391
2016-01-13,129.4,131.5,102.3,125.1,3681200,124.109
2016-01-14,122.75,126,114.95,120,1582900,119.05
2016-01-15,121.2,124.75,107.6,109.3,2426800,108.434
2016-01-18,110,111.45,102.2,105.3,2096500,104.466
2016-01-19,104.1,116.9,104.05,115.5,1909600,114.585
2016-01-20,114,119,109.3,117.1,2108700,116.173
2016-01-21,119.3,123.5,118,120.1,1946200,119.149
2016-01-22,122,123.7,119,119.9,1241100,118.951
2016-01-25,120.6,124.2,120.6,122.45,771000,121.48
2016-01-26,122.45,122.45,122.45,122.45,0,121.48
2016-01-27,123.3,123.85,119.05,120.2,708000,119.248
2016-01-28,120.15,121.95,112,113.4,2681600,112.502
2016-01-29,112,117.25,111.6,116.4,1051200,115.478
2016-02-01,117.4,118.25,112.5,113.65,816600,112.75
2016-02-02,114.2,116.65,113.2,114.25,961300,113.345
2016-02-03,112.2,114.45,111.6,112.35,644500,111.46
2016-02-04,113.45,114.1,105,105.95,1403500,105.111
2016-02-05,106.5,115.25,105.7,113.75,1263600,112.849
2016-02-08,116.5,123.7,115.1,120.8,2799400,120.002
2016-02-09,116.6,122.95,116.35,120.05,1282200,119.257
2016-02-10,120,121,112.9,116.1,956800,115.333
2016-02-11,114,114.9,106,107.85,1152700,107.137
2016-02-12,109,110.4,101.4,105.9,1820600,105.2
2016-02-15,109,114.4,109,112.2,951000,111.458
2016-02-16,113.1,113.9,108.1,109,620600,108.28
2016-02-17,108.75,108.75,104.4,107.25,1021500,106.541
2016-02-18,108.2,111.4,107.3,108.8,637200,108.081
2016-02-19,108.7,111.2,106.75,108.35,682300,107.634
2016-02-22,108.6,110.75,108.6,109.55,457300,108.826
2016-02-23,108.7,109.75,106.8,107.8,418800,107.088
2016-02-24,107,108.5,105.5,106.15,551100,105.448
2016-02-25,106.3,111.9,106.3,109.55,1086400,108.826
2016-02-26,112,114.4,105.05,106.3,2909100,105.597
2016-02-29,106.35,109.45,104.1,106.25,1025900,105.548
2016-03-01,106.05,113,105.65,112.45,1686400,111.707
2016-03-02,115,118.25,115,115.8,1724500,115.035
2016-03-03,116.6,118.2,115,117.7,1074500,116.922
2016-03-04,118.75,120,117.8,118.7,1092600,117.915
2016-03-07,118.7,118.7,118.7,118.7,0,117.915
2016-03-08,118.9,119.9,116.35,117.8,755400,117.021
2016-03-09,115.85,119.2,115.25,118.75,773700,117.965
2016-03-10,120,128.6,120,124.75,4526900,123.926
2016-03-11,125.9,128.2,125.75,126.2,2438300,125.366
2016-03-14,127.55,128.55,124.3,124.95,1274000,124.124
2016-03-15,125.1,126.3,120.05,120.65,1437600,119.853
2016-03-16,120.05,121,116.15,120.25,1421700,119.455
2016-03-17,121.5,122.6,117.2,118.3,880600,117.518
2016-03-18,118.3,120.15,116.05,119.3,1150300,118.512
2016-03-21,119.45,122.7,118.25,121.6,980000,120.796
2016-03-22,121.9,123.15,120,121.75,1032900,120.945
2016-03-23,121.75,122.95,120.8,121.75,822000,120.945
2016-03-24,121.75,121.75,121.75,121.75,0,120.945
2016-03-25,121.75,121.75,121.75,121.75,0,120.945
2016-03-28,122,122.5,118.2,119.8,936000,119.008
2016-03-29,121,122.9,117,117.95,2110800,117.17
2016-03-30,119.7,120.9,116.6,119.75,2106400,118.959
2016-03-31,118.85,121.4,118.85,119.95,1132500,119.157
2016-04-01,120.35,121.3,119,119.95,557600,119.157
2016-04-04,120.1,121,117.9,118.65,457300,117.866
2016-04-05,117.35,119.75,116.75,118,1416100,117.22
2016-04-06,118.5,119,117.3,118.45,398200,117.667
2016-04-07,118,120.2,117.65,118.8,977700,118.015
2016-04-08,118.5,120.9,118.15,120.1,755100,119.306
2016-04-11,120.35,121.5,118.25,120.65,794200,119.853
2016-04-12,122.05,127.4,121.6,126.55,2839800,125.714
2016-04-13,129,129.95,126.65,127.3,1763800,126.459
2016-04-14,127.3,127.3,127.3,127.3,0,126.459
2016-04-15,127.3,127.3,127.3,127.3,0,126.459
2016-04-18,128,128.4,124.3,127.3,652900,126.459
2016-04-19,127.3,127.3,127.3,127.3,0,126.459
2016-04-20,128.5,129.5,126.6,128,690000,127.154
2016-04-21,128.45,129.45,126.7,128.05,623300,127.204
2016-04-22,128,128.6,126.7,127.65,764100,126.806
2016-04-25,127.7,132.7,127,131.15,2326400,130.283
2016-04-26,132,133.25,130.7,132.2,1392300,131.326
2016-04-27,133,133.7,131.8,132.7,774600,131.823
2016-04-28,135,135.8,130.1,133.15,2112800,132.27
2016-04-29,138.1,138.9,133.95,134.65,2894200,133.76
2016-05-02,134.3,135.25,131.3,131.7,1326400,130.83
2016-05-03,132.5,133.5,128.6,129,1489700,128.147
2016-05-04,128.7,128.7,125.1,126.2,928300,125.366
2016-05-05,125.95,126.5,122.65,124.6,957300,123.777
2016-05-06,124.25,127.55,123.35,126.25,949100,125.416
2016-05-09,127.4,130.8,126.5,130.3,1108300,129.439
2016-05-10,130.85,133.25,130.5,131.65,1191400,130.78
2016-05-11,129.45,131.55,128.05,130.05,931400,129.19
2016-05-12,130.5,134.15,130.05,132.7,1159500,131.823
2016-05-13,131.45,132.45,129.5,131,697700,130.134
2016-05-16,131.05,133.55,130.2,132.35,841000,131.475
2016-05-17,133.8,133.9,130.55,131.3,960200,130.432
2016-05-18,130.7,132.3,129,131.95,856900,131.078
2016-05-19,131.7,134,130.1,131,1146500,130.134
2016-05-20,130.85,131.7,129.05,129.7,1010900,128.843
2016-05-23,130.6,130.6,127.3,128.25,914400,127.402
2016-05-24,128,128.65,124.5,128.1,1609600,127.253
2016-05-25,128.45,129.4,125.8,126.85,907300,126.012
2016-05-26,126.9,128.9,126.65,128.05,899900,127.204
2016-05-27,128,130.35,128,129.3,736800,128.445
2016-05-30,129.5,137.9,128.6,136.25,3149200,135.35
2016-05-31,137.25,140.35,135,137.8,2666400,136.889
2016-06-01,137.4,140.4,135,135.8,1333000,134.902
2016-06-02,136,137.35,134.6,136.95,608100,136.045
2016-06-03,140,142.05,139,139.5,2404400,138.578
2016-06-06,137.9,139.7,137.75,138.4,694500,137.485
2016-06-07,138.65,140.75,138.1,139.8,773300,138.876
2016-06-08,139.85,141,138.8,139.8,566400,138.876
2016-06-09,139.9,143.9,138.8,142.25,1940600,141.31
2016-06-10,142.75,145.9,142,142.3,1988200,141.36
2016-06-13,140.6,142.05,137.75,139.25,1326300,138.33
2016-06-14,139,140.85,139,140.05,857600,139.124
2016-06-15,140.35,142.4,139.5,141.5,1193300,140.565
2016-06-16,140.7,141,137.8,138.7,1261500,137.783
2016-06-17,138.7,139.7,138,138.7,619900,137.783
2016-06-20,137.6,139.8,136.65,138.75,452500,137.833
2016-06-21,138.95,141,137.65,138.35,685200,137.436
2016-06-22,138.3,139.25,133.6,136.15,684700,135.25
2016-06-23,136.15,140,134.1,139.55,1384800,138.628
