"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2016-04-08,3460,3474,3418.5,3430.65,1631500,3406.96
2016-04-11,3437,3488,3423,3478.65,970300,3454.62
2016-04-12,3470.2,3609.85,3465.05,3573.7,1404400,3549.02
2016-04-13,3613,3745.35,3606.6,3731.6,1107700,3705.83
2016-04-14,3731.6,3731.6,3731.6,3731.6,0,3705.83
2016-04-15,3731.6,3731.6,3731.6,3731.6,0,3705.83
2016-04-18,3720.8,3750,3680,3718.95,999600,3693.26
2016-04-19,3718.95,3718.95,3718.95,3718.95,0,3693.26
2016-04-20,3724.35,3724.35,3651,3670.05,1830900,3644.7
2016-04-21,3695,3737.25,3674,3705.3,1928900,3679.71
2016-04-22,3703,3833,3680.1,3816.05,1165700,3789.69
2016-04-25,3806.1,3842,3715.15,3727.95,838200,3702.2
2016-04-26,3704.05,3894,3691.9,3871.55,2782500,3844.81
2016-04-27,3841.1,3932.75,3830.25,3859.4,1388200,3832.74
2016-04-28,3819,3854,3735.1,3747.95,1821200,3722.06
2016-04-29,3742,3820,3725,3794.65,962800,3768.44
2016-05-02,3799.9,3840,3751.6,3830.85,762300,3804.39
2016-05-03,3840.8,3879,3795.7,3819.95,795600,3793.57
2016-05-04,3800,3844,3796.05,3811.55,557600,3785.23
2016-05-05,3825,3850,3802,3836.85,485700,3810.35
2016-05-06,3829.95,3835,3802,3818.95,411800,3792.57
2016-05-09,3830,3878,3825,3846.5,771300,3819.93
2016-05-10,3850.5,3897.05,3835.1,3844.8,1094600,3818.25
2016-05-11,3800,3898,3790,3890.05,679700,3863.18
2016-05-12,3884.85,3909.8,3841.5,3854.2,857900,3827.58
2016-05-13,3856,3877.9,3828,3846.25,435000,3819.69
2016-05-16,3870,3895,3840,3881.6,878800,3854.79
2016-05-17,3891.05,3969,3886.25,3950.7,865000,3923.41
2016-05-18,3928.8,3939,3805.05,3914.9,1921000,3887.86
2016-05-19,3900,3940,3881,3926.6,679800,3899.48
2016-05-20,3883.8,3959,3881.1,3944.95,485200,3917.7
2016-05-23,3964,3968.3,3900,3913.85,348300,3886.82
2016-05-24,3913.8,3937.95,3893.15,3924.2,283500,3897.1
2016-05-25,3948,4072,3940,4060.95,842600,4032.9
2016-05-26,4064,4125,4027.2,4118,1074600,4089.56
2016-05-27,4114.7,4162,4091.05,4146.6,880800,4117.96
2016-05-30,4132,4155.2,4054,4071.75,555300,4043.63
2016-05-31,4060,4180,4055.05,4161.6,775400,4132.86
2016-06-01,4170.7,4199.95,4150,4165.35,647000,4136.58
2016-06-02,4150,4194.95,4124,4186.65,411100,4157.73
