"Date","SYNDIBANK.NS.Open","SYNDIBANK.NS.High","SYNDIBANK.NS.Low","SYNDIBANK.NS.Close","SYNDIBANK.NS.Volume","SYNDIBANK.NS.Adjusted"
2016-01-13,78.9,79.8,76.15,78.3,1774100,78.3
2016-01-14,76.2,77.6,75.5,75.95,1204000,75.95
2016-01-15,75.95,76.45,69.5,70.1,2509900,70.1
2016-01-18,70.85,72.9,69.35,70.25,1981000,70.25
2016-01-19,70.95,73.2,70.35,72.4,1835300,72.4
2016-01-20,71.4,71.6,69.55,70.55,1666600,70.55
2016-01-21,72.1,72.25,68.5,70.25,2384800,70.25
2016-01-22,71.4,74.45,71.2,74.05,2054500,74.05
2016-01-25,74.55,75.4,71.7,72.2,1218300,72.2
2016-01-26,72.2,72.2,72.2,72.2,0,72.2
2016-01-27,72.85,75,71.55,74.05,1807400,74.05
2016-01-28,74.5,74.5,69,70.4,8129100,70.4
2016-01-29,69.95,70.35,66.6,67.3,3913400,67.3
2016-02-01,67.7,67.9,63.05,63.55,3833900,63.55
2016-02-02,63.05,65,61.85,62.3,4464300,62.3
2016-02-03,61.2,61.25,58.25,59.15,4477400,59.15
2016-02-04,60,60.9,56.35,57.8,5699400,57.8
2016-02-05,57.8,60.25,57.25,59.85,2499100,59.85
2016-02-08,61,62.1,59.35,59.65,3335100,59.65
2016-02-09,58.85,59.7,58,58.2,2252400,58.2
2016-02-10,57.75,57.9,54.2,54.95,3533900,54.95
2016-02-11,54.95,55.7,52,52.6,3399300,52.6
2016-02-12,53.05,53.4,49.7,52.15,3183700,52.15
2016-02-15,53.4,57.8,52.95,55.45,2927600,55.45
2016-02-16,56.4,56.5,51.35,51.65,3192700,51.65
2016-02-17,50.9,52.6,49.4,52.15,4448400,52.15
2016-02-18,53.05,53.5,50.5,51.75,3044400,51.75
2016-02-19,51.3,53,50.75,52.6,2245200,52.6
2016-02-22,52.8,53,51.75,52.1,1655700,52.1
2016-02-23,52.45,53.7,51.6,53.3,2224000,53.3
2016-02-24,52.15,52.9,51.3,51.6,2738200,51.6
2016-02-25,51.75,52.05,49.8,50,2855400,50
2016-02-26,50.7,51.7,49.85,51.35,2561700,51.35
2016-02-29,51.8,52.95,50,51.1,3285900,51.1
2016-03-01,51.65,53.3,51.35,53,1744500,53
2016-03-02,54.5,57.3,54.5,56.85,3676700,56.85
2016-03-03,57.75,58.3,55.55,57.75,2791800,57.75
2016-03-04,58.3,63.05,57.3,61.85,8246000,61.85
2016-03-07,61.85,61.85,61.85,61.85,0,61.85
2016-03-08,62,64,58.85,60.65,11957300,60.65
2016-03-09,58.5,60.5,57.5,60.25,4481700,60.25
2016-03-10,60.7,61.5,59.8,60.4,2508900,60.4
2016-03-11,59.7,61.25,59.25,60.8,2594200,60.8
2016-03-14,61.5,62.45,60.65,61.65,1928900,61.65
2016-03-15,61.65,62.8,61.45,62.35,1790300,62.35
2016-03-16,62.5,63.3,61.3,62.85,1530300,62.85
