"Date","CUMMINSIND.NS.Open","CUMMINSIND.NS.High","CUMMINSIND.NS.Low","CUMMINSIND.NS.Close","CUMMINSIND.NS.Volume","CUMMINSIND.NS.Adjusted"
2015-12-14,981.55,1029.25,981.55,1023.45,323000,1002.0031
2015-12-15,1032.5,1032.5,999,1015.7,57000,994.4155
2015-12-16,1015.45,1020,1001,1011.2,133500,990.0098
2015-12-17,1012.35,1025,1004.95,1021.35,119500,999.9471
2015-12-18,1015,1047.9,1015,1025.15,395700,1003.6675
2015-12-21,1028,1041,1024.65,1036.6,126300,1014.8775
2015-12-22,1036,1036,1014,1023.5,259000,1002.052
2015-12-23,1028.9,1032.5,1017.1,1024.85,31900,1003.3737
2015-12-24,1026.95,1034.95,1010,1029.85,25000,1008.269
2015-12-25,1029.85,1029.85,1029.85,1029.85,0,1008.269
2015-12-28,1030,1057.45,1003.25,1021.75,103000,1000.3387
2015-12-29,1017.25,1032,1011,1026.15,89800,1004.6465
2015-12-30,1036,1038.65,1012.2,1022.85,52600,1001.4156
2015-12-31,1022,1040,1016,1030.3,27900,1008.7096
2016-01-01,1030,1047,1025,1038.8,34400,1017.0315
2016-01-04,1038.8,1050,1017.15,1023.45,72200,1002.0031
2016-01-05,1045.5,1045.5,1010,1014.55,98400,993.2896
2016-01-06,1012.05,1030,1005,1009.65,62000,988.4923
2016-01-07,1011.5,1055,993,1005.2,124400,984.1355
2016-01-08,1022.85,1022.85,997,1002.85,118400,981.8347
2016-01-11,998,1009.9,977,985.25,115100,964.6036
2016-01-12,988.95,1000,983.6,990,96900,969.2541
2016-01-13,995.05,996,961,973.2,146600,952.8061
2016-01-14,970,994.5,954.95,982.25,94600,961.6665
2016-01-15,982.2,996,961.75,972.2,128300,951.8271
2016-01-18,991.9,994,955,964.3,136600,944.0926
2016-01-19,965,975,945,947.8,93600,927.9384
2016-01-20,945,951,890,912.15,373400,893.0355
2016-01-21,923.5,928,876,899.3,376800,880.4547
2016-01-22,900.05,925.2,891,911.9,446700,892.7907
2016-01-25,915,939,894.7,902.4,399000,883.4898
2016-01-26,902.4,902.4,902.4,902.4,0,883.4898
2016-01-27,900,918.9,896,913.8,164200,894.6508
2016-01-28,914,923,907,918.25,524300,899.0076
2016-01-29,915.05,925.55,900.1,923.6,188400,904.2455
2016-02-01,933,966.9,925.05,944.5,99700,924.7075
2016-02-02,953,954.7,872.4,898.45,730300,879.6225
2016-02-03,888,913.5,884,896.9,120800,878.105
2016-02-04,901,959,890,933.1,112000,913.5464
2016-02-05,937,975,926,967.2,209600,946.9318
2016-02-08,980,980.15,921.1,951.2,288300,931.2671
2016-02-09,949,949,921,927.15,196700,907.7211
2016-02-10,927.25,942,919.5,930.8,120600,911.2946
2016-02-11,930,944.9,900,922,354600,907.5542
2016-02-12,922.5,922.5,863.1,883.1,289100,869.2636
2016-02-15,897.8,918.5,889.15,904.05,55300,889.8854
2016-02-16,900,919.45,880.1,887.2,63100,873.2994
2016-02-17,893,893,857.05,882.55,74800,868.7223
2016-02-18,889,905,877,887.95,110400,874.0377
2016-02-19,885,891.25,862.2,868.25,64400,854.6463
2016-02-22,875,888.4,870.05,879.5,53500,865.7201
2016-02-23,881,886,864.45,879.35,166400,865.5724
2016-02-24,875,875,853,858.9,351200,845.4429
2016-02-25,866,866,832,840.95,125200,827.7741
2016-02-26,858.6,879,816,833.25,274200,820.1947
2016-02-29,833,841,790,809.25,317300,796.5707
2016-03-01,818,848,802.35,825.95,318600,813.0091
2016-03-02,839,849,827.65,837.45,292500,824.3289
2016-03-03,829.1,887.6,829.1,876.6,357400,862.8655
2016-03-04,885,886.95,863,875.5,297600,861.7827
2016-03-07,875.5,875.5,875.5,875.5,0,861.7827
2016-03-08,879,884,862,865.2,106500,851.6441
