"Date","BAJFINANCE.NS.Open","BAJFINANCE.NS.High","BAJFINANCE.NS.Low","BAJFINANCE.NS.Close","BAJFINANCE.NS.Volume","BAJFINANCE.NS.Adjusted"
2016-01-18,1183.04004,1195,1093.65002,1100.64001,1122100,530.65218
2016-01-19,1100.64001,1142,1069.81006,1128.97998,637000,544.31575
2016-01-20,1124,1140,1091.42004,1127.88,980100,543.78542
2016-01-21,1138.01001,1165.01001,1122,1148.41003,709500,553.68357
2016-01-22,1163.40002,1169.80005,1150.68994,1164.13,561300,561.26265
2016-01-25,1164.97998,1190,1164.79004,1171.26001,468100,564.70024
2016-01-26,1171.26001,1171.26001,1171.26001,1171.26001,0,564.70024
2016-01-27,1181.40002,1197.78003,1163.59998,1187.39001,392900,572.47701
2016-01-28,1189.91003,1195.98999,1146,1155.20996,695100,556.96202
2016-01-29,1167.80005,1193.98999,1151.19995,1185.68005,359600,571.65259
2016-02-01,1213.40002,1213.40002,1176.58997,1200.63,329200,578.86041
2016-02-02,1207.40002,1210.02002,1156.20996,1162.28003,783600,560.37072
2016-02-03,1152,1297.97998,1120.19995,1275.94995,5168200,615.17446
2016-02-04,1282.19995,1285.13,1244,1268.78003,1388500,611.71762
2016-02-05,1269.59998,1350,1269.59998,1339.67004,2395600,645.89586
2016-02-08,1339.31995,1367.58997,1312.19995,1332.03003,1035200,642.21238
2016-02-09,1320,1333.15002,1279.19995,1316.81006,921100,634.87437
2016-02-10,1316.81006,1341.51001,1282,1295.71997,791800,624.70619
2016-02-11,1306.93994,1307,1212.19995,1235.83997,1106900,595.83621
2016-02-12,1240.59998,1267.59998,1186,1199.34998,1471600,578.24327
2016-02-15,1229.38,1260,1223.40002,1241.98999,965300,598.80133
2016-02-16,1238.40002,1249.57996,1193.06006,1202.28003,657200,579.65594
2016-02-17,1209.80005,1233,1166.04004,1222.18994,667100,589.25512
2016-02-18,1232,1247,1221,1232.79004,327600,594.36575
2016-02-19,1237.98999,1243,1204,1209.62,472000,583.19476
2016-02-22,1227.79004,1227.79004,1170.23999,1200.48999,527400,578.79291
2016-02-23,1206.30005,1208.98999,1171.59998,1178.96997,435500,568.41745
2016-02-24,1181.38,1181.38,1160,1162.83997,475800,560.64068
2016-02-25,1169.90002,1171,1121.76001,1150.57996,1169800,554.72976
2016-02-26,1169,1172,1147.23999,1161.68994,1091000,560.08622
2016-02-29,1161.68994,1214,1128.79004,1186.41003,640400,572.00453
2016-03-01,1192.04004,1252,1192.04004,1241.77002,867700,598.69527
2016-03-02,1256,1301.80005,1248.68005,1274.18005,1222000,614.32114
2016-03-03,1276.19995,1282,1235.95996,1241.54004,654500,598.58439
2016-03-04,1259.80005,1277.40002,1230.80005,1266.91003,462700,610.81604
2016-03-07,1266.91003,1266.91003,1266.91003,1266.91003,0,610.81604
2016-03-08,1267.95996,1286.54004,1254.81995,1258.60999,529400,606.81433
2016-03-09,1259,1295,1241.10999,1284.76001,628500,619.42206
2016-03-10,1286.04004,1292,1276.23999,1280.97998,404200,617.59959
2016-03-11,1289.95996,1289.95996,1266,1280.07996,431300,617.16566
2016-03-14,1281,1309,1281,1303.34998,457900,628.38485
2016-03-15,1309,1319,1284.19995,1294.82996,519500,624.27709
2016-03-16,1292.96997,1298,1266.40002,1296.46997,583300,642.94346
