"Date","INFRATEL.NS.Open","INFRATEL.NS.High","INFRATEL.NS.Low","INFRATEL.NS.Close","INFRATEL.NS.Volume","INFRATEL.NS.Adjusted"
2016-11-28,355,366.2,355,363.5,841800,350.54
2016-11-29,363.55,373.25,363.5,369.8,1114200,356.62
2016-11-30,371.5,378,360.25,375.45,2388800,362.07
2016-12-01,374.8,394.8,372.6,386.55,3321800,372.77
2016-12-02,385.1,393,381.4,385.9,2368600,372.15
2016-12-05,384.9,396.05,381.75,386.05,1838200,372.29
2016-12-06,386.55,388.95,377,381.7,1076400,368.1
2016-12-07,381.95,384.4,376.95,378.9,2016700,365.4
2016-12-08,380,382.8,369,370.25,1371200,357.05
2016-12-09,372.9,372.9,355.8,358,3412000,345.24
2016-12-12,359.6,362.25,350,351.6,2470600,339.07
2016-12-13,352,357.5,350.9,355.4,1208700,342.73
2016-12-14,356.1,361.9,354.9,356.35,913100,343.65
2016-12-15,356.35,359.15,350.25,351.1,3049400,338.59
2016-12-16,356,357.5,351.75,355.65,3328700,342.97
2016-12-19,357.45,357.45,344.05,344.95,1535500,332.66
2016-12-20,345,349.8,342.15,345.45,2721600,333.14
2016-12-21,347.75,349.5,335,335.95,1882900,323.98
2016-12-22,335.5,340.5,334,337.2,1364800,325.18
2016-12-23,337,339.25,331.9,336.4,941500,324.41
2016-12-26,336.5,339,325.1,326.85,1358300,315.2
2016-12-27,325,333.9,324.25,331.85,463000,320.02
2016-12-28,332,345,332,338.9,1619300,326.82
2016-12-29,338.7,343.8,338.15,341.9,1098600,329.71
2016-12-30,343.1,345.45,336.5,343.45,1445900,331.21
2017-01-02,344.95,346.85,342.05,344.2,569600,331.93
2017-01-03,344.2,345.95,338.15,341.5,1121800,329.33
2017-01-04,342,354,337,352.35,2191300,339.79
2017-01-05,349.2,353.5,343.55,350.1,1530500,337.62
2017-01-06,351.9,357.4,351.05,354.25,792100,341.62
2017-01-09,354.25,355.3,347.75,349.2,210500,336.75
2017-01-10,351,355.4,349.6,353.55,1066400,340.95
2017-01-11,352.7,358,351.45,353.25,1590500,340.66
2017-01-12,357.8,361.05,353.9,358.85,1760200,346.06
2017-01-13,357.05,358.65,351.4,353.8,901800,341.19
2017-01-16,354,358.85,352.55,355.55,368000,342.88
2017-01-17,355.7,358,350.4,353.3,670800,340.71
2017-01-18,352.85,354.5,349.2,350.55,587300,338.06
2017-01-19,350.2,359.9,348.85,358.25,1209100,345.48
2017-01-20,357,357.85,350.45,353.2,766100,340.61
2017-01-23,352.15,352.9,346,346.8,1309500,334.44
2017-01-24,350.95,352.55,344.3,350.65,1219400,338.15
2017-01-25,354.75,354.75,348.45,351.75,1602500,339.21
2017-01-26,351.75,351.75,351.75,351.75,0,339.21
2017-01-27,352.25,356.7,352.25,353.9,570500,341.29
2017-01-30,351.55,356,327,328.7,3144900,316.99
2017-01-31,333,333,282.7,293.8,17048100,283.33
2017-02-01,293,303.4,289.6,294.35,7891900,283.86
2017-02-02,294.4,296,286.6,292.5,7705000,282.08
2017-02-03,294.2,303.95,294.2,299.85,7370100,289.16
2017-02-06,303,308.35,300.65,304.55,3337300,293.7
