"Date","PFC.NS.Open","PFC.NS.High","PFC.NS.Low","PFC.NS.Close","PFC.NS.Volume","PFC.NS.Adjusted"
2016-02-16,150.85,154.45,143.1,143.9,5266800,69.123
2016-02-17,142.1,151.9,140.25,151.15,9693200,72.606
2016-02-18,152.65,155.4,143.1,146.3,8339300,70.276
2016-02-19,145.55,153.9,144.1,153.05,5932800,73.519
2016-02-22,153.05,154.3,148.5,150.55,2971200,72.318
2016-02-23,150.9,153.65,149.1,151.45,6578600,72.75
2016-02-24,150.5,152.8,148.35,150.55,3954700,72.318
2016-02-25,151.3,157.8,150.45,156.7,10594000,75.272
2016-02-26,158.8,159,152.5,155.6,4742400,74.743
2016-02-29,156.2,158.2,151.1,154.25,4588100,74.095
2016-03-01,154.8,157.7,152.85,156.45,4231400,75.152
2016-03-02,159.5,166,158.6,163.1,3426100,78.346
2016-03-03,164.6,166.9,160.2,162.55,2288200,78.082
2016-03-04,162.7,171.6,161.6,168.05,4735500,80.724
2016-03-07,168.05,168.05,168.05,168.05,0,80.724
2016-03-08,168,169.3,162.5,164.5,2617500,79.019
2016-03-09,164,170.8,162.45,169.6,3032500,81.468
2016-03-10,171.1,172.9,165.35,167.2,2704200,80.316
2016-03-11,168.85,170,164.3,167.05,2802900,80.244
2016-03-14,169.7,172.3,168,171.1,2857200,82.189
2016-03-15,171.9,174.55,168.25,169.05,4853300,81.204
2016-03-16,169.15,171.2,164,167.7,3224500,80.556
2016-03-17,169.8,172.15,167.15,169.85,4682600,81.589
2016-03-18,171.25,171.4,167.6,169.7,2897800,81.516
2016-03-21,170.9,174.35,169.95,173.75,3127800,83.462
2016-03-22,172.1,174.25,169.65,171.15,2566200,82.213
2016-03-23,171.3,173.95,170.7,172.25,2169500,82.741
2016-03-24,172.25,172.25,172.25,172.25,0,82.741
2016-03-25,172.25,172.25,172.25,172.25,0,82.741
2016-03-28,173.9,173.9,167.7,168.3,2178700,80.844
2016-03-29,167.5,168.9,165.05,165.7,2409200,79.595
2016-03-30,168,172.5,167.35,171.9,2640800,82.573
2016-03-31,171.7,173.35,168.25,171.35,4933400,82.309
2016-04-01,171,171,166.1,168.5,3366600,80.94
2016-04-04,170.9,170.9,165.65,168.05,2717200,80.724
2016-04-05,167,169.75,164,165.65,2423200,79.571
2016-04-06,165.6,170,164.7,167.65,2689900,80.532
2016-04-07,167.35,171.25,166,169.25,3093400,81.3
2016-04-08,169.6,170.5,167.4,168.05,1377800,80.724
2016-04-11,169,169.4,166.15,168.4,1894900,80.892
2016-04-12,169,170.4,166.8,167.3,2947800,80.364
2016-04-13,169,173.1,168.6,171.6,3863200,82.429
2016-04-14,171.6,171.6,171.6,171.6,0,82.429
2016-04-15,171.6,171.6,171.6,171.6,0,82.429
2016-04-18,172,172.5,167.5,168.3,1979200,80.844
2016-04-19,168.3,168.3,168.3,168.3,0,80.844
2016-04-20,169.5,169.6,166.6,167.7,2752900,80.556
2016-04-21,168.75,178.6,168.45,175.2,8945800,84.158
2016-04-22,175.25,178.9,173.8,176.15,7045800,84.615
2016-04-25,176.5,177.8,173,173.5,2620300,83.342
2016-04-26,173.7,182.7,171.25,182,8089600,87.425
2016-04-27,182.5,183.8,178.35,179.3,5165300,86.128
2016-04-28,180.3,183,177.9,181,4822500,86.945
2016-04-29,182,182.8,175,179.35,3894400,86.152
2016-05-02,176.4,181.4,176.4,178,1615300,85.503
2016-05-03,179.25,180.9,173.6,175.5,2896200,84.303
2016-05-04,175,177.5,172.25,172.95,3083500,83.078
2016-05-05,174,174.45,167.4,168.5,4197200,80.94
2016-05-06,169,169,165.1,165.85,2034100,79.667
2016-05-09,166.85,172.25,166.1,171.45,2883500,82.357
2016-05-10,171.5,172.45,168.8,169.45,2082400,81.396
2016-05-11,166.9,168.8,163,163.35,6081400,78.466
2016-05-12,164.3,165.8,162.2,164.75,3189600,79.139
2016-05-13,165.5,175.55,164.9,174.5,8484100,83.822
2016-05-16,175.4,176.25,170.55,173.85,4995600,83.51
2016-05-17,174.4,174.75,170.05,170.4,2925000,81.853
2016-05-18,170,176,168.2,174.95,2558900,84.038
2016-05-19,176,176.05,168.4,169.2,2399400,81.276
2016-05-20,170,171.15,167.1,167.9,2211800,80.652
2016-05-23,169.5,170.85,166.8,167.75,1880500,80.58
2016-05-24,168.8,171.6,167.65,170.3,3942000,81.805
2016-05-25,171.5,172,165.2,169.05,6454000,81.204
2016-05-26,168,168.7,164.75,167.35,4088200,80.388
2016-05-27,167.5,170,165.2,166.3,2979200,79.883
2016-05-30,166.55,170.9,165.8,168.75,3570800,81.06
2016-05-31,168.75,169.35,162.9,163.7,10429700,78.634
2016-06-01,164.4,167.1,163.8,164.4,4818100,78.971
2016-06-02,164.5,166.75,162.7,166.1,3743300,79.787
2016-06-03,166.7,168.9,164.65,165.9,3493900,79.691
2016-06-06,166,166.3,163.9,164.35,1997600,78.947
2016-06-07,165,165.65,163.55,164.3,2223100,78.923
2016-06-08,164.65,165,163.8,164.3,2033400,78.923
2016-06-09,164.9,167,163.2,164.6,3514200,79.067
2016-06-10,165.1,166.2,163,163.6,2017400,78.586
2016-06-13,161.4,162.8,159,160.1,2759800,76.905
2016-06-14,160.1,162.5,160.1,161.9,2417000,77.77
2016-06-15,162.7,164.3,161.25,163.5,2715000,78.538
2016-06-16,163,163.9,160.05,162.75,3479500,78.178
2016-06-17,163.9,164.2,162.35,163.25,2997900,78.418
2016-06-20,163.2,165.45,161.25,164.65,2887300,79.091
2016-06-21,165.4,169.2,164.65,167,4682000,80.22
2016-06-22,167.8,170,165.6,166.35,4619900,79.907
2016-06-23,166.95,167.25,164.85,166.8,1748300,80.123
2016-06-24,163,163.25,156.5,162.4,3478900,78.01
2016-06-27,162.4,164,161.55,162.4,3288600,78.01
2016-06-28,162.25,164.55,161.85,163.65,3568900,78.61
2016-06-29,164.1,167.25,164.1,166.45,2412200,79.955
2016-06-30,167,171.65,167,169.4,19896300,81.372
2016-07-01,172,178.1,171.5,177.35,6222700,85.191
2016-07-04,180,185.75,178.7,183.25,5448000,88.025
2016-07-05,182.85,188.8,181.85,187.3,6318100,89.971
