"Date","ICICIBANK.NS.Open","ICICIBANK.NS.High","ICICIBANK.NS.Low","ICICIBANK.NS.Close","ICICIBANK.NS.Volume","ICICIBANK.NS.Adjusted"
2015-08-25,276.55,284.4,267.15,283.5,24139600,277.78
2015-08-26,279.95,282.25,275.7,278.05,14718000,272.44
2015-08-27,282.75,284.5,280.2,282.45,25349800,276.75
2015-08-28,285.05,289.3,281.65,283.7,13059700,277.98
2015-08-31,282.9,284.35,276.35,277.9,13709000,272.3
2015-09-01,275,278.45,268.3,270.95,15765800,265.49
2015-09-02,276,276.75,263.1,264.85,17114400,259.51
2015-09-03,268.65,269.8,261.7,266.85,15008300,261.47
2015-09-04,264.9,265.1,254.65,257.75,19641600,252.55
2015-09-07,260.05,261.25,247.7,249.1,19726100,244.08
2015-09-08,251.8,262.3,249.2,260.8,16636600,255.54
2015-09-09,267.95,269,262.65,264.55,22253300,259.22
2015-09-10,260,270,256.25,267.4,12471100,262.01
2015-09-11,267.35,269.9,264.4,267.55,13520700,262.15
2015-09-14,266.25,273.3,263.1,272.4,12091300,266.91
2015-09-15,273,273,266.8,268.5,13477900,263.09
2015-09-16,272.5,273.95,269.05,272.85,12160900,267.35
2015-09-17,272.85,272.85,272.85,272.85,0,267.35
2015-09-18,278.25,285.35,274.8,277.85,19351200,272.25
2015-09-21,271.9,280.35,271,279.3,10463700,273.67
2015-09-22,278,280.35,269.1,270.55,13401100,265.09
2015-09-23,266.95,275,264.15,273.35,11353700,267.84
2015-09-24,271.4,273.6,267,268.3,9597400,262.89
2015-09-25,268.3,268.3,268.3,268.3,0,262.89
2015-09-28,272,272.7,266.45,268.1,7783600,262.69
2015-09-29,263.7,272.65,256.35,269,26741400,263.58
2015-09-30,271.3,272.3,265.7,270.35,12455000,264.9
2015-10-01,273.45,273.45,266.05,267.1,6979800,261.71
2015-10-02,267.1,267.1,267.1,267.1,0,261.71
2015-10-05,272.4,282,272.4,280.95,12506100,275.28
2015-10-06,284,284.85,280,282.75,9542900,277.05
2015-10-07,280.9,283.8,277.2,283,7059700,277.29
2015-10-08,282.4,282.4,277.15,278.45,6045000,272.83
2015-10-09,281.5,287.9,280.55,286.1,10093200,280.33
2015-10-12,287.7,291.5,285.25,287.6,7174700,281.8
2015-10-13,285.9,289.7,284.5,287.45,5547300,281.65
2015-10-14,283.45,285.2,281.95,282.9,4841200,277.2
2015-10-15,284,287,283.65,286.35,6144800,280.58
2015-10-16,286.5,292.7,282.55,289.45,8082300,283.61
2015-10-19,289.4,289.9,285.6,287.2,5279000,281.41
2015-10-20,286.5,289.5,284.3,286.2,7918400,280.43
2015-10-21,285.55,287.85,278.8,282.7,5105600,277
2015-10-22,282.7,282.7,282.7,282.7,0,277
2015-10-23,285.95,289,284.65,286.25,7462000,280.48
2015-10-26,287.75,289.75,283.75,285.35,5532300,279.6
2015-10-27,284,285.9,282.1,283.7,5536600,277.98
2015-10-28,280,280.7,269.1,271.2,14093800,265.73
2015-10-29,272.3,274.3,270.35,271.45,8213800,265.98
2015-10-30,272.25,279.65,270.5,277,25112200,271.41
2015-11-02,277,281.3,275.7,279.55,10362200,273.91
2015-11-03,280.4,282.7,278.2,279.45,8254300,273.81
2015-11-04,280.95,280.95,272.5,273.35,6718100,267.84
2015-11-05,272,273.5,268.75,270.05,10384000,264.6
2015-11-06,269.9,269.9,264.75,267.1,11019500,261.71
2015-11-09,259.3,265,256,263.15,12225600,257.84
2015-11-10,261.5,266.4,260.45,262.8,7866000,257.5
2015-11-11,262.8,262.8,262.8,262.8,0,257.5
2015-11-12,262.8,262.8,262.8,262.8,0,257.5
2015-11-13,260.35,263,259,261.75,9237100,256.47
2015-11-16,261,268.35,259.6,267.25,8174800,261.86
2015-11-17,271.7,272.35,265.05,267.85,16327000,262.45
