"Date","AJANTPHARM.NS.Open","AJANTPHARM.NS.High","AJANTPHARM.NS.Low","AJANTPHARM.NS.Close","AJANTPHARM.NS.Volume","AJANTPHARM.NS.Adjusted"
2016-01-15,1227.09998,1237.34998,1158.55005,1169.84998,253700,1154.943
2016-01-18,1151,1203.34998,1101.05005,1162.55005,236900,1147.73609
2016-01-19,1167,1181.19995,1128.25,1170.94995,172800,1156.02896
2016-01-20,1150,1177,1141.05005,1159.75,225200,1144.97172
2016-01-21,1155,1187.94995,1143.34998,1160.40002,123100,1145.61347
2016-01-22,1165.09998,1202.94995,1165.05005,1195.84998,152900,1180.61169
2016-01-25,1211.90002,1224.44995,1208.69995,1217.80005,118400,1202.28206
2016-01-26,1217.80005,1217.80005,1217.80005,1217.80005,0,1202.28206
2016-01-27,1227,1244.55005,1210.59998,1219.84998,129400,1204.30587
2016-01-28,1223,1248,1215.15002,1240,133500,1224.19913
2016-01-29,1244.80005,1280,1244.75,1273.94995,159400,1257.71647
2016-02-01,1285.5,1318.59998,1265.09998,1300.5,342600,1283.9282
2016-02-02,1301.94995,1320,1281.09998,1300.69995,242600,1284.1256
2016-02-03,1294.75,1299.80005,1279.25,1291.19995,107700,1274.74666
2016-02-04,1300,1315,1275,1292,281500,1275.53651
2016-02-05,1296.5,1324,1275,1306.59998,89200,1289.95044
2016-02-08,1310.05005,1337,1290.69995,1300.05005,148900,1283.48398
2016-02-09,1281,1317.80005,1271.40002,1297.94995,99200,1281.41064
2016-02-10,1294.80005,1324.84998,1272.59998,1302.90002,187200,1286.29764
2016-02-11,1301.80005,1317.90002,1266.30005,1302.69995,192500,1286.10012
2016-02-12,1315,1319.94995,1266,1311.65002,240900,1294.93614
2016-02-15,1325,1348,1276.75,1281.34998,223000,1265.0222
2016-02-16,1275.09998,1285.05005,1218.09998,1234.05005,354400,1218.325
2016-02-17,1222.05005,1240.94995,1203.80005,1237.05005,279700,1221.28677
2016-02-18,1252.05005,1288.05005,1240.15002,1278.65002,181600,1262.35665
2016-02-19,1270.34998,1300,1267.59998,1293.59998,99800,1277.1161
2016-02-22,1285.55005,1300,1277,1295.30005,80400,1278.79451
2016-02-23,1300,1308,1278.19995,1293.69995,108200,1277.2148
2016-02-24,1296,1354.40002,1290.15002,1337.55005,302000,1320.50613
2016-02-25,1347.90002,1379.94995,1290.09998,1300.15002,447000,1283.58268
2016-02-26,1305.90002,1320,1271.15002,1287.09998,135900,1270.69893
2016-02-29,1287,1312,1274.94995,1302.05005,89100,1285.4585
2016-03-01,1290,1329.90002,1290,1323.65002,86600,1306.78323
2016-03-02,1330,1372.94995,1325,1353.30005,193400,1336.05544
2016-03-03,1355,1376,1348,1360.25,85700,1342.91683
2016-03-04,1361.90002,1416,1361.84998,1396.69995,243600,1378.90231
2016-03-07,1396.69995,1396.69995,1396.69995,1396.69995,0,1378.90231
2016-03-08,1417,1450,1402,1421.5,190700,1403.38634
2016-03-09,1421,1432.30005,1396.5,1425.80005,93800,1407.63159
2016-03-10,1425,1450,1417.5,1442.09998,141800,1423.72382
2016-03-11,1442.5,1460,1425,1432.09998,106900,1413.85124
2016-03-14,1445,1449.75,1410.80005,1415.80005,103300,1397.75902
2016-03-15,1410.80005,1431.5,1390.15002,1406.15002,96900,1388.23196
