"Date","BEL.NS.Open","BEL.NS.High","BEL.NS.Low","BEL.NS.Close","BEL.NS.Volume","BEL.NS.Adjusted"
2015-09-10,11016.7004,11583.2996,10916.7004,11339.7998,1138800,372.0937
2015-09-11,11550,11693.1995,11083.2996,11143.8,1647700,365.6624
2015-09-14,11500,11500,10780,10945.9998,430700,1077.5158
2015-09-15,10950,11149.4995,10686.9995,10875.9998,341600,1070.625
2015-09-16,10988.4998,11240,10721.9995,10765.9998,308200,1059.7967
2015-09-17,10765.9998,10765.9998,10765.9998,10765.9998,0,1059.7967
2015-09-18,10985,11149.0002,10796.9995,10877.5,402700,1070.7727
2015-09-21,10950,11160,10900.5005,11020.5005,272700,1084.8496
2015-09-22,11110,11134.4995,10870,10943.0005,275100,1077.2205
2015-09-23,10890,11550,10830,11425.5005,689900,1124.7175
2015-09-24,11599.0002,11900,11326.5002,11718.0005,1373500,1153.5109
2015-09-25,11718.0005,11718.0005,11718.0005,11718.0005,0,1153.5109
2015-09-28,11820,12065,11722.5,11831.5002,352200,1164.6838
2015-09-29,11690,11810,11417.5,11480.9998,274500,1130.1808
2015-09-30,11600,11649.4995,11250,11354.4995,230700,1117.7282
2015-10-01,11400,11546.9995,11309.4995,11440.5005,223700,1126.194
2015-10-02,11440.5005,11440.5005,11440.5005,11440.5005,0,1126.194
2015-10-05,11559.0002,11899.0002,11559.0002,11838.0005,294800,1165.3236
2015-10-06,12100,12266.5002,11728.0005,11885.5005,562800,1169.9995
2015-10-07,11880,12150,11711.5002,12036.5002,319100,1184.8638
2015-10-08,12046.9995,12100,11900,12033.0005,154300,1184.5193
2015-10-09,12070,12239.4995,12030,12075.5005,237700,1188.703
2015-10-12,12130,12180,12000,12068.4998,126400,1188.0138
2015-10-13,12000.9998,12079.4995,11805.9998,11880.5005,140900,1169.5073
2015-10-14,11845,11985.5005,11781.9995,11863.0005,102600,1167.7846
2015-10-15,11969.0002,11969.0002,11771.5002,11830.5005,84700,1164.5853
2015-10-16,11900,11980.5005,11672.5,11915,189200,1172.9034
2015-10-19,11969.0002,12035,11850,11885.9998,73900,1170.0486
2015-10-20,11978.0005,12550,11880,12466.5002,478400,1227.1927
2015-10-21,12560,12589.0002,12000,12301.9995,331500,1210.9993
2015-10-22,12301.9995,12301.9995,12301.9995,12301.9995,0,1210.9993
2015-10-23,12390,12428.0005,12060.5005,12158.0005,138800,1196.8242
2015-10-26,12240,12240,11950,12010.5005,264400,1182.3044
2015-10-27,11963.0005,12280,11960,12163.0005,230200,1197.3164
2015-10-28,12165,12288.0005,12000,12120,256500,1193.0834
2015-10-29,12115.5005,12400,12060,12182.5,955000,1199.2359
2015-10-30,12550,12688.0005,12350,12438.0005,718800,1224.3872
2015-11-02,12440,12518.4998,12225,12310,99700,1211.7869
2015-11-03,12410,12650,12050,12579.4995,356200,1238.3162
2015-11-04,12650,12800,12433.4998,12560.9998,214500,1236.4951
2015-11-05,12499.4995,12553.0005,12350,12403.0005,100100,1220.9418
2015-11-06,12416.5002,12620,12360,12445.5005,259400,1225.1255
2015-11-09,12285.5005,13000,12150,12905,357900,1270.3582
2015-11-10,12930,12930,12400,12494.0002,181600,1229.8997
2015-11-11,12494.0002,12494.0002,12494.0002,12494.0002,0,1229.8997
2015-11-12,12494.0002,12494.0002,12494.0002,12494.0002,0,1229.8997
2015-11-13,12650,12650,12235.9998,12357.5,114100,1216.4628
2015-11-16,12350,12636.9995,12251.5002,12484.0002,121300,1228.9154
2015-11-17,12503.4998,12690,12483.0005,12540.9998,150300,1234.5263
2015-11-18,12550,12579.4995,12252.5,12305.5005,129500,1211.344
2015-11-19,12361.5002,12525,12305.5005,12479.0002,80700,1228.4232
2015-11-20,12500,12670,12388.0005,12528.4998,268700,1233.2959
2015-11-23,12620,12641.9995,12426.5002,12509.0002,125700,1231.3763
2015-11-24,12560,12730,12480,12550.9998,205500,1235.5107
2015-11-25,12550.9998,12550.9998,12550.9998,12550.9998,0,1235.5107
2015-11-26,12550.9998,12913.4998,12480,12793.4998,464400,1259.3822
2015-11-27,12807.5,12970,12690.5005,12749.0002,119300,1255.0017
2015-11-30,12620,12749.4995,12481.5002,12538.4998,219200,1234.2802
2015-12-01,12552.5,12659.0002,12350,12379.4995,134400,1218.6284
2015-12-02,12449.4995,12449.4995,12120,12184.4995,185500,1199.4327
2015-12-03,12100,12401.5002,12090.5005,12234.0002,172600,1204.3055
2015-12-04,12130,12390,12105,12259.0002,118900,1206.7665
2015-12-07,12394.0002,12394.0002,12130,12238.0005,114700,1204.6993
