"Date","TECHM.NS.Open","TECHM.NS.High","TECHM.NS.Low","TECHM.NS.Close","TECHM.NS.Volume","TECHM.NS.Adjusted"
2016-04-07,454.8,459,442.9,444.45,1891400,439.1616
2016-04-08,444.4,457.8,444,455.85,2043700,450.4259
2016-04-11,455.85,471.4,451,469.6,1008800,464.0123
2016-04-12,469.75,472.7,460.1,464.45,1901100,458.9236
2016-04-13,469.5,472.6,465.9,471.4,1062000,465.7909
2016-04-14,471.4,471.4,471.4,471.4,0,465.7909
2016-04-15,471.4,471.4,471.4,471.4,0,465.7909
2016-04-18,475,482,472.25,476.7,1780700,471.0278
2016-04-19,476.7,476.7,476.7,476.7,0,471.0278
2016-04-20,480,488.5,476,483.55,1450700,477.7963
2016-04-21,484,486.5,474.1,476.35,1179300,470.682
2016-04-22,477.05,487.75,474.6,479.9,2058300,474.1897
2016-04-25,481.8,484.7,469.1,472,784200,466.3837
2016-04-26,472.2,477,465.7,475.5,1123000,469.8421
2016-04-27,477,484.1,473.4,479.25,955100,473.5475
2016-04-28,480,483.8,468.2,480.15,4152800,474.4367
2016-04-29,477,489,476,486.15,2295700,480.3654
2016-05-02,485,485,475.6,477.2,1076000,471.5219
2016-05-03,477.2,483.4,465,467.2,1721600,461.6409
2016-05-04,464,471.1,459.7,466.95,1379300,461.3938
2016-05-05,466.8,482,465,479.35,1484500,473.6463
2016-05-06,475.2,479,470.4,473.05,948700,467.4212
2016-05-09,475.1,480.65,474,478.6,827600,472.9052
2016-05-10,479.45,485.6,475.65,482.7,2296900,476.9564
2016-05-11,477.9,483.6,471.5,473.9,1749700,468.2611
2016-05-12,471.5,484.4,471.5,481.2,1123100,475.4743
2016-05-13,482,483.5,476.2,479.8,1078900,474.0909
2016-05-16,479,494.9,477.85,486.95,1732700,481.1559
2016-05-17,489,493.9,481.8,483.8,868800,478.0433
2016-05-18,481.05,486.25,480,484.75,1371600,478.982
2016-05-19,484.2,487.5,481.15,484,1292300,478.2409
2016-05-20,482.3,489.45,474.85,475.85,741200,470.1879
2016-05-23,478.1,481,472.8,476.45,1069500,470.7808
2016-05-24,476,485.7,464.6,480.25,2610000,474.5356
2016-05-25,499.1,532,494.5,528.5,10804700,522.2114
2016-05-26,530,547,520.25,542.3,3270800,535.8472
2016-05-27,539,541,533.6,535.9,1572500,529.5234
2016-05-30,535.8,564,535,543.55,2901800,537.0824
2016-05-31,544.1,548,536.65,540.35,2896900,533.9204
2016-06-01,541,543.2,537.3,540,1093700,533.5746
2016-06-02,537,552.5,537,546.15,1862100,539.6515
2016-06-03,551.45,557.55,546.15,551.7,1706000,545.1354
2016-06-06,550.8,551.9,534.25,539.6,1614000,533.1793
2016-06-07,544.9,544.9,533.45,536.3,1763500,529.9186
2016-06-08,540,540,533,535.65,739300,529.2764
2016-06-09,537.9,537.9,528.3,534.45,1085100,528.0907
2016-06-10,535.7,540.45,530.75,537.55,565200,531.1537
2016-06-13,534.2,536.4,528.55,534.1,852400,527.7448
2016-06-14,531.05,537.4,528.5,533.3,736800,526.9543
2016-06-15,535,542,530,540.9,648900,534.4639
2016-06-16,537.05,543.35,530.5,533.1,1181300,526.7567
2016-06-17,533.1,542,532.3,535.25,946000,528.8811
2016-06-20,534,548.85,532.1,544.3,1592700,537.8234
2016-06-21,543.9,544.3,533,535,1344300,528.6341
2016-06-22,540.8,542,530.55,532.75,1211900,526.4109
2016-06-23,533.1,535,526.65,531.35,1027500,525.0275
2016-06-24,513,516.95,493.55,507.05,3567400,501.0167
2016-06-27,499,509,499,504.65,1135600,498.6452
2016-06-28,505,512.6,500.1,501,1518600,495.0387
2016-06-29,504.5,507.25,499.3,504.95,1209500,498.9417
2016-06-30,509.1,509.7,502.35,505.75,2334200,499.7321
2016-07-01,508.2,516.55,506.3,511.4,715300,505.3149
2016-07-04,511,524,510.55,519.1,1250100,512.9233
2016-07-05,516.8,519,513.05,515.25,456200,509.1191
2016-07-06,515.25,515.25,515.25,515.25,0,509.1191
2016-07-07,512.8,515,503.5,504.55,1036000,498.5464
2016-07-08,501,507.45,499,502.95,733300,496.9655
2016-07-11,505.95,512.4,504.45,508.4,729300,502.3506
2016-07-12,509.15,511.9,505,507.2,931800,501.1649
2016-07-13,509,511.5,504.95,506.55,1194100,500.5226
2016-07-14,506.95,519.5,506.5,518.15,753800,511.9846
2016-07-15,520.7,523.8,501.9,504.05,2417300,498.0524
2016-07-18,505.1,509.9,503,506.6,1132600,500.572
2016-07-19,506.8,511.9,504.05,507.6,1013500,501.5601
2016-07-20,504.25,509.6,504.1,505.35,1424300,499.3369
2016-07-21,506,508.5,503.2,505.3,528900,499.2875
2016-07-22,507,508.5,504.4,504.9,1008600,498.8923
2016-07-25,505,511.4,502.8,508.4,1028500,502.3506
2016-07-26,508,512.75,500,502.5,3069700,496.5208
2016-07-27,502.1,506.45,501.1,504.25,744900,498.25
2016-07-28,498,499,482.1,485.55,1867900,485.55
2016-07-29,488.95,490.9,482.55,487.95,1134800,487.95
2016-08-01,485.2,493,476.1,490.15,2125900,490.15
2016-08-02,486,509.7,485.1,499.2,4792300,499.2
2016-08-03,501.2,503.95,493.1,496.9,1196900,496.9
2016-08-04,498.9,503.9,494.2,499.95,793000,499.95
2016-08-05,502,507.5,493.3,495.05,1681600,495.05
2016-08-08,496,504.5,496,503.65,913000,503.65
2016-08-09,505,505.8,495.55,502.5,1299400,502.5
2016-08-10,504,504,491.5,497.2,1326500,497.2
2016-08-11,501,501.9,495.3,500.1,1681900,500.1
2016-08-12,504,504,488.4,493.35,3618900,493.35
2016-08-15,493.35,493.35,493.35,493.35,0,493.35
2016-08-16,490.55,491.75,478.25,482.95,2087300,482.95
2016-08-17,483.1,487,472.2,474.65,913400,474.65
2016-08-18,477.65,478.7,468.25,469.5,1005400,469.5
2016-08-19,470,477.2,470,473.2,3664500,473.2
2016-08-22,472,474.3,465,466.35,1107400,466.35
2016-08-23,466.7,474.5,461.5,465.8,1617500,465.8
2016-08-24,467,471.7,463.5,467.05,894100,467.05
2016-08-25,470.2,470.95,455.9,458.1,1769800,458.1
2016-08-26,460,463.7,457,459.95,857100,459.95
2016-08-29,462.7,462.7,448.55,449.55,797900,449.55
2016-08-30,451.5,464.7,451.2,462.95,981700,462.95
2016-08-31,462,473.8,461.55,468.8,1779000,468.8
2016-09-01,470,476.4,466.3,469.15,1046700,469.15
2016-09-02,469.95,474.2,465.95,471.85,1070100,471.85
2016-09-05,471.85,471.85,471.85,471.85,0,471.85
2016-09-06,470,481.25,467.4,480.05,1553900,480.05
2016-09-07,481.2,483.5,470.15,471.85,1254900,471.85
2016-09-08,465,466.95,455,459.05,3145600,459.05
2016-09-09,458,465.45,451.3,458.3,1469700,458.3
2016-09-12,454,466.4,453,463.85,1746100,463.85
