"Date","MUTHOOTFIN.NS.Open","MUTHOOTFIN.NS.High","MUTHOOTFIN.NS.Low","MUTHOOTFIN.NS.Close","MUTHOOTFIN.NS.Volume","MUTHOOTFIN.NS.Adjusted"
2016-07-22,275.5,282.8,267.35,277.55,375000,273.15
2016-07-25,277.25,280.5,275,279.1,392600,274.67
2016-07-26,279,302.4,278.45,285.9,2251300,281.36
2016-07-27,287.35,313.5,287.05,308.8,1615000,303.9
2016-07-28,313,323,310,319.1,1841800,314.04
2016-07-29,329.1,340,326.35,331.75,2801200,326.49
2016-08-01,332.1,398.1,332.1,355.45,6637700,349.81
2016-08-02,362,390,358.35,362.35,5032300,356.6
2016-08-03,367.9,374.4,344.25,347.95,1820500,342.43
2016-08-04,355.05,366.7,345.5,360.15,1250200,354.44
2016-08-05,364.3,368,344,352.65,2831900,347.06
2016-08-08,346.1,406.8,342,399.8,5461500,393.46
2016-08-09,402,402.5,376.5,379.75,2173800,373.73
2016-08-10,383.4,402,382.05,391.45,3288200,385.24
2016-08-11,388.8,388.8,363.5,368.35,1156500,362.51
2016-08-12,370,377.95,358.6,369.05,961000,363.2
2016-08-15,369.05,369.05,369.05,369.05,0,363.2
2016-08-16,370,372,360.25,365.5,810400,359.7
2016-08-17,365.55,367.35,357.1,358.35,502300,352.67
2016-08-18,361.7,363,350.1,359.35,886500,353.65
2016-08-19,361.5,361.5,347,349.9,813400,344.35
2016-08-22,352.2,353,338.25,342.2,851600,336.77
2016-08-23,343.55,344.8,333.15,334.35,748600,329.05
2016-08-24,334.5,341.25,333,336.6,787200,331.26
2016-08-25,338,338.6,323.5,325.8,990100,320.63
2016-08-26,328.95,342.5,326,335.55,2293600,330.23
2016-08-29,334,340.75,331.2,339.45,1152700,334.07
2016-08-30,341.75,356.4,340.9,354.2,1182000,348.58
2016-08-31,357.75,383.3,357.2,375.75,2225300,369.79
2016-09-01,376.8,376.8,359.25,363.4,777700,357.64
2016-09-02,361,366.15,358.35,360.05,560200,354.34
2016-09-05,360.05,360.05,360.05,360.05,0,354.34
2016-09-06,362.6,367.25,356.3,358.2,700700,352.52
2016-09-07,360,370.9,359.35,368.2,1165200,362.36
2016-09-08,371,379.8,366.3,374.75,1111500,368.81
2016-09-09,377,377.2,363.4,366.4,644600,360.59
2016-09-12,358,358.5,346.6,349,425100,343.46
2016-09-13,349,349,349,349,0,343.46
2016-09-14,349,349,330.2,335.8,1077500,330.47
2016-09-15,335,351.5,335,344.85,569700,339.38
2016-09-16,350,354.9,338.5,342.8,826800,337.36
2016-09-19,343.1,352,343.1,349.5,600900,343.96
2016-09-20,350,357.8,349.95,354.1,380000,348.48
2016-09-21,359.95,368,356.3,363.35,838100,357.59
2016-09-22,366.2,388.9,365,385.4,1224800,379.29
2016-09-23,386,387,369,375,1433900,369.05
2016-09-26,372.25,372.25,363.85,368.2,408200,362.36
2016-09-27,374,379.85,370.1,373.3,760800,367.38
2016-09-28,374,376.65,362,364.3,415500,358.52
2016-09-29,366.35,369.85,337.15,341.85,700800,336.43
2016-09-30,334.15,356.45,334.15,348.8,535100,343.27
2016-10-03,354.7,356,348,351.1,914600,345.53
2016-10-04,352,354,345.1,349.55,355600,344.01
2016-10-05,350,352.75,344.2,345.7,291600,340.22
2016-10-06,348,348,339,341.25,274900,335.84
2016-10-07,344.7,344.7,336.35,338.85,192100,333.47
2016-10-10,339.4,346.45,334.15,343.7,371800,338.25
2016-10-11,343.7,343.7,343.7,343.7,0,338.25
2016-10-12,343.7,343.7,343.7,343.7,0,338.25
