"Date","ICIL.NS.Open","ICIL.NS.High","ICIL.NS.Low","ICIL.NS.Close","ICIL.NS.Volume","ICIL.NS.Adjusted"
2015-12-17,1012.9,1105,1001.05,1096.7,1074800,217.66
2015-12-18,1109,1110,1077.65,1087.6,344300,215.85
2015-12-21,1097.7,1101.05,1089.95,1096.75,179700,217.67
2015-12-22,1097.15,1107.7,1045.1,1053.85,180300,209.15
2015-12-23,1058,1072.8,1012.25,1056.3,301800,209.64
2015-12-24,1063.05,1090,1048,1058.75,99800,210.12
2015-12-25,1058.75,1058.75,1058.75,1058.75,0,210.12
2015-12-28,1063,1079.9,1051,1058.1,99900,209.99
2015-12-29,1065.6,1089,1051,1063.3,128400,211.03
2015-12-30,1064.05,1071,1052.2,1060.35,76200,210.44
2015-12-31,1068.85,1109,1055.5,1100.6,334600,218.43
2016-01-01,1102.25,1138.5,1102.25,1108.6,151400,220.02
2016-01-04,1105,1105,1052.25,1071.25,116700,212.6
2016-01-05,1072,1132,1060,1067.7,95800,211.9
2016-01-06,1060.5,1110,1060,1096.7,292900,217.66
2016-01-07,1045,1089.6,1045,1068.55,436900,212.07
2016-01-08,1089,1108,1066.9,1092.6,219600,216.84
2016-01-11,1089.85,1100,1070,1086.95,80300,215.72
2016-01-12,1099.45,1125,1080.4,1113.8,202900,221.05
2016-01-13,1115,1155,1064,1111.35,1120100,220.56
2016-01-14,1075.1,1110,1070.05,1100.6,407200,218.43
2016-01-15,1100,1120.55,1092,1099.7,347300,218.25
2016-01-18,1075,1089.9,1025,1051.9,1143300,208.76
2016-01-19,1055,1075,1026.1,1069.65,512900,212.29
2016-01-20,1064,1089.9,997.55,1010.3,446300,200.51
2016-01-21,997,1027.4,997,1019.6,402800,202.35
2016-01-22,1030,1060,1023.55,1055.95,93300,209.57
2016-01-25,1068,1075,1030,1038.15,466000,206.04
2016-01-26,1038.15,1038.15,1038.15,1038.15,0,206.04
2016-01-27,1060,1060,1020,1037.7,79500,205.95
2016-01-28,1054.95,1067.5,1032.2,1058.4,91400,210.05
2016-01-29,1069.7,1100,1037.45,1095.4,219000,217.4
2016-02-01,1125,1130,1096,1125.65,131000,223.4
2016-02-02,1137.8,1199,1120,1193.6,453000,236.89
2016-02-03,1173.5,1209,1151.25,1181.35,351500,234.46
2016-02-04,1196.7,1201,1185,1194.3,132900,237.03
2016-02-05,1197,1228.4,1190,1217.3,317700,241.59
2016-02-08,1239,1254,1064.9,1097.75,759600,217.86
2016-02-09,1102,1155,1052.4,1141.9,452300,226.63
2016-02-10,1134.95,1139.8,1061.25,1109.8,468100,220.26
2016-02-11,1109.4,1120,958.8,1004.75,313800,199.41
2016-02-12,1034.9,1035.05,870.5,962.35,658100,190.99
2016-02-15,971,1009.65,971,981.9,140300,194.87
2016-02-16,997.95,1007.9,918.2,930.65,216500,184.7
2016-02-17,930.65,953,885,933.8,212200,185.33
2016-02-18,946.9,953.2,925,935.05,146700,185.57
2016-02-19,924,942,881,886.85,185900,176.01
2016-02-22,904,909.35,882.9,895.25,72300,177.68
2016-02-23,892.95,898.75,847,852.55,117800,169.2
2016-02-24,860.5,860.5,780.1,833.45,413700,165.41
2016-02-25,844.75,859.9,820.35,848.8,157400,168.46
2016-02-26,859.95,869.95,777,829.35,924100,164.6
2016-02-29,830,874.6,786.3,834.95,591400,165.71
2016-03-01,840.3,914,840,900.9,957400,178.8
2016-03-02,909,945,908.45,921.55,289600,182.89
2016-03-03,922.6,945,893.9,942.75,339700,187.1
2016-03-04,939.8,945,911.85,938.35,357800,186.23
2016-03-07,938.35,938.35,938.35,938.35,0,186.23
2016-03-08,937.95,956,902.5,918.45,314500,182.28
2016-03-09,918,928.95,902.55,923.55,136800,183.29
2016-03-10,908.5,921.95,907.95,911.95,88300,180.99
2016-03-11,897.15,919.35,897.15,914.55,147000,181.51
2016-03-14,918,981.7,917.95,975.8,644300,193.66
2016-03-15,984,987.1,945.05,952.95,334300,189.13
2016-03-16,950,960,928,950.6,128700,188.66
2016-03-17,974,974,933.05,939.6,156500,186.48
2016-03-18,949.5,967.5,929.25,939.55,634400,186.47
2016-03-21,925,940.35,902.15,929.05,733800,184.38
2016-03-22,939.5,943.4,920.05,934,333700,185.37
2016-03-23,925,935.9,910.6,920.2,252200,182.63
2016-03-24,920.2,920.2,920.2,920.2,0,182.63
2016-03-25,920.2,920.2,920.2,920.2,0,182.63
2016-03-28,929,930,898.55,910.4,237800,180.68
2016-03-29,915.25,916,900,909.05,1109200,180.41
2016-03-30,920.05,969,913.35,961.1,312700,190.74
2016-03-31,967,979,949.8,971.5,396200,192.81
2016-04-01,975,997,963,986.45,199400,195.77
2016-04-04,998.7,1049.5,992.1,1024.35,521800,203.3
2016-04-05,1028,1028,977.2,989.3,172700,196.34
2016-04-06,981,1021,967,1011.25,178600,200.7
2016-04-07,971,1019.9,971,982.95,93800,195.08
2016-04-08,974,992.8,967.2,980.1,196000,194.51
2016-04-11,981.05,1020,981,1008.25,198200,200.1
2016-04-12,1000.15,1014.95,995.85,999.55,120300,198.37
2016-04-13,1021.95,1028.45,999,1003.95,213000,199.25
2016-04-14,1003.95,1003.95,1003.95,1003.95,0,199.25
2016-04-15,1003.95,1003.95,1003.95,1003.95,0,199.25
2016-04-18,1011,1067.95,1004.05,1058.5,896100,210.07
2016-04-19,1058.5,1058.5,1058.5,1058.5,0,210.07
2016-04-20,1064.95,1072,1050,1068.25,220500,212.01
2016-04-21,1062.1,1076.9,1021.95,1041.65,182200,206.73
2016-04-22,1037.95,1055,1032.1,1038.4,70600,206.09
2016-04-25,1037,1037.5,1025.35,1033.55,122200,205.12
2016-04-26,1034.85,1057.5,1018.5,1050.25,203000,208.44
2016-04-27,1052,1065.05,1038.1,1048.65,87000,208.12
2016-04-28,1046.05,1056,1032.35,1050.25,201700,208.44
2016-04-29,1051.4,1068.6,1045,1049,94500,208.19
2016-05-02,1037.1,1083,1037.1,1068.3,314200,212.02
2016-05-03,1069.6,1082.9,1050.5,1064.55,112200,211.28
2016-05-04,1065.75,1076.15,938.4,948.45,1408800,188.23
2016-05-05,948,988,940.1,981.6,574700,194.81
2016-05-06,980.35,1006.6,967.1,982.8,404400,195.05
2016-05-09,1011.6,1035,941.65,965.45,888700,191.61
2016-05-10,966,986,951.05,967.05,325100,191.92
2016-05-11,960.1,972.95,946.15,957.7,180300,190.07
2016-05-12,964.95,974.5,960.95,967.2,154600,191.95
2016-05-13,971.9,971.9,951.1,966.25,233900,191.77
2016-05-16,966.25,970.4,910.7,924.55,581100,183.49
2016-05-17,938,938,897.6,918.5,399400,182.29
2016-05-18,906,938.2,906,929.3,200600,184.43
2016-05-19,925.05,936,908.25,913.45,120200,181.29
2016-05-20,910.15,920.75,905,907.3,125200,180.07
2016-05-23,920,921.55,890.25,899.55,242900,178.53
2016-05-24,913,913,891,898.1,110300,178.24
2016-05-25,911,924.9,898.5,910.25,267100,180.65
2016-05-26,918,921.3,899,914.45,242400,181.49
2016-05-27,921.3,947,920,934.95,413300,185.55
2016-05-30,944.4,944.4,909,934,148100,185.37
2016-05-31,937.95,945,929.55,941.7,137200,186.89
2016-06-01,947,968,936.25,942.1,259400,186.97
2016-06-02,935,942.85,918,923.65,139600,183.31
2016-06-03,926.1,939.8,901.05,906.55,217400,179.92
