"Date","IFCI.NS.Open","IFCI.NS.High","IFCI.NS.Low","IFCI.NS.Close","IFCI.NS.Volume","IFCI.NS.Adjusted"
2015-10-29,28.55,28.7,27.45,27.7,24055400,26.41
2015-10-30,27.7,28.25,26.35,26.65,14463700,25.41
2015-11-02,26.7,27.05,26.15,26.5,12803200,25.27
2015-11-03,26.75,27.9,26.55,27,15871500,25.75
2015-11-04,27.35,27.45,26.35,26.5,11250900,25.27
2015-11-05,26.4,26.65,25.7,25.9,8469400,24.7
2015-11-06,25.7,26.3,25.05,25.45,9902200,24.27
2015-11-09,24.9,25.45,24.45,25.15,9145800,23.98
2015-11-10,25,27.25,24.8,26.1,26122300,24.89
2015-11-11,26.1,26.1,26.1,26.1,0,24.89
2015-11-12,26.1,26.1,26.1,26.1,0,24.89
2015-11-13,26.15,26.5,25.4,25.75,7712700,24.56
2015-11-16,25.5,26.6,25.5,26,10420500,24.79
2015-11-17,26.15,27.5,25.7,27.3,19608100,26.03
2015-11-18,27.3,27.6,26.05,26.2,14054100,24.98
2015-11-19,26.55,27,26.35,26.7,7759700,25.46
2015-11-20,26.6,27.4,26.45,26.8,10193700,25.56
2015-11-23,26.75,27.15,26.5,26.65,5900300,25.41
2015-11-24,26.55,26.85,26.2,26.4,5880800,25.17
2015-11-25,26.4,26.4,26.4,26.4,0,25.17
2015-11-26,26.35,26.7,26.25,26.35,10915800,25.13
2015-11-27,26.5,27.2,26.15,26.9,8393400,25.65
2015-11-30,26.9,29.05,26.9,28.15,27151200,26.84
2015-12-01,28.85,29.25,28.4,28.9,22303500,27.56
2015-12-02,29,29.05,28.1,28.3,8198600,26.99
2015-12-03,28.25,28.95,28.1,28.25,8784000,26.94
2015-12-04,28.2,28.55,27.2,27.5,8470800,26.22
2015-12-07,27.7,28,27.1,27.4,4797700,26.13
2015-12-08,27.25,27.5,26.1,26.2,6063600,24.98
2015-12-09,26.25,26.6,25.25,25.5,7559900,24.32
2015-12-10,25.7,25.85,25.05,25.65,7075700,24.46
2015-12-11,25.8,25.95,24.4,24.65,10120000,23.51
2015-12-14,24.5,25.3,24.45,24.95,7129900,23.79
2015-12-15,25.05,25.35,24.7,25.15,4394200,23.98
2015-12-16,25.35,25.9,25.15,25.25,6711100,24.08
2015-12-17,25.5,26.45,25.5,26.3,8997600,25.08
2015-12-18,26.3,27.5,26.05,26.9,13466700,25.65
2015-12-21,27,27.35,26.8,27.25,7556100,25.99
2015-12-22,27.3,27.55,26.5,26.6,6071500,25.37
2015-12-23,26.9,27.1,26.5,26.75,4567500,25.51
2015-12-24,26.9,27.05,26.5,26.75,3908000,25.51
2015-12-25,26.75,26.75,26.75,26.75,0,25.51
2015-12-28,26.75,27.5,26.75,27.2,5143700,25.94
2015-12-29,27.3,27.3,26.8,26.9,5087900,25.65
2015-12-30,26.95,28.05,26.85,27.35,13734400,26.08
2015-12-31,27.45,27.9,27.1,27.6,25239400,26.32
2016-01-01,27.6,28.9,27.5,28.45,10263900,27.13
2016-01-04,28.4,28.45,26.5,27.2,10740500,25.94
2016-01-05,27.65,29.7,27.65,29.25,35382000,27.89
2016-01-06,29.3,29.55,28.25,28.35,13653700,27.03
2016-01-07,27.7,27.9,26.5,26.9,11925800,25.65
2016-01-08,27.3,27.55,26.75,27.3,6248200,26.03
2016-01-11,27.2,27.65,26.6,27.2,7014500,25.94
2016-01-12,27.2,27.55,26.45,26.55,6872700,25.32
2016-01-13,26.85,27.25,25.4,26.3,16595700,25.08
2016-01-14,25.6,26.35,25.25,25.75,9432200,24.56
2016-01-15,26,26.2,23.75,24,8638900,22.89
2016-01-18,23.6,23.85,21.9,22,12409000,20.98
2016-01-19,22.15,23.05,21.8,22.5,9433200,21.46
2016-01-20,21.8,22,20.9,21.45,12236600,20.45
2016-01-21,21.65,22,20.45,20.8,12112800,19.83
2016-01-22,21.5,22.05,20.9,21.9,10226500,20.88
