"Date","KSCL.NS.Open","KSCL.NS.High","KSCL.NS.Low","KSCL.NS.Close","KSCL.NS.Volume","KSCL.NS.Adjusted"
2016-05-16,411,438.8,403,434.25,2153800,434.25
2016-05-17,440,451.25,439,441.4,1775900,441.4
2016-05-18,439.95,447.05,430,439.4,880200,439.4
2016-05-19,442,454.25,418.25,437.3,3958400,437.3
2016-05-20,437,438.7,427.05,428.75,402800,428.75
2016-05-23,433.9,439.85,427.3,430.65,480700,430.65
2016-05-24,433.8,440.7,426.2,430.45,451400,430.45
2016-05-25,437.9,438.45,430.45,433,334500,433
2016-05-26,436.4,443.5,431.1,439.95,829000,439.95
2016-05-27,440.9,446.1,437.05,440.6,261700,440.6
2016-05-30,442,455,439,448.4,672900,448.4
2016-05-31,451,452,434.25,436.1,507000,436.1
2016-06-01,439,445.9,437,443.25,275800,443.25
2016-06-02,444,457.9,436.5,451.1,555800,451.1
2016-06-03,454,464.25,450.3,455.95,674100,455.95
2016-06-06,457,463,452,453.7,343100,453.7
2016-06-07,456.7,460,448.5,452.3,242100,452.3
2016-06-08,452.9,470.65,451.2,467.9,770900,467.9
2016-06-09,471.1,473,457.75,459.3,643400,459.3
2016-06-10,458,463.9,454.9,457.15,345000,457.15
2016-06-13,453.4,456.05,446.8,451.45,270800,451.45
2016-06-14,453,456.75,449.75,451.15,303400,451.15
2016-06-15,452,454.9,447.7,452.4,365900,452.4
2016-06-16,450.8,456,446.75,451.45,298400,451.45
2016-06-17,455,455.8,446.05,447.85,404200,447.85
2016-06-20,444.35,451.4,443,448.6,292300,448.6
2016-06-21,449.95,456.6,445,446.45,353300,446.45
2016-06-22,447.8,449.9,444.05,445.45,263500,445.45
2016-06-23,446,448.6,442.75,445.6,219500,445.6
2016-06-24,439,439,410,432.75,385300,432.75
2016-06-27,435,445.45,431,440.3,406300,440.3
2016-06-28,443.6,448,441,443.3,373700,443.3
2016-06-29,446,446.05,436.5,438.45,577100,438.45
2016-06-30,441,445.5,440,444.3,828100,444.3
2016-07-01,446,452,445,446.05,314800,446.05
2016-07-04,449.95,453.35,445.6,446.5,311600,446.5
2016-07-05,446,448.7,441.05,444.05,268600,444.05
2016-07-06,444.05,444.05,444.05,444.05,0,444.05
2016-07-07,444.1,446,440,441,258500,441
2016-07-08,440.45,443.25,435.35,438,217700,438
2016-07-11,442.95,443.95,438.3,441,235700,441
2016-07-12,442.1,447,438.2,439.6,506600,439.6
2016-07-13,440.8,440.85,420.2,422,695700,422
