"Date","COALINDIA.NS.Open","COALINDIA.NS.High","COALINDIA.NS.Low","COALINDIA.NS.Close","COALINDIA.NS.Volume","COALINDIA.NS.Adjusted"
2016-03-01,311.7,318.85,309.55,317.85,3958400,273.32
2016-03-02,318,320,309.9,311,4195700,267.43
2016-03-03,314.8,317.05,310,314.1,4070200,270.09
2016-03-04,315.1,327.5,314.55,325.15,6405100,279.59
2016-03-07,325.15,325.15,325.15,325.15,0,279.59
2016-03-08,332,333,322.35,324.05,13626400,278.65
2016-03-09,324,326.1,322,322.5,6614300,277.32
2016-03-10,325,326.1,320.1,321.7,8652200,276.63
2016-03-11,323,325.65,316.7,318.9,11276400,274.22
2016-03-14,292.9,299,292,296.7,9036800,279.11
2016-03-15,298.6,298.7,295.2,295.65,4471300,278.12
2016-03-16,296.4,296.9,293.5,295.65,3600500,278.12
2016-03-17,297.2,298.2,293.45,294.25,3428600,276.81
2016-03-18,296,298.8,293.8,297.75,4585800,280.1
2016-03-21,297.25,298.5,295,296.6,2804700,279.02
2016-03-22,296.5,299.7,293.55,294.4,5604000,276.95
2016-03-23,295.95,298.5,294.9,298,2712200,280.33
2016-03-24,298,298,298,298,0,280.33
2016-03-25,298,298,298,298,0,280.33
2016-03-28,298.5,298.5,292.2,293.5,4199900,276.1
2016-03-29,293.95,297.4,293.05,295.15,2231400,277.65
2016-03-30,295.6,297.55,295.4,296.85,3076800,279.25
2016-03-31,297.85,297.85,291,291.95,8788600,274.64
2016-04-01,292,293.75,285.65,287,4021600,269.99
2016-04-04,288.4,288.95,284,285,3745400,268.11
2016-04-05,284.5,284.95,274.1,275.25,4975100,258.93
2016-04-06,276,279.9,274,275.6,6518500,259.26
2016-04-07,277.2,281.75,276.3,281.25,3137800,264.58
2016-04-08,281.75,283,278.4,279.6,3567100,263.03
2016-04-11,280.2,282.6,277.2,280.45,6696400,263.83
2016-04-12,280.45,280.5,271.65,274.4,9281600,258.13
2016-04-13,276.25,278.3,275,277.45,9314200,261
2016-04-14,277.45,277.45,277.45,277.45,0,261
2016-04-15,277.45,277.45,277.45,277.45,0,261
2016-04-18,276.7,278.55,274.2,275.8,7530400,259.45
2016-04-19,275.8,275.8,275.8,275.8,0,259.45
2016-04-20,277.8,282,276.15,278.65,8438800,262.13
2016-04-21,280,288.75,279.8,287.75,6341500,270.69
2016-04-22,288.65,288.65,285,287.8,3616100,270.74
2016-04-25,288.6,290.9,286.8,287.95,2987500,270.88
2016-04-26,287.1,289.9,286.5,288.3,1972400,271.21
2016-04-27,289,293.5,288.05,290.9,2654500,273.66
2016-04-28,291.55,293.65,283.65,285.05,5733500,268.15
2016-04-29,285,289.65,284.25,288.05,3886200,270.97
2016-05-02,288.7,289,286.6,288.65,1741000,271.54
2016-05-03,289,289.25,277.5,279.15,4658500,262.6
2016-05-04,277.8,281.45,272.4,279.95,6641800,263.35
2016-05-05,280.5,283.15,280,281.8,2845900,265.1
2016-05-06,281.25,282.45,277.5,281.9,3358500,265.19
2016-05-09,282.15,286.5,282.15,285.6,2147200,268.67
2016-05-10,286.7,286.7,283,284.9,3178100,268.01
2016-05-11,281.7,284.4,276.65,283.8,4069700,266.98
2016-05-12,284.05,284.85,282,283.85,3368900,267.02
2016-05-13,283.6,283.6,278.55,281.45,2846100,264.77
2016-05-16,281.9,283.9,279.65,282.85,4442200,266.08
2016-05-17,283.75,284.9,281.8,283.85,1736000,267.02
2016-05-18,285.3,285.3,281.2,283.95,2782900,267.12
2016-05-19,284,284.4,279.4,280.3,1489100,263.68
2016-05-20,280.6,281.1,278.05,279,4355600,262.46
2016-05-23,281,281.5,278.2,280.5,2035800,263.87
2016-05-24,281.4,281.4,278,279.55,2073500,262.98
2016-05-25,280.4,281.5,277.7,281,2075700,264.34
2016-05-26,281,281.7,278.75,280.85,4619800,264.2
2016-05-27,282.25,284.5,280.2,281.3,4543800,264.62
2016-05-30,289.25,295.95,288.5,292.55,17863300,275.21
2016-05-31,293.9,295.25,287.9,291.4,7041000,274.13
2016-06-01,292.05,299.5,289.05,297.2,5843400,279.58
2016-06-02,297.8,309.5,296.7,307.35,9888500,289.13
2016-06-03,310,311.9,308.05,308.95,6459700,290.64
2016-06-06,308.1,308.5,304,305.8,5184000,287.67
2016-06-07,307.1,309.5,305.05,307.8,2708300,289.55
2016-06-08,307.55,307.95,304,306.8,1673000,288.61
2016-06-09,306.8,314.4,305.4,313,2240000,294.45
2016-06-10,313.7,315.9,306.15,306.65,2251700,288.47
2016-06-13,305,310.45,304.55,308.5,2418100,290.21
2016-06-14,310,310.35,306.65,308.85,2102200,290.54
2016-06-15,309.15,310.8,304.85,309.75,2353600,291.39
2016-06-16,309.05,309.5,305.5,307.55,1665400,289.32
2016-06-17,308,314.5,308,313.2,3608500,294.63
2016-06-20,310,313.2,309.85,312.35,1683200,293.83
2016-06-21,313,315,311.55,313,1174400,294.45
2016-06-22,313,318.4,312,317.5,2935700,298.68
2016-06-23,317.5,318.9,316.1,317.55,1565300,298.73
2016-06-24,308.25,314,305.55,312.25,3080300,293.74
2016-06-27,306.55,312.5,306.55,308.1,1728900,289.84
2016-06-28,310.75,314.25,309.9,313.3,2634500,294.73
2016-06-29,314.2,314.65,309.6,311,1902400,292.56
2016-06-30,314,314.4,311.55,313,3314300,294.45
2016-07-01,313,314.4,309.55,310.1,2225800,291.72
2016-07-04,312.5,319,311.5,317.95,2699200,299.1
2016-07-05,317.95,323.4,317,321.95,2816800,302.87
2016-07-06,321.95,321.95,321.95,321.95,0,302.87
2016-07-07,324.85,325.85,314.7,315.55,3939300,296.84
2016-07-08,313.3,314.95,310,311.7,2294800,293.22
2016-07-11,315,322.6,314.65,320.9,2536000,301.88
2016-07-12,321.35,321.35,313.3,317.05,3413400,298.26
2016-07-13,319,325.5,317.25,324.05,3400400,304.84
2016-07-14,325,327.6,321.5,324.65,4310700,305.41
2016-07-15,324.65,325,317,318.85,2109200,299.95
2016-07-18,319.65,324,318.9,321.65,1986700,302.58
2016-07-19,321.95,323.7,318,318.95,1617000,300.04
2016-07-20,319.9,329.95,319.5,329.25,3246100,309.73
2016-07-21,330,335.8,326.7,333.35,6355100,313.59
2016-07-22,333,333.75,329.7,331.45,2004900,311.8
2016-07-25,331,334.4,329.8,333.75,1492100,313.97
2016-07-26,334,334.2,326.8,327.45,1692000,308.04
2016-07-27,327.25,330.8,323.75,325.55,1919000,306.25
2016-07-28,326.15,333.15,326.1,329.95,3253100,310.39
2016-07-29,330,334,326.85,328,3182200,308.56
2016-08-01,329.3,331.5,325.75,326.45,1461400,307.1
2016-08-02,327,329,322,323.05,2335300,303.9
2016-08-03,323.7,328.6,322.1,326.15,1603700,306.82
2016-08-04,328.4,328.65,320.65,323.5,1808500,304.32
2016-08-05,325.35,330.4,324.95,329.4,2101900,309.87
2016-08-08,330,332.5,327.8,331.95,2076700,312.27
2016-08-09,334,337.5,333,337.15,3267500,317.16
2016-08-10,338.4,340,334.5,337.95,3121800,317.92
2016-08-11,337.15,338.6,333.35,337.8,3452200,317.78
2016-08-12,337.2,339.6,335.65,337.95,1889200,317.92
2016-08-15,337.95,337.95,337.95,337.95,0,317.92
2016-08-16,337,340.35,335.2,337.8,2665900,317.78
2016-08-17,337.95,349.95,337.85,347.8,5810800,327.18
2016-08-18,348.1,348.25,338.1,339.05,4975700,318.95
2016-08-19,340.05,340.4,332.1,334.15,9764400,314.34
2016-08-22,331.9,337.1,331,334.9,7488000,315.05
2016-08-23,335.6,337.5,332.55,336.65,2257300,316.69
2016-08-24,336.6,336.7,332.6,333.95,7665300,314.15
2016-08-25,334.5,336.7,329.35,331.3,3658800,311.66
2016-08-26,331.45,334.3,329.5,333.3,2682800,313.54
2016-08-29,333,334.4,330.5,333.85,1292300,314.06
2016-08-30,335.1,336.1,332.4,334.65,1531300,314.81
2016-08-31,334,336.4,331.1,333.5,3834200,313.73
2016-09-01,334.1,339,332.6,338,2860200,317.96
2016-09-02,337,337.15,331.45,332.3,3458500,312.6
2016-09-05,332.3,332.3,332.3,332.3,0,312.6
2016-09-06,333.55,333.75,325.15,328.85,2989700,309.36
2016-09-07,329,332.4,327.1,331,2982800,311.38
2016-09-08,331,333,328.8,332.55,2998300,312.84
2016-09-09,333,333,330.55,332.2,2194800,312.51
2016-09-12,327.7,333,327.5,330.45,2607000,310.86
2016-09-13,330.45,330.45,330.45,330.45,0,310.86
2016-09-14,323.6,327.55,321.5,324.35,6425200,305.12
2016-09-15,325.35,326.9,321.8,323.75,2277200,304.56
2016-09-16,325.2,327,322.3,324.55,4151200,305.31
2016-09-19,324,329.1,324,328.3,2730000,308.84
2016-09-20,328.8,330.4,327.15,329.25,2955400,309.73
2016-09-21,329.3,331.95,327.55,331,3433700,311.38
2016-09-22,333.35,333.55,326.65,327.45,2589900,308.04
2016-09-23,327.15,329.95,327.15,328.4,3605700,308.93
2016-09-26,328.85,334.1,328.15,332.45,3256800,312.74
2016-09-27,335.5,337.2,332,332.75,3058900,313.02
2016-09-28,332.75,335.7,327.6,328.45,1620500,308.98
2016-09-29,330.3,332.45,322.55,327.65,4747200,308.23
2016-09-30,326.15,328.8,316.9,322.3,4445900,303.19
2016-10-03,323.1,328.7,321.5,327.9,3104000,308.46
2016-10-04,328,329,319.35,321.1,5945900,302.07
2016-10-05,322.1,323.6,318.75,321.25,5316300,302.21
2016-10-06,323,323,317.2,318.55,3130300,299.67
2016-10-07,319.2,319.7,315.65,318.8,2038600,299.9
2016-10-10,320,321.75,318.15,318.9,1976300,300
2016-10-11,318.9,318.9,318.9,318.9,0,300
2016-10-12,318.9,318.9,318.9,318.9,0,300
2016-10-13,318,318.9,312,315.5,3543700,296.8
2016-10-14,316,318.2,312.35,313.05,2066600,294.49
2016-10-17,314.8,316.4,309.65,311.25,5164100,292.8
2016-10-18,311.9,314.7,311.6,312.55,3335600,294.02
2016-10-19,312,314.9,311.65,312.55,3410800,294.02
2016-10-20,312.25,314.65,312.2,312.6,1993800,294.07
2016-10-21,312.6,314.2,312.3,313.3,3009800,294.73
2016-10-24,313.9,322.6,312.85,321.25,2802700,302.21
2016-10-25,323.9,323.9,318.05,319.65,2235000,300.7
2016-10-26,318.95,321.6,316.9,319.3,1967300,300.37
2016-10-27,320,320.25,315.35,316.3,2363600,297.55
2016-10-28,317,327,315.7,324.8,3058100,305.55
2016-10-31,324.8,324.8,324.8,324.8,0,305.55
2016-11-01,326.5,331.3,323.3,330.05,5375900,310.48
