"Date","GLENMARK.NS.Open","GLENMARK.NS.High","GLENMARK.NS.Low","GLENMARK.NS.Close","GLENMARK.NS.Volume","GLENMARK.NS.Adjusted"
2016-02-04,754,757.5,712,724.6,975400,722.8822
2016-02-05,728.6,743.25,714.5,733.9,744000,732.1602
2016-02-08,744.8,758.6,736.25,750.5,458200,748.7208
2016-02-09,736.05,744.5,730.05,735.1,726200,733.3573
2016-02-10,736.9,738.95,715,726.65,675700,724.9274
2016-02-11,723.4,727.45,712.8,720.4,700100,718.6922
2016-02-12,726,726,671.1,691.85,1706600,690.2098
2016-02-15,702.5,723.55,692,710.05,728700,708.3667
2016-02-16,725,727.05,701.3,704.7,835900,703.0294
2016-02-17,705.1,724.95,692.65,721.55,569600,719.8394
2016-02-18,728,761.85,714.65,729.35,976300,727.6209
2016-02-19,733,750.8,725,748.15,348800,746.3764
2016-02-22,753.9,753.9,733.55,747.5,256600,745.7279
2016-02-23,751,758,742.1,747.45,365600,745.6781
2016-02-24,746.7,749,732.35,743.6,673100,741.8372
2016-02-25,743.45,744,733,737.3,726900,735.5521
2016-02-26,741.7,746.85,722.2,736.6,380800,734.8538
2016-02-29,738,740,715.45,735.65,470500,733.9061
2016-03-01,739.8,764.7,730.7,761.05,499600,759.2458
2016-03-02,777,788.85,764.4,780.1,557100,778.2506
2016-03-03,785,795.7,779.7,792.7,369500,790.8208
2016-03-04,798.8,820,790.2,812.2,451000,810.2746
2016-03-07,812.2,812.2,812.2,812.2,0,810.2746
2016-03-08,812.35,838,800.1,808.4,573200,806.4836
2016-03-09,807.5,824,796,819.6,415800,817.657
2016-03-10,815.25,833,815.25,824.25,468100,822.296
2016-03-11,820,830.65,813,823.9,550600,821.9468
2016-03-14,825,842.8,816.1,832.15,554300,830.1773
2016-03-15,840,844,807,813.4,511800,811.4717
2016-03-16,815.4,833.85,800.2,828.45,497800,826.486
2016-03-17,835,835,804.5,809.3,947100,807.3814
2016-03-18,810,810,776,800.4,970200,798.5026
2016-03-21,802,817,795,814.4,260200,812.4694
2016-03-22,814,825,809.5,821.15,362100,819.2034
2016-03-23,828,835,820,821.85,383100,819.9017
2016-03-24,821.85,821.85,821.85,821.85,0,819.9017
2016-03-25,821.85,821.85,821.85,821.85,0,819.9017
2016-03-28,830,834,805.3,815.05,323900,813.1178
2016-03-29,811.8,811.8,775.25,780.65,832100,778.7994
2016-03-30,780,781,763.1,774.75,1240800,772.9133
2016-03-31,776.9,798.7,776.9,795.05,844100,793.1652
2016-04-01,789.7,796.75,781.25,792.25,377500,790.3718
2016-04-04,798,804.5,787.8,800.2,233400,798.303
2016-04-05,800.2,802.5,783.05,788.75,305300,786.8801
2016-04-06,780,791.7,768.3,771.15,466200,769.3219
2016-04-07,770.5,782,762,764.6,507200,762.7874
2016-04-08,766,771.4,763,766.15,149000,764.3337
2016-04-11,770.45,780,766.4,778.5,214500,776.6544
2016-04-12,778.5,790,778,787,240300,785.1343
2016-04-13,792,798,772.5,780.3,545300,778.4502
2016-04-14,780.3,780.3,780.3,780.3,0,778.4502
2016-04-15,780.3,780.3,780.3,780.3,0,778.4502
2016-04-18,787,794.1,779,791.9,779800,790.0227
2016-04-19,791.9,791.9,791.9,791.9,0,790.0227
2016-04-20,793.5,809.4,787.15,792.75,636900,790.8707
2016-04-21,797,802.4,758.6,784.05,2087900,782.1913
2016-04-22,790,817,782.7,813.65,851600,811.7211
2016-04-25,820,834.9,814.2,832.7,559400,830.726
2016-04-26,840,845,826.3,829.5,625900,827.5335
2016-04-27,832.95,835,822.5,826.65,302100,824.6903
2016-04-28,826.95,831.6,814.35,818,375100,816.0608
2016-04-29,826,834,818.05,829.45,561300,827.4837
2016-05-02,830,835.9,825.5,829.25,325000,827.2841
