"Date","HDIL.NS.Open","HDIL.NS.High","HDIL.NS.Low","HDIL.NS.Close","HDIL.NS.Volume","HDIL.NS.Adjusted"
2016-03-30,68.2,71.4,67.85,70.5,13808800,70.5
2016-03-31,70.3,74.1,69.85,73.15,15630500,73.15
2016-04-01,73.65,77.9,72.8,77.35,21361400,77.35
2016-04-04,78,78.85,75.1,75.9,14706000,75.9
2016-04-05,75,76.7,71.85,72.25,20387800,72.25
2016-04-06,72.9,73.95,71.3,73.25,17440100,73.25
2016-04-07,73.65,74.8,72.1,72.4,14862000,72.4
2016-04-08,72,75.5,71.5,75.05,16298600,75.05
2016-04-11,75.4,76.2,73.95,75.6,13173500,75.6
2016-04-12,75.95,76.35,74.5,75.35,8872500,75.35
2016-04-13,76.2,79.35,76.05,77.05,15119100,77.05
2016-04-14,77.05,77.05,77.05,77.05,0,77.05
2016-04-15,77.05,77.05,77.05,77.05,0,77.05
2016-04-18,76.8,82.4,76,82,22172200,82
2016-04-19,82,82,82,82,0,82
2016-04-20,82.45,83.55,81.35,82.7,15223000,82.7
2016-04-21,83.25,85.75,81.3,83.15,22329500,83.15
2016-04-22,83.2,84.45,82.25,83.15,11256500,83.15
2016-04-25,83.55,83.9,79.75,81,12655700,81
2016-04-26,81,84.35,80.55,83.8,11739900,83.8
2016-04-27,83.95,84.25,82.25,82.9,6668300,82.9
2016-04-28,83.7,88.25,83.5,86.05,29526600,86.05
2016-04-29,86.45,86.85,82.6,86.1,18635900,86.1
2016-05-02,86.15,86.45,83,83.4,15843800,83.4
2016-05-03,83.95,86.1,83.1,83.4,15284600,83.4
2016-05-04,83.9,84.65,79.15,79.75,15269000,79.75
2016-05-05,80.3,82.6,79.4,81.5,14169700,81.5
2016-05-06,81,83.5,79.65,82.65,12261400,82.65
2016-05-09,83.4,84.95,83.15,84.2,10425700,84.2
2016-05-10,84.4,85.15,82.3,82.9,9990200,82.9
2016-05-11,81,82.75,79.95,81.45,11198700,81.45
2016-05-12,82,86.9,81.8,85.75,25101000,85.75
2016-05-13,85.7,86.3,81.9,82.95,18391600,82.95
2016-05-16,83.4,86.2,82.25,85.8,13592800,85.8
2016-05-17,86.6,90.2,86.45,87.95,23380100,87.95
2016-05-18,87.55,91.9,86.7,91.45,24779200,91.45
2016-05-19,91.3,96.4,90.9,92,31434900,92
2016-05-20,92.3,94.75,91,93.9,23628100,93.9
2016-05-23,94.75,95.7,92.3,93.95,15706000,93.95
2016-05-24,94,97.3,91.1,95.55,17145200,95.55
2016-05-25,97.6,99.1,95.85,96.9,17125100,96.9
2016-05-26,97.75,100.2,96.3,99.7,19896900,99.7
2016-05-27,100.5,101,98.05,98.6,17899900,98.6
2016-05-30,100.6,102.5,97.15,98.25,15230000,98.25
2016-05-31,98.7,99.2,94.05,97.2,18567400,97.2
2016-06-01,97.95,98.6,96.5,97.75,15059800,97.75
2016-06-02,97.05,97.4,95.75,96.9,10530700,96.9
2016-06-03,97.6,98,92.25,93.7,12954900,93.7
2016-06-06,94.7,98.2,94.6,96.65,15377900,96.65
2016-06-07,97.6,98.95,96.1,97.9,13242700,97.9
2016-06-08,98.2,98.6,96.55,97.1,9935600,97.1
2016-06-09,97.75,98.9,96.7,97.45,10654000,97.45
2016-06-10,97.4,99.5,96.2,96.85,12665200,96.85
2016-06-13,95.45,95.8,93,94.3,9308000,94.3
2016-06-14,94.65,95.95,94.25,95.15,8958700,95.15
2016-06-15,96,96.85,95.3,96.2,7074400,96.2
2016-06-16,96.25,97.9,93.65,95.85,11117900,95.85
2016-06-17,96.85,103.3,96.55,102.7,32331500,102.7
2016-06-20,102.85,105.7,102,103.8,18701400,103.8
2016-06-21,104.25,106.15,103.45,105.4,13353200,105.4
2016-06-22,106.3,108.3,104.9,105.8,17874700,105.8
2016-06-23,104.85,105.3,101.6,102.75,12517300,102.75
2016-06-24,96.8,98.4,92.55,97.35,18926400,97.35
2016-06-27,98,98.7,96.85,98,9449300,98
2016-06-28,98.1,98.75,96,96.45,7501200,96.45
2016-06-29,97.2,101.55,97.2,99.35,16566900,99.35
2016-06-30,100.4,103.8,100.4,103.25,19357500,103.25
2016-07-01,103.75,104.75,102.8,103.4,8932100,103.4
2016-07-04,103.95,106.8,102.85,104.9,14581000,104.9
2016-07-05,105.25,106.8,103.1,104.1,9290800,104.1
2016-07-06,104.1,104.1,104.1,104.1,0,104.1
2016-07-07,104.55,105.55,101.4,102.2,8496700,102.2
2016-07-08,102.7,106.25,101.35,105.25,13994300,105.25
2016-07-11,107.75,108.4,106.45,107,9622800,107
2016-07-12,107.5,108.7,105.1,108.05,10538100,108.05
2016-07-13,108.1,108.6,101.3,103.6,16557900,103.6
2016-07-14,102.95,105.3,102.8,103.3,7799000,103.3
2016-07-15,104,104.3,101.4,101.8,8226800,101.8
2016-07-18,102.35,104.75,100.6,101.4,10805900,101.4
2016-07-19,101.95,102.25,98.4,100.55,9571100,100.55
2016-07-20,101.5,102.6,100.1,102.2,8997900,102.2
2016-07-21,102.7,103,99.6,100.1,8031300,100.1
2016-07-22,99.15,101.6,98.4,100.95,10350800,100.95
2016-07-25,101,103,100.4,102.45,6769500,102.45
