"Date","WIPRO.NS.Open","WIPRO.NS.High","WIPRO.NS.Low","WIPRO.NS.Close","WIPRO.NS.Volume","WIPRO.NS.Adjusted"
2015-10-13,585,593.70001,583.65002,585.34998,974100,576.45739
2015-10-14,582.09998,594.45001,581.04999,582.90002,1050100,574.04466
2015-10-15,587.95001,587.95001,576.09998,577.09998,841100,568.33272
2015-10-16,579,582.15002,565.59998,576.95001,916500,568.18504
2015-10-19,581.90002,584.25,571.09998,577.54999,999500,568.7759
2015-10-20,579,579.90002,570,571.79999,1341900,563.11325
2015-10-21,574.79999,579.5,571.20001,577.84998,1013400,569.07133
2015-10-22,577.84998,577.84998,577.84998,577.84998,0,569.07133
2015-10-23,573.79999,573.79999,564.65002,567.75,1859200,559.12479
2015-10-26,570.59998,574.29999,565.70001,569.04999,1065300,560.40503
2015-10-27,570.25,577.40002,566,575.09998,2938900,566.36311
2015-10-28,574.90002,581.25,569.75,578,1405600,569.21907
2015-10-29,579.04999,579.90002,571,574.59998,1528100,565.8707
2015-10-30,572.5,579.04999,569.15002,572.84998,1134300,564.14729
2015-11-02,573.5,577.34998,568.5,575.15002,1817800,566.4124
2015-11-03,575.15002,579.65002,571.34998,574.25,1056900,565.52604
2015-11-04,577.09998,578.95001,571.45001,573.04999,815700,564.34426
2015-11-05,573.25,574.90002,569.34998,570.84998,614600,562.17767
2015-11-06,568.25,572.65002,566.70001,569.95001,686200,561.29138
2015-11-09,563.5,567,556.20001,560.25,1327900,551.73873
2015-11-10,560.95001,561.79999,551.45001,556.04999,1430700,547.60252
2015-11-11,558,561,556,556.5,83800,548.0457
2015-11-12,556.5,556.5,556.5,556.5,0,548.0457
2015-11-13,554,555.25,550.40002,551.5,623700,543.12166
2015-11-16,549.90002,557.95001,542.25,553.5,1110800,545.09128
2015-11-17,557,557,551,555.84998,1465500,547.40555
2015-11-18,553.5,556.84998,551.15002,554.34998,1230300,545.92834
2015-11-19,555.45001,562,552.65002,556.75,1006300,548.2919
2015-11-20,561.70001,575,558,569.70001,1853900,561.04518
2015-11-23,573.95001,576.15002,567.54999,570.09998,1111700,561.43907
2015-11-24,573.20001,577.40002,562.5,563.84998,1020300,555.28402
2015-11-25,563.84998,563.84998,563.84998,563.84998,0,555.28402
2015-11-26,559,572.95001,559,569.5,1926200,560.84821
2015-11-27,569.5,570.40002,564.90002,569.95001,1338300,561.29138
2015-11-30,569,575.75,567.20001,569.95001,4168900,561.29138
2015-12-01,579.20001,587.45001,579.20001,581.95001,1725000,573.10908
2015-12-02,584.79999,585.40002,576.04999,577.75,710100,568.97287
2015-12-03,585,585,569.29999,572.54999,1307700,563.85186
2015-12-04,572.34998,572.34998,562.20001,569.29999,1033700,560.65123
2015-12-07,571.84998,577.40002,567.90002,576.04999,1165000,567.29869
2015-12-08,574.20001,578.90002,564.34998,566.70001,700600,558.09076
2015-12-09,564,573.84998,562.54999,565.29999,791900,556.712
2015-12-10,567.04999,570,559.65002,565.09998,1127600,556.51503
2015-12-11,567,567.75,560.59998,565.90002,692100,557.30292
2015-12-14,563.20001,570,560,567.04999,744900,558.43541
2015-12-15,568.40002,570,556.40002,558.90002,1198800,550.40926
2015-12-16,552.25,558.84998,552.25,554.95001,2056800,546.51926
2015-12-17,557.5,558.40002,553.09998,556.09998,1905600,547.65175
2015-12-18,554,557.34998,550.45001,554.20001,2805300,545.78065
2015-12-21,553.79999,559.25,548.5,555.84998,1163900,547.40555
2015-12-22,554.79999,557.5,553,555.45001,1247600,547.01166
2015-12-23,560,560,554,556.29999,791600,547.84873
2015-12-24,556.5,559.79999,554.5,557.20001,404000,548.73508
