"Date","CASTROLIND.NS.Open","CASTROLIND.NS.High","CASTROLIND.NS.Low","CASTROLIND.NS.Close","CASTROLIND.NS.Volume","CASTROLIND.NS.Adjusted"
2016-05-17,415.55,418.45,395,396.5,999400,388.1755
2016-05-18,395,400.8,383.5,385.25,1440200,377.1617
2016-05-19,372,383.3,367.25,375.3,8616900,367.4206
2016-05-20,378.45,381.8,372.3,374.25,1004100,366.3927
2016-05-23,374.25,376.6,369.05,370.3,761600,362.5256
2016-05-24,371,371.75,363.7,365.6,745800,357.9243
2016-05-25,367.1,374.7,366.35,372.4,654100,364.5815
2016-05-26,374,379.5,369.05,375.7,5860300,367.8122
2016-05-27,376.15,382.85,375,376.75,1375500,368.8402
2016-05-30,376.05,379.45,372.8,376.3,757900,368.3996
2016-05-31,375.05,379.65,373.65,374.95,421000,367.078
2016-06-01,375.15,377.1,371.65,374.2,670300,366.3437
2016-06-02,375,376.2,371.05,372.95,426800,365.12
2016-06-03,376.85,384.8,375,379.05,1375700,371.0919
2016-06-06,381.5,388.35,379.1,385.75,1142300,377.6512
2016-06-07,389.8,390.6,382.9,385,960400,376.917
2016-06-08,383.6,389.7,381,387.9,651200,379.7561
2016-06-09,388.25,391.5,383.85,388.5,430300,380.3435
2016-06-10,389.6,390.3,383.5,384.45,579200,376.3785
2016-06-13,382.5,384,380.25,382.9,332800,374.8611
2016-06-14,383.1,384.35,374.2,375.15,821100,367.2738
2016-06-15,374.1,378.4,372.6,375.1,1153000,367.2248
2016-06-16,376.8,376.8,370.5,373.6,374900,365.7563
2016-06-17,374.3,379.15,372.85,373.2,402400,365.3647
2016-06-20,373.2,376.1,371.05,374.15,416000,366.2948
2016-06-21,373.9,377.5,373.5,376.6,189400,368.6933
2016-06-22,377.25,381.5,374.15,374.75,422000,366.8822
2016-06-23,376,378.5,373.5,374.15,289700,366.2948
2016-06-24,369.8,371.5,361.35,369.65,1139600,361.8893
2016-06-27,369.7,375.55,369,372.25,537600,364.4347
2016-06-28,373.9,377.45,372.95,374.6,417400,366.7353
2016-06-29,375.8,379.8,374.25,378.35,398200,370.4066
2016-06-30,381,383.8,377.3,379,1039900,371.043
2016-07-01,379,397,379,393.65,957000,385.3854
2016-07-04,395.4,402.6,395,398.85,706400,390.4762
2016-07-05,397.6,406,395,403.25,797200,394.7838
2016-07-06,403.25,403.25,403.25,403.25,0,394.7838
2016-07-07,404,410.5,404,405.35,987400,396.8397
2016-07-08,405.9,405.9,398.1,400.45,326400,392.0426
2016-07-11,404.7,404.95,401.2,402.8,484100,394.3433
2016-07-12,403,408,403,404.9,385200,396.3992
2016-07-13,408,409.85,400,401.85,492500,393.4132
2016-07-14,402,406.85,401.15,402.25,192800,393.8048
2016-07-15,403.85,406.65,400,402.25,293400,393.8048
2016-07-18,403.85,413.6,401.45,405.05,590100,396.546
2016-07-19,409,412.95,405.55,408.25,566200,399.6789
2016-07-20,409,416.45,409,413.95,616400,405.2592
2016-07-21,417,419.9,410,411.15,466200,402.518
2016-07-22,415,417.4,411.95,413.75,824500,405.0634
2016-07-25,415,416.05,410.45,412.4,673100,403.7417
