"Date","HINDZINC.NS.Open","HINDZINC.NS.High","HINDZINC.NS.Low","HINDZINC.NS.Close","HINDZINC.NS.Volume","HINDZINC.NS.Adjusted"
2016-07-20,192.8,196.5,192.3,194.45,2142600,193.067
2016-07-21,188.65,196.1,188.65,193.9,3916800,192.521
2016-07-22,195,195,189,193.95,2444800,192.571
2016-07-25,195.35,200.35,191,196.15,4038200,194.755
2016-07-26,196.85,209.45,196.25,202.6,4831400,201.159
2016-07-27,204.75,210.8,204.1,208.25,3177500,206.769
2016-07-28,208,210,197.8,202.6,2607200,201.159
2016-07-29,206.55,209.05,203.5,203.95,1109200,202.5
2016-08-01,206.4,216.15,205.1,211.7,2680800,210.195
2016-08-02,211,214.4,205.8,206.9,1436500,205.429
2016-08-03,206.4,209.6,204.05,206.7,2084600,205.23
2016-08-04,210.8,210.9,205.55,208.25,1500000,206.769
2016-08-05,210.5,223.4,210.5,218.6,6258400,217.046
2016-08-08,220.8,222.7,218.4,220.95,2016600,219.379
2016-08-09,221.4,223.4,218.15,220.35,1805500,218.783
2016-08-10,220,225.3,218.35,220,2913200,218.436
2016-08-11,221.8,221.8,215.35,217.15,1907000,215.606
2016-08-12,218,223.45,217,219.35,1639300,217.79
2016-08-15,219.35,219.35,219.35,219.35,0,217.79
2016-08-16,219.1,229.65,218.55,228.3,2192000,226.677
2016-08-17,229,229.15,221.1,223.15,1713700,221.563
2016-08-18,225,228.6,224,228,867000,226.379
2016-08-19,227.95,230.6,223.5,228.95,2115200,227.322
2016-08-22,228.25,232.5,226.1,230.2,1713200,228.563
2016-08-23,229.1,231.1,225,227.25,1037600,225.634
2016-08-24,226.2,230.5,226.2,228.2,1103500,226.577
2016-08-25,227.9,229.4,222.35,223.8,1940700,222.209
2016-08-26,225,226.1,221.9,224.95,762100,223.35
2016-08-29,227,232.65,225.2,227.1,1861600,225.485
2016-08-30,229.8,232.5,227.4,228.4,796900,226.776
2016-08-31,227.8,228.85,226,227,834700,225.386
2016-09-01,228,228.8,225,225.8,833700,224.194
2016-09-02,226.15,228.5,224.05,227.5,1212200,225.882
2016-09-05,227.5,227.5,227.5,227.5,0,225.882
2016-09-06,227.85,233.8,227.1,230.2,1388200,228.563
2016-09-07,230.1,230.85,226.95,228.35,874200,226.726
2016-09-08,229.5,230.05,221.75,223.6,1527200,222.01
2016-09-09,224,224,212.4,220.35,1518400,218.783
2016-09-12,212.5,216.8,210,212.55,1144100,211.039
2016-09-13,212.55,212.55,212.55,212.55,0,211.039
2016-09-14,213.5,221.5,212.2,220.35,2059000,218.783
2016-09-15,220.45,222.6,217.4,218.8,803400,217.244
2016-09-16,219.2,220.95,210,211.8,2735000,210.294
2016-09-19,212.2,217.9,211.65,216.9,864900,215.358
2016-09-20,217.65,222,215,221.05,1183100,219.478
2016-09-21,222.75,222.75,218.4,219.75,1248500,218.187
2016-09-22,223.9,223.9,220.1,223.2,1346600,221.613
2016-09-23,222.7,229.4,221.6,227.45,3264400,225.833
2016-09-26,228,230.65,224.45,229.7,1586000,228.067
2016-09-27,230.05,231.05,225,228.95,1572400,227.322
2016-09-28,228.95,232.2,228.05,230.55,1024800,228.911
2016-09-29,230.1,235.5,225.95,229.15,3159300,227.521
2016-09-30,227,236.4,226.15,233.35,1172600,231.691
2016-10-03,234.8,262.5,234.05,254.45,7070000,252.641
2016-10-04,255,256.55,248.25,251.95,3082000,250.158
2016-10-05,253.9,260.35,251.6,253.35,3499800,251.548
2016-10-06,253.4,258.65,246.85,250,1742000,248.222
2016-10-07,251.8,253.3,248.85,252,1400100,250.208
2016-10-10,251.75,255.65,250.15,251.65,2291900,249.861
2016-10-11,251.65,251.65,251.65,251.65,0,249.861
2016-10-12,251.65,251.65,251.65,251.65,0,249.861
2016-10-13,249.9,249.9,240.4,243.35,2464800,241.62
