"Date","ZEEL.NS.Open","ZEEL.NS.High","ZEEL.NS.Low","ZEEL.NS.Close","ZEEL.NS.Volume","ZEEL.NS.Adjusted"
2015-10-29,421.2,422.95,414.65,415.7,2916600,411.682
2015-10-30,415.7,421.15,406,408.65,2159200,404.7
2015-11-02,412.95,415,405,412.9,2642300,408.909
2015-11-03,414.95,416.45,412.45,414.9,2732200,410.89
2015-11-04,415.2,417.9,412.7,415.15,2599400,411.137
2015-11-05,414.95,414.95,404.05,406.05,962700,402.125
2015-11-06,408.75,411.25,394.85,398.45,2654500,394.599
2015-11-09,393.2,393.7,385.85,390.9,2779700,387.122
2015-11-10,387,398.35,384.7,387.2,1872700,383.457
2015-11-11,387.2,387.2,387.2,387.2,0,383.457
2015-11-12,387.2,387.2,387.2,387.2,0,383.457
2015-11-13,385.9,388.1,375.8,377.35,4395500,373.703
2015-11-16,377.35,382.9,374.55,379.1,3496300,375.436
2015-11-17,383,384.3,376.85,379.9,1814600,376.228
2015-11-18,381.3,383.75,378.05,379.1,2297900,375.436
2015-11-19,380.9,392.45,380,391.4,2190500,387.617
2015-11-20,392.5,400.45,390.1,396.3,2503600,392.47
2015-11-23,397.5,409.5,396.15,407.25,2804600,403.314
2015-11-24,407.25,409.35,400,401.6,1310200,397.718
2015-11-25,401.6,401.6,401.6,401.6,0,397.718
2015-11-26,398.5,414.5,398.5,409,3022900,405.047
2015-11-27,411,414.4,406.8,412.4,1500600,408.414
2015-11-30,411.35,416.85,406.35,408.15,2516200,404.205
2015-12-01,409.9,416.45,407.3,414.45,2216100,410.444
2015-12-02,418.65,418.9,412.1,413.7,3036300,409.701
2015-12-03,412.45,415.4,407.7,409.6,1521000,405.641
2015-12-04,407.15,407.8,394,395.65,1739800,391.826
2015-12-07,396.55,402,395,400.1,1946600,396.233
2015-12-08,399.25,405.7,396.8,400.8,1113800,396.926
2015-12-09,400.8,403.25,393.2,395.95,1325800,392.123
2015-12-10,396.1,403.85,387.45,402.2,1729300,398.313
2015-12-11,403,404.5,394.85,397.75,1079100,393.906
2015-12-14,399,409,395.1,405.75,922900,401.828
2015-12-15,405.8,412,405.8,408.35,1310900,404.403
2015-12-16,410,411.9,407.3,408.65,878100,404.7
2015-12-17,409.5,416.8,404.05,415.05,1258800,411.038
2015-12-18,415,417.1,412.2,413.55,2949500,409.553
2015-12-21,412.1,418.4,412.1,417.25,1750000,413.217
2015-12-22,415.5,417.9,412.6,415.4,917100,411.385
2015-12-23,416.8,420.5,414.35,419.05,1648200,415
2015-12-24,417.5,418.2,410.1,410.75,2861900,406.78
2015-12-25,410.75,410.75,410.75,410.75,0,406.78
2015-12-28,410.7,416,409.2,411.55,777600,407.572
2015-12-29,412.05,417.85,412.05,416.35,1810600,412.326
2015-12-30,416.95,429.8,415.25,428.2,2196200,424.061
2015-12-31,429,439.35,425.75,437.25,3974300,433.024
2016-01-01,437.2,437.2,431.5,432.9,512500,428.716
2016-01-04,430,432.35,420.85,421.95,1100800,417.872
2016-01-05,423.55,430.4,420.9,425.05,2545800,420.942
2016-01-06,424,425.9,417.5,423.15,2048100,419.06
2016-01-07,420.05,421.7,413.4,415.4,1897700,411.385
2016-01-08,419.95,419.95,409.35,411.7,5154900,407.721
2016-01-11,405,414.2,403,409.6,2618000,405.641
2016-01-12,409.35,411.25,404.25,407.05,1417500,403.116
2016-01-13,408.4,416.7,405.7,414.25,1746200,410.246
2016-01-14,412.3,422,407,416.05,2107900,412.029
2016-01-15,420.4,422.15,396,402.4,5656000,398.511
2016-01-18,400,401.3,378.1,393.9,2733300,390.093
2016-01-19,394.65,399.5,388.75,394.3,1175100,390.489
2016-01-20,393.1,393.1,374.75,384.3,2017700,380.585
2016-01-21,386.8,397,384.3,385.65,1469000,381.922
2016-01-22,388.95,400.7,388.5,395.4,1608100,391.578
2016-01-25,400,404.55,390.3,391.25,1763800,387.468
2016-01-26,391.25,391.25,391.25,391.25,0,387.468
2016-01-27,395,399,393.2,396.7,2871700,392.866
2016-01-28,394.95,408.5,394.35,404.6,2784600,400.689
2016-01-29,405.15,422.8,404.1,420.05,2605600,415.99
2016-02-01,421,422.6,411.1,416.5,2035500,412.474
2016-02-02,416,416.5,400,401.65,997900,397.768
2016-02-03,400,412.5,400,404,1836600,400.095
2016-02-04,410,411.8,396.3,399.3,2081700,395.441
2016-02-05,400,410.8,392.7,409,2171000,405.047
2016-02-08,406,414.3,400.4,402.6,945300,398.709
2016-02-09,399,400.95,388.4,389.45,2257800,385.686
2016-02-10,389.65,389.65,376.25,379.35,2014200,375.683
2016-02-11,379,379,364,369.35,2504300,365.78
2016-02-12,372.1,374.5,361,370.5,2963800,366.919
2016-02-15,373,385.35,373,383.9,2312800,380.189
2016-02-16,382.35,385,360.25,362.55,1703900,359.046
2016-02-17,364.5,372.6,350.1,370.55,2665300,366.968
2016-02-18,372.5,383.4,372.4,381.45,2001100,377.763
2016-02-19,372.4,387.5,370.05,383.85,1358100,380.14
2016-02-22,383.85,395,383,392.9,1437500,389.102
2016-02-23,390.25,394.25,381.7,387.1,1409200,383.358
2016-02-24,385,391.55,378.95,388,996100,384.25
2016-02-25,387,389.8,376.15,379.5,1317200,375.832
2016-02-26,385,385.95,376.3,381.1,1266600,377.416
2016-02-29,381.2,382.65,364.15,372.35,2064300,368.751
2016-03-01,375,393.95,374.15,391.45,3744100,387.666
2016-03-02,397,401,391.25,399.25,2729100,395.391
2016-03-03,404.45,404.45,387.45,394.45,1836900,390.637
2016-03-04,395.4,399.25,391.55,396.15,1704300,392.321
2016-03-07,396.15,396.15,396.15,396.15,0,392.321
2016-03-08,395,401.05,384,390.7,1300700,386.924
2016-03-09,386,396.9,385.1,395.45,1391400,391.628
2016-03-10,396,396.9,389.1,391.75,680400,387.963
2016-03-11,391.6,401.8,390.05,398.6,1396000,394.747
2016-03-14,400,407.7,398,400.5,1226500,396.629
2016-03-15,399.1,402.25,384.5,386.3,1649700,382.566
2016-03-16,385.2,388,380.3,384.45,2218300,380.734
