"Date","EICHERMOT.NS.Open","EICHERMOT.NS.High","EICHERMOT.NS.Low","EICHERMOT.NS.Close","EICHERMOT.NS.Volume","EICHERMOT.NS.Adjusted"
2016-01-08,17060,17480,17060,17241.4,28200,17147.47
2016-01-11,17160,17410,16903,17239.1,30200,17145.19
2016-01-12,17399.8,17400,16980.9,17066.8,29600,16973.83
2016-01-13,17288,17288,16674.7,17062.7,45000,16969.75
2016-01-14,16890,17095.2,16749.9,16988,37000,16895.45
2016-01-15,17010,17188,16051,16240.8,33900,16152.32
2016-01-18,16247.3,16277,15250,15459.5,48500,15375.28
2016-01-19,15450,15911.4,14800,15823.8,62900,15737.6
2016-01-20,15601,15735.5,15030,15538.8,43800,15454.15
2016-01-21,15788.8,15911.9,15380,15552.2,45800,15467.48
2016-01-22,15885,16583.1,15705.1,16472.4,55000,16382.66
2016-01-25,16777.5,16777.5,16355.5,16416.2,22800,16326.77
2016-01-26,16416.2,16416.2,16416.2,16416.2,0,16326.77
2016-01-27,16454,16476.7,16112,16232.1,26500,16143.67
2016-01-28,16232,16288,15889,15959,37000,15872.06
2016-01-29,16000,16650.9,15844.1,16546.6,57400,16456.46
2016-02-01,16800,17109,16600.2,17073.8,43900,16980.79
2016-02-02,17199,17397,17002,17197.1,49100,17103.41
2016-02-03,17010,17218,16617.4,16754.2,64100,16662.93
2016-02-04,16901,17297,16750,16894.3,46800,16802.26
2016-02-05,17060,18450,16898.4,18119.2,216900,18020.49
2016-02-08,18374,18888.7,18230,18384.8,103200,18284.65
2016-02-09,18200,18368.7,17977.6,18175.8,36500,18076.78
2016-02-10,18137,18231.5,17810,17909.9,48800,17812.33
2016-02-11,17750,18000,17562.2,17619.3,125800,17523.32
2016-02-12,17720,18250,17397.8,17993.7,81700,17895.67
2016-02-15,18275.3,18900,18275.3,18772.2,56400,18669.93
2016-02-16,18900,18910.9,18636,18690.3,85900,18588.48
2016-02-17,18700,19250,18519,18802.5,182000,18700.07
2016-02-18,18999.9,18999.9,18523.6,18694.6,60100,18592.76
2016-02-19,18550,18898.9,18223.6,18626.4,28300,18524.93
2016-02-22,18798,19000,18675.1,18918.7,25400,18815.63
2016-02-23,19101,19194.9,18900,19003.8,47600,18900.27
2016-02-24,18937.2,19420,18777.3,19094.7,38100,18990.68
2016-02-25,19049.2,19189.8,18653,18888.8,71700,18785.9
2016-02-26,19001,19160.8,18790.2,18885.6,43500,18782.72
2016-02-29,18820,19400,18450.3,18900.6,53100,18797.63
2016-03-01,18950,19360,18900,19184.3,79500,19079.79
2016-03-02,19500,19500,19223.2,19321.9,73800,19216.64
2016-03-03,19430,19431,19252,19328.4,45000,19223.1
2016-03-04,19400,19400,19101,19258.5,23200,19153.58
2016-03-07,19258.5,19258.5,19258.5,19258.5,0,19153.58
2016-03-08,19200,19995,19150,19802.1,103500,19694.22
2016-03-09,19836,20272.5,19777.4,19933.8,79900,19825.21
2016-03-10,19950,20010,19700.2,19799.9,94200,19692.04
2016-03-11,19820,20127.8,19715,20004,47300,19895.02
2016-03-14,20200,20250,19800,19849.8,72800,19741.66
2016-03-15,19874.8,19874.8,19461,19548.3,135900,19441.81
2016-03-16,19540.9,19540.9,18655,18693.4,94000,18591.56
2016-03-17,18780,18800,17995,18036.2,93800,17937.94
2016-03-18,18051,18494,17895,18413.4,73600,18313.09
2016-03-21,18564,18600,18180,18356.3,45700,18256.3
2016-03-22,18500,18500,18002,18236.7,35600,18236.7
2016-03-23,18299,18699.8,18003,18554.1,45800,18554.1
2016-03-24,18554.1,18554.1,18554.1,18554.1,0,18554.1
2016-03-25,18554.1,18554.1,18554.1,18554.1,0,18554.1
2016-03-28,18597,18654.5,18330,18410.3,28600,18410.3
2016-03-29,18450,18750,18181.1,18633.4,40100,18633.4
2016-03-30,18799.8,18833,18533.4,18736.8,54100,18736.8
2016-03-31,18825,19350,18549.4,19180.6,163300,19180.6
2016-04-01,19080.6,19450,18910.8,19254.1,80000,19254.1
2016-04-04,19384,19571,19285.1,19503.9,50500,19503.9
2016-04-05,19400,19448.9,18642.1,18735.5,48600,18735.5
2016-04-06,18834,19225.4,18635.5,19179.8,33800,19179.8
2016-04-07,19150,19197.9,18779.8,18884.1,20600,18884.1
2016-04-08,18935,19290.8,18805.1,19181.2,25600,19181.2
2016-04-11,19160,19425,19000,19388.9,28500,19388.9
2016-04-12,19320,19600,19311,19557.8,54200,19557.8
2016-04-13,19657.8,19968,19557.8,19896.3,85500,19896.3
2016-04-14,19896.3,19896.3,19896.3,19896.3,0,19896.3
2016-04-15,19896.3,19896.3,19896.3,19896.3,0,19896.3
