"Date","SAIL.NS.Open","SAIL.NS.High","SAIL.NS.Low","SAIL.NS.Close","SAIL.NS.Volume","SAIL.NS.Adjusted"
2015-12-07,47.1,47.7,46.25,46.5,2700600,46.5
2015-12-08,46.25,46.65,44.1,44.45,4598700,44.45
2015-12-09,44.3,44.6,43.25,43.65,3675500,43.65
2015-12-10,43.8,44.7,43.6,44.3,3444500,44.3
2015-12-11,44.8,46,44.1,44.9,5555900,44.9
2015-12-14,45.35,46.25,44.6,45.65,4652900,45.65
2015-12-15,45.65,46.05,44.85,45.15,2628300,45.15
2015-12-16,45.45,45.9,45,45.15,2383700,45.15
2015-12-17,45.7,48.35,45.35,48.05,9534500,48.05
2015-12-18,48.1,48.3,47.2,47.45,4637200,47.45
2015-12-21,47.7,48.8,47.4,48.45,3244400,48.45
2015-12-22,48.75,49.4,47.15,47.55,3292200,47.55
2015-12-23,47.8,48.95,47.8,48.5,2724900,48.5
2015-12-24,48.55,49.1,48.15,48.85,2626000,48.85
2015-12-25,48.85,48.85,48.85,48.85,0,48.85
2015-12-28,49.1,49.25,47.8,48.25,2004700,48.25
2015-12-29,48.55,48.55,47.7,47.85,1776800,47.85
2015-12-30,48.2,48.6,47.45,47.55,2565300,47.55
2015-12-31,47.65,49.1,46.85,48.35,12646300,48.35
2016-01-01,48.5,48.75,48,48.2,1652400,48.2
2016-01-04,48.3,49.5,47.25,47.9,4288100,47.9
2016-01-05,48.15,52.1,48.05,51,10837500,51
2016-01-06,51.05,51.6,49.6,50,6055300,50
2016-01-07,48.9,48.9,46.1,46.55,4736900,46.55
2016-01-08,47.15,47.85,46.35,47.4,3208300,47.4
2016-01-11,46.75,47.3,45.95,46.45,4320600,46.45
2016-01-12,46.8,47.2,45.5,45.9,2772600,45.9
2016-01-13,46.8,46.8,44,45.15,4152800,45.15
2016-01-14,44.4,45.45,43.5,44.45,3352100,44.45
2016-01-15,44.85,44.95,42,42.4,3712800,42.4
2016-01-18,42.3,43.35,40.85,41.9,4875400,41.9
2016-01-19,42.3,43,41.45,42.5,2417500,42.5
2016-01-20,41.9,41.9,40.5,41.3,2952900,41.3
2016-01-21,41.5,42.3,40.6,41.3,4340200,41.3
2016-01-22,41.9,43.5,41.9,43.1,3124000,43.1
2016-01-25,43.7,44.3,43.3,43.55,2307300,43.55
2016-01-26,43.55,43.55,43.55,43.55,0,43.55
2016-01-27,43.95,44.3,43.4,43.6,2296600,43.6
2016-01-28,43.6,43.8,42.5,42.75,2944300,42.75
2016-01-29,43,43.5,42.15,42.8,2361300,42.8
2016-02-01,43.15,43.45,42.4,42.7,2570800,42.7
2016-02-02,42.8,42.95,39.05,39.35,6346000,39.35
2016-02-03,39,40.25,38.5,38.8,5035200,38.8
2016-02-04,39.5,39.8,37.9,38.6,4382200,38.6
2016-02-05,38.8,41.2,38.5,40.85,8245900,40.85
2016-02-08,41.5,42.8,40.3,40.6,5702100,40.6
2016-02-09,40,40.65,38.5,38.95,7153000,38.95
2016-02-10,38.45,38.9,37.15,37.75,5841400,37.75
2016-02-11,37.5,37.7,35.75,36,4354000,36
2016-02-12,36,36.2,33.5,34.45,5066700,34.45
2016-02-15,35.1,37.05,35.05,35.85,8065300,35.85
2016-02-16,36.6,36.75,35,35.3,4401200,35.3
2016-02-17,35.5,36.3,34.55,36.1,4244500,36.1
2016-02-18,36.6,37.55,34.75,35.8,5388300,35.8
2016-02-19,35.9,36.4,35.2,36.15,2181600,36.15
2016-02-22,36.2,36.7,35.9,36.25,1647700,36.25
2016-02-23,36.3,36.75,35.3,35.6,3564700,35.6
2016-02-24,35.25,36.4,35.1,35.35,2277000,35.35
2016-02-25,35.6,35.8,34.3,34.55,3100000,34.55
2016-02-26,34.95,35.15,34.15,34.75,2486700,34.75
2016-02-29,35.25,36.05,34.2,34.9,4530900,34.9
2016-03-01,35.15,36.05,35.1,35.9,2872900,35.9
2016-03-02,36.75,38.25,36.55,37.8,5893600,37.8
2016-03-03,38.35,40,38.05,39.6,5444800,39.6
2016-03-04,40.15,41,39.2,40.05,4631200,40.05
2016-03-07,40.05,40.05,40.05,40.05,0,40.05
2016-03-08,40.8,44.35,40.5,43.25,11711500,43.25
2016-03-09,42.4,42.65,41.5,42.35,4215600,42.35
2016-03-10,42.55,43.9,42.1,42.75,3786300,42.75
2016-03-11,42.85,43,41.55,42.7,3658600,42.7
2016-03-14,43,43.7,41.8,42.15,4283400,42.15
2016-03-15,42.05,44,41.6,43.25,5959300,43.25
2016-03-16,43.65,43.65,41.55,42.5,4064500,42.5
2016-03-17,43.45,43.9,42.55,42.8,4488600,42.8
2016-03-18,43.45,43.6,42.55,42.85,7685400,42.85
2016-03-21,43.15,43.55,42.65,42.85,2608200,42.85
2016-03-22,42.9,43.45,42.4,43.2,3374200,43.2
2016-03-23,43.4,45.4,43.25,45.25,9691100,45.25
2016-03-24,45.25,45.25,45.25,45.25,0,45.25
2016-03-25,45.25,45.25,45.25,45.25,0,45.25
2016-03-28,45.45,45.45,42.2,42.45,9933900,42.45
2016-03-29,42.3,42.8,41.6,41.95,3803600,41.95
2016-03-30,42.5,43.9,42.1,43.45,4025500,43.45
2016-03-31,43.5,43.75,42.55,43.1,3957700,43.1
2016-04-01,43.2,44.3,43,43.6,2983500,43.6
2016-04-04,43.6,44.2,43.4,43.7,2785400,43.7
2016-04-05,43.35,43.5,42.2,42.45,2538100,42.45
2016-04-06,42.8,43.95,42.2,43.25,5196800,43.25
2016-04-07,43.35,43.5,42.3,42.45,3141200,42.45
2016-04-08,42.45,42.95,42.05,42.65,2515400,42.65
2016-04-11,42.95,43.95,42.5,43.8,3218200,43.8
2016-04-12,43.4,44.1,42.9,43.3,3928800,43.3
2016-04-13,43.7,44.75,43.6,44.2,5441200,44.2
2016-04-14,44.2,44.2,44.2,44.2,0,44.2
2016-04-15,44.2,44.2,44.2,44.2,0,44.2
2016-04-18,44.75,44.75,43.7,44.55,3076400,44.55
2016-04-19,44.55,44.55,44.55,44.55,0,44.55
2016-04-20,44.75,46.9,44.25,46.35,9834500,46.35
2016-04-21,47.45,47.45,45.75,46.05,4590400,46.05
2016-04-22,47,47.25,45.8,45.95,4549200,45.95
2016-04-25,45.95,46.3,44.95,45.25,2916100,45.25
2016-04-26,45.1,46.6,45,46.2,5795400,46.2
2016-04-27,46.25,46.8,45.65,45.95,3324300,45.95
2016-04-28,46.05,47.7,45.55,46.95,9768100,46.95
2016-04-29,47.15,48.8,46.3,47.4,9837700,47.4
2016-05-02,47.3,47.8,46.65,47.25,5237500,47.25
2016-05-03,47.85,48,45.8,46.05,5067200,46.05
2016-05-04,45.75,46,41.75,42.05,8178700,42.05
2016-05-05,42.55,43,41.35,42.1,5645700,42.1
2016-05-06,42.2,42.35,41.5,42.2,3476700,42.2
2016-05-09,42.5,43.25,42.45,42.85,3074500,42.85
2016-05-10,42.7,43.2,42.25,42.35,2893300,42.35
2016-05-11,42,42.55,41.5,41.8,3212000,41.8
2016-05-12,42.2,42.75,41.95,42.5,2327300,42.5
2016-05-13,42.2,42.5,41.4,41.6,3252900,41.6
2016-05-16,41.6,42,40.5,40.8,4152500,40.8
2016-05-17,41.1,41.35,40.6,40.95,2618400,40.95
