"Date","SRTRANSFIN.NS.Open","SRTRANSFIN.NS.High","SRTRANSFIN.NS.Low","SRTRANSFIN.NS.Close","SRTRANSFIN.NS.Volume","SRTRANSFIN.NS.Adjusted"
2016-02-26,796.9,806.45,775.5,800.1,484500,793.33
2016-02-29,803.5,812.9,773.15,805.55,747500,798.73
2016-03-01,805.1,863.9,802.15,850.1,979300,842.9
2016-03-02,853.1,882.8,853.1,867.6,727900,860.26
2016-03-03,883.95,886,859.1,878.3,533300,870.87
2016-03-04,878.1,915.15,868.05,911,482300,903.29
2016-03-07,911,911,911,911,0,903.29
2016-03-08,911,929.9,895.55,922.05,517600,914.25
2016-03-09,909,939,897.55,936.25,510700,928.33
2016-03-10,938,943.8,920,924.6,382500,916.77
2016-03-11,929,941.1,920,926.65,330400,918.81
2016-03-14,928,950.95,928,941.95,309300,933.98
2016-03-15,943,948.65,921,925,211900,917.17
2016-03-16,925.95,928.15,888.3,911.3,559700,903.59
2016-03-17,918.5,925.7,905.4,912.15,436500,904.43
2016-03-18,914,918.9,892.15,909.95,346700,902.25
2016-03-21,909,936,902.05,931.55,338100,923.67
2016-03-22,935,939.8,922.1,933.55,413500,925.65
2016-03-23,925,936,900,906.55,272400,898.88
2016-03-24,906.55,906.55,906.55,906.55,0,898.88
2016-03-25,906.55,906.55,906.55,906.55,0,898.88
2016-03-28,893.6,923.4,893.6,905.7,296900,898.03
2016-03-29,909.55,940,906.3,923.15,333000,915.34
2016-03-30,933.75,956.7,930.2,948.2,580600,940.17
2016-03-31,947,965,941.5,953.15,798200,945.08
2016-04-01,955.1,957.75,920,926.4,420600,918.56
2016-04-04,925.05,927.85,912.1,923.35,377500,915.53
2016-04-05,922,934.75,911.3,924.3,321700,916.48
2016-04-06,928.5,934,906.45,926.35,373800,918.51
2016-04-07,930,954,921.1,946.5,370500,938.49
2016-04-08,953,957.85,932.5,945.95,357500,937.94
2016-04-11,941,957.9,938.2,952.85,160300,944.78
2016-04-12,942,984,940.05,966.4,338000,958.22
2016-04-13,975.55,1004.9,973.95,986.05,638000,977.7
2016-04-14,986.05,986.05,986.05,986.05,0,977.7
2016-04-15,986.05,986.05,986.05,986.05,0,977.7
2016-04-18,986,1008.7,983.4,1000.05,539200,991.59
2016-04-19,1000.05,1000.05,1000.05,1000.05,0,991.59
2016-04-20,993,1003.95,982,993.2,441200,984.79
2016-04-21,987.7,996.8,962.5,965.95,465100,957.77
2016-04-22,963.95,973.25,950.2,954.55,329300,946.47
2016-04-25,955.4,988.7,955.4,979.5,489800,971.21
2016-04-26,975.35,994,975,988.4,341800,980.03
2016-04-27,982,998.85,982,994.4,458100,985.98
