"Date","CAIRN.NS.Open","CAIRN.NS.High","CAIRN.NS.Low","CAIRN.NS.Close","CAIRN.NS.Volume","CAIRN.NS.Adjusted"
2016-02-22,130.65,132.75,130.1,131.8,2180500,118.71
2016-02-23,132.85,133.3,125.05,126.2,3239900,113.67
2016-02-24,122.6,124.2,121.7,122.65,2526300,110.47
2016-02-25,123.5,124.5,119.5,120.65,2923900,108.67
2016-02-26,123.3,125,121.15,123.8,1809200,111.51
2016-02-29,124.35,128.75,113.45,117.95,7638000,106.24
2016-03-01,118,124.85,116.2,122.95,4016500,110.74
2016-03-02,124.5,127.5,123.3,126.1,2500500,113.58
2016-03-03,126.6,131.8,126.35,129.9,4600300,117
2016-03-04,131,132.7,127.5,128.15,3851200,115.43
2016-03-07,128.15,128.15,128.15,128.15,0,115.43
2016-03-08,131.25,139,131.25,136.7,7421400,123.13
2016-03-09,132.9,138,130.8,136.75,4579200,123.17
2016-03-10,140,143.4,139,140.6,7652800,126.64
2016-03-11,141,148.55,140.6,146.95,6114600,132.36
2016-03-14,149.8,152.3,147.25,151.75,5682100,136.68
2016-03-15,150,152.4,147.1,149.8,6584000,134.93
2016-03-16,146,149.45,146,148.3,5243200,133.57
2016-03-17,154,155,151.5,152.6,6751600,137.45
2016-03-18,155,156.3,153,154.9,5748300,139.52
2016-03-21,153.5,158,153.5,156.95,2581600,141.37
2016-03-22,159,159.45,157,158.15,4068800,142.45
2016-03-23,159.5,159.6,154.6,158.4,4430900,142.67
2016-03-24,158.4,158.4,158.4,158.4,0,142.67
2016-03-25,158.4,158.4,158.4,158.4,0,142.67
2016-03-28,157.9,158.45,154.45,156.1,1658600,140.6
2016-03-29,153,157.5,152.6,154.55,2873600,139.2
2016-03-30,154.1,158.9,154.1,156.65,2667200,141.1
2016-03-31,154.7,156.55,150.85,153.85,9199100,138.57
2016-04-01,154.5,155,151.1,153.25,2876600,138.03
2016-04-04,150.25,152.55,150,151.9,1609700,136.82
2016-04-05,149.75,152,145.3,146.05,1914400,131.55
2016-04-06,146.05,148.7,145.25,146.75,3124300,132.18
2016-04-07,149,150.55,145.9,146.65,3226100,132.09
2016-04-08,143.9,149.9,141.75,148.85,4751000,134.07
2016-04-11,151.1,152.85,149.9,151.7,3348700,136.64
2016-04-12,152.3,154.9,150.5,153.35,3693900,138.12
2016-04-13,157.55,158.4,154.5,155.2,4403100,139.79
2016-04-14,155.2,155.2,155.2,155.2,0,139.79
2016-04-15,155.2,155.2,155.2,155.2,0,139.79
2016-04-18,149.5,150.45,146.6,149.3,4673500,134.48
2016-04-19,149.3,149.3,149.3,149.3,0,134.48
2016-04-20,150.05,152.45,147.85,150.15,4337200,135.24
2016-04-21,154,154.45,149.45,150.6,3240300,135.65
2016-04-22,150,152.75,148.5,151.65,2630600,136.59
2016-04-25,145,148.7,143.9,145.05,5272700,130.65
2016-04-26,146.95,146.95,143.95,145.5,3545900,131.05
2016-04-27,147.55,149.2,146.5,147.15,3754300,132.54
