"Date","SUZLON.NS.Open","SUZLON.NS.High","SUZLON.NS.Low","SUZLON.NS.Close","SUZLON.NS.Volume","SUZLON.NS.Adjusted"
2015-08-26,21.75,22.4,21.15,21.6,22739800,21.6
2015-08-27,22.4,22.7,22,22.3,14423600,22.3
2015-08-28,22.85,23.1,22,22.1,22894000,22.1
2015-08-31,22.05,22.3,21.75,22.1,15548900,22.1
2015-09-01,21.8,22.1,21.15,21.4,22033000,21.4
2015-09-02,21.8,21.9,21.35,21.45,22231900,21.45
2015-09-03,21.65,22.3,21.4,22,20345200,22
2015-09-04,21.8,21.85,20.7,20.85,24399700,20.85
2015-09-07,21,21,19.7,19.85,27192600,19.85
2015-09-08,20,20.5,19.1,20.1,30936800,20.1
2015-09-09,20.6,22.1,20.4,21.9,53822600,21.9
2015-09-10,21.4,21.8,20.9,21.7,32321200,21.7
2015-09-11,21.95,22.2,21.75,22.05,27467900,22.05
2015-09-14,22.3,22.45,21.95,22.25,22359200,22.25
2015-09-15,22.2,22.3,21.2,21.3,14733300,21.3
2015-09-16,21.6,21.7,21.1,21.2,13141500,21.2
2015-09-17,21.2,21.2,21.2,21.2,0,21.2
2015-09-18,21.5,22.15,21.25,21.35,18112200,21.35
2015-09-21,21,21.8,20.95,21.65,14875800,21.65
2015-09-22,21.9,21.9,20.5,20.7,20536900,20.7
2015-09-23,20.5,21.05,20.15,20.3,32653400,20.3
2015-09-24,20.5,20.7,20.3,20.4,15439300,20.4
2015-09-25,20.4,20.4,20.4,20.4,0,20.4
2015-09-28,20.55,20.65,20.15,20.2,10980000,20.2
2015-09-29,19.9,20.5,19.8,20.2,21178500,20.2
2015-09-30,20.4,20.9,20.35,20.85,19864100,20.85
2015-10-01,21.25,21.75,20.95,21.25,23613000,21.25
2015-10-02,21.25,21.25,21.25,21.25,0,21.25
2015-10-05,21.5,22,21.5,21.7,19219800,21.7
2015-10-06,22.15,22.7,22.05,22.25,31857800,22.25
2015-10-07,22.45,22.7,22.1,22.5,23821600,22.5
2015-10-08,22.65,22.75,21.95,22.15,20669400,22.15
2015-10-09,23,24.65,22.7,23.9,85406300,23.9
2015-10-12,24.1,24.45,23.55,23.7,38437900,23.7
2015-10-13,23.9,23.95,23.35,23.55,21479000,23.55
2015-10-14,23.75,24.35,23.5,23.85,25543300,23.85
2015-10-15,24.1,25.1,24,24.8,38099700,24.8
2015-10-16,25.1,25.15,23.9,24.05,38493000,24.05
2015-10-19,24.2,24.4,23.7,23.85,21342600,23.85
2015-10-20,23.95,24.85,23.8,24.5,70339600,24.5
2015-10-21,24.45,24.5,23.55,23.95,28862700,23.95
2015-10-22,23.95,23.95,23.95,23.95,0,23.95
2015-10-23,24.1,24.15,23,23.1,24921000,23.1
2015-10-26,23.2,24,23.05,23.85,39534700,23.85
2015-10-27,23.95,24.1,23.4,23.5,30328300,23.5
2015-10-28,23.45,23.75,23.2,23.3,17247100,23.3
2015-10-29,23.4,24.5,23.35,24.05,41647000,24.05
2015-10-30,24.35,25.1,24.15,24.6,86784400,24.6
2015-11-02,24,25.25,23.8,24.3,66289300,24.3
2015-11-03,24.3,24.5,22.9,23,45283000,23
2015-11-04,23.3,23.55,22.55,22.6,33155600,22.6
2015-11-05,22.6,22.75,21.55,21.65,40203500,21.65
2015-11-06,21.75,22.05,21.4,21.6,29856400,21.6
2015-11-09,20.9,21.8,20.4,21.65,48311300,21.65
2015-11-10,21.7,22.05,21.2,21.45,38428700,21.45
2015-11-11,21.45,21.45,21.45,21.45,0,21.45
2015-11-12,21.45,21.45,21.45,21.45,0,21.45
2015-11-13,22.05,22.6,21.8,22.35,26849600,22.35
2015-11-16,22.3,22.45,21.9,22.2,16896900,22.2
2015-11-17,22.4,22.55,21.65,21.8,26419200,21.8
2015-11-18,22,22.1,21.45,21.6,18329200,21.6
2015-11-19,21.5,22.1,21.4,21.7,32670100,21.7
2015-11-20,21.9,22.5,21.8,22.1,29552700,22.1
