"Date","COLPAL.NS.Open","COLPAL.NS.High","COLPAL.NS.Low","COLPAL.NS.Close","COLPAL.NS.Volume","COLPAL.NS.Adjusted"
2015-10-28,946,982.8,946,979.35,584000,955.747
2015-10-29,984.7,994.9,956.15,975.35,1246000,951.843
2015-10-30,977.5,982,946.75,955.35,305000,932.325
2015-11-02,963.9,963.9,931.5,939.1,243400,916.467
2015-11-03,946.5,968,938.4,948.9,264400,926.031
2015-11-04,957.9,961.65,937.4,940.9,175200,918.224
2015-11-05,940,948.6,931.95,938.95,161800,920.233
2015-11-06,943,943,927.45,938.9,93000,920.184
2015-11-09,933,966,908.9,959.75,249200,940.618
2015-11-10,957,975.5,951.5,958.15,374800,939.05
2015-11-11,958.15,958.15,958.15,958.15,0,939.05
2015-11-12,958.15,958.15,958.15,958.15,0,939.05
2015-11-13,962.75,969,944.55,948.25,185300,929.347
2015-11-16,948,954.6,939.9,945.85,88700,926.995
2015-11-17,956,956,940.25,945,263500,926.162
2015-11-18,950,952.2,942.6,944.95,231800,926.113
2015-11-19,945.6,961.95,945.6,954.9,158600,935.865
2015-11-20,957.5,967.7,954.85,962.05,111600,942.872
2015-11-23,966.7,969.5,957,959.05,151000,939.932
2015-11-24,958,964.95,941.1,945.05,204800,926.211
2015-11-25,945.05,945.05,945.05,945.05,0,926.211
2015-11-26,952,970.55,945,967.05,376500,947.772
2015-11-27,967,969.85,947.05,966.85,288400,947.576
2015-11-30,970,974.9,964.65,966.15,290600,946.89
2015-12-01,974,976.5,960,975.4,295300,955.956
2015-12-02,972,984.4,965,981.45,269500,961.885
2015-12-03,979,979,970.15,973,199600,953.604
2015-12-04,970,985.5,964,974.95,201500,955.515
2015-12-07,975,997.45,973.8,994.3,323500,974.479
2015-12-08,993.9,1003.25,980,985.4,406200,965.757
2015-12-09,984.7,987.9,957.15,961.55,276700,942.382
2015-12-10,960,981,960,977.2,161000,960.718
2015-12-11,976.7,984,971.45,975.95,120000,959.489
2015-12-14,971.55,989,971.55,985.95,301700,969.32
2015-12-15,984,1003,978.15,1001.3,299500,984.411
2015-12-16,1004,1009.45,988,992.95,251500,976.202
2015-12-17,995,1002.9,995,997.9,146200,981.068
2015-12-18,998,1004.9,990,992.25,121000,975.514
2015-12-21,997,1004.4,989.55,1002,259300,985.099
2015-12-22,1004.9,1006.05,987,989.45,146400,972.761
2015-12-23,990.4,996.9,984,985.2,74700,968.583
2015-12-24,994.45,994.45,981.15,983.7,96700,967.108
2015-12-25,983.7,983.7,983.7,983.7,0,967.108
2015-12-28,983.7,987.9,977.85,980.9,117200,964.355
2015-12-29,981,981.95,968.65,971.85,256900,955.458
2015-12-30,973,976.6,968.7,972.75,221000,956.343
2015-12-31,979.35,979.35,967.3,972.85,415300,956.441
2016-01-01,973,982.45,968,976.75,72200,960.275
2016-01-04,978.9,981.9,968.25,974.3,118600,957.866
2016-01-05,974,981,969,974.25,393400,957.817
2016-01-06,970,971,944,949.45,249500,933.436
2016-01-07,946.6,946.9,901,915.55,778700,900.107
2016-01-08,929.9,929.9,918,926.65,420200,911.02
2016-01-11,923,923,901.1,906.95,512800,891.653
2016-01-12,914.5,915,906,908.5,300600,893.176
2016-01-13,911.5,938.7,911.5,931.9,507500,916.182
2016-01-14,924.8,946.7,912.1,943.35,266200,927.439
2016-01-15,946.95,951.05,910.7,917.05,300700,901.582
2016-01-18,920,927.1,900,910.55,265500,895.192
2016-01-19,919,927,910,911.8,104200,896.421
2016-01-20,911,920.1,890.6,913.3,333700,897.895
2016-01-21,916,925.1,902.55,907.5,216900,892.193
2016-01-22,915,916,880,882.45,1208300,867.566
2016-01-25,883,889.95,862,865.4,761100,850.803
2016-01-26,865.4,865.4,865.4,865.4,0,850.803
2016-01-27,867,883.9,850.1,853.65,1962900,839.252
2016-01-28,851,862.9,846.55,850.2,761100,835.86
2016-01-29,853.05,862.45,851.95,857.95,488000,843.479
2016-02-01,869,870.6,856,861.7,408800,847.166
2016-02-02,862.15,862.75,850,855,179500,840.579
2016-02-03,850,851.05,831.1,840.6,343600,826.422
2016-02-04,852.9,852.9,825,831.15,514600,817.131
