"Date","MRF.NS.Open","MRF.NS.High","MRF.NS.Low","MRF.NS.Close","MRF.NS.Volume","MRF.NS.Adjusted"
2015-12-10,39045,39575,39014,39443,2800,39329.06
2015-12-11,39302,39985,39154.5,39414.4,5400,39300.54
2015-12-14,39100,39400,38178.1,38602.6,6600,38491.09
2015-12-15,38941.9,38999.9,38600,38790.6,2400,38678.55
2015-12-16,38880,39226.1,38613.4,38732.6,3400,38620.71
2015-12-17,38840,39299,38702.2,39143.9,3300,39030.82
2015-12-18,39140,39399.9,38960.3,39162.9,4500,39049.77
2015-12-21,38987,39328.4,38987,39213,1700,39099.72
2015-12-22,39213,39705.4,39101,39175.3,3300,39062.13
2015-12-23,39200,39599.9,39200,39287.9,1700,39174.41
2015-12-24,39107,39650,39107,39539.6,2200,39425.38
2015-12-25,39539.6,39539.6,39539.6,39539.6,0,39425.38
2015-12-28,39585,39986,39585,39659.8,3000,39545.23
2015-12-29,39700,39961.2,39656.1,39784.9,2600,39669.97
2015-12-30,39799.9,39932,39681.2,39792.4,2900,39677.45
2015-12-31,39941,40058.8,39403.1,39877.5,4600,39762.3
2016-01-01,40092.4,41424.6,39877.1,40552.1,6300,40434.96
2016-01-04,40400,40748,40248.6,40505.9,2900,40388.89
2016-01-05,40600,40688,40321.8,40593.2,1900,40475.94
2016-01-06,40643,41200.1,40297.6,40419.2,4500,40302.44
2016-01-07,40249,40249,39001,39066.2,4900,38953.35
2016-01-08,39155,39470.9,38510.1,38638.6,4900,38526.98
2016-01-11,38580,39154.5,38066,38978.6,2900,38866
2016-01-12,39041,39233.6,38700,38875.9,2300,38763.6
2016-01-13,39007,39181.8,37850.5,38443.8,4000,38332.75
2016-01-14,38349,38531.1,37890.2,38179.1,1900,38068.81
2016-01-15,38300,38480,37500,37688.1,2800,37579.23
2016-01-18,37311,37950,36000,36193.2,4000,36088.65
2016-01-19,36225,36800,35540,36362,3400,36256.96
2016-01-20,36180,36180,34620,35040.2,7300,34938.98
2016-01-21,35670,35679.9,34500.1,34909.1,4200,34808.26
2016-01-22,35150.6,36450,35150.6,36236.3,4700,36131.62
2016-01-25,36600,38198.9,35516.4,36125.1,28000,36020.75
2016-01-26,36125.1,36125.1,36125.1,36125.1,0,36020.75
2016-01-27,36270,36300,35650,35761.1,6200,35657.8
2016-01-28,36080,36080,35402,35732.9,10800,35629.68
2016-01-29,35700,35990.5,35300,35626.2,7600,35523.28
2016-02-01,35700,36100,34015.3,34313.1,7800,34213.98
2016-02-02,34100,35095,34000.1,34618.8,7600,34518.8
2016-02-03,34300,34479.4,34002,34201.2,5900,34102.4
2016-02-04,34540,34798.9,33475.1,33725.4,6700,33627.97
2016-02-05,33750.2,34350,33456.1,34180.4,4000,34081.66
2016-02-08,34180.4,34750,33785.1,34140.1,4000,34041.48
2016-02-09,33900,34100,33600,33656.1,2400,33558.88
2016-02-10,34000,34500.7,33200,33825.4,12500,33727.69
2016-02-11,33501.1,34100,31802.1,32304.9,9700,32211.58
2016-02-12,33199.9,33199.9,31183.2,31811.8,7900,31719.9
2016-02-15,32299,33499.4,32299,33317.6,5100,33221.36
2016-02-16,33843,33843.1,33066,33227.6,5300,33131.62
2016-02-17,33499,33597.4,32601,33342.3,5600,33245.98
2016-02-18,33600,33788.7,33120.2,33435.1,3900,33338.52
2016-02-19,33100,33810,33010,33602,2900,33504.93
2016-02-22,33600,34087.4,33425.4,33729.9,2600,33632.46
2016-02-23,33729,34070,33464.6,33589,3500,33491.97
2016-02-24,33400.1,33790,32515.1,32764.4,5300,32669.75
2016-02-25,33074.9,33074.9,31834.3,31977.7,4900,31885.32
2016-02-26,32444,32574.5,32100,32371.5,2100,32277.99
2016-02-29,32597,32787.4,31800,32547.1,5100,32453.08
2016-03-01,33200,34171.2,32214,33854.9,4300,33757.1
2016-03-02,34200,35199.9,33899.9,34063.9,8700,33965.5
2016-03-03,34600,34600,33912,34066.1,4900,33967.69
2016-03-04,34290,34420,33624,34226.7,3700,34127.83
2016-03-07,34226.7,34226.7,34226.7,34226.7,0,34127.83
2016-03-08,34500,34575,34000,34455.9,4200,34356.36
